1018000730041; TALSUTIN; TALSUTIN; NOT FOUND; CREM VAG CT BG AL X 45 G + 10 APLIC DESCART; BMS
1018000730010; TALSUTIN; TALSUTIN; NOT FOUND; CARTUCHO COM BISNAGA X 60G + 1 APLICADOR; BMS
1018001330018; TRI-VI-SOL; TRI VI SOL; NOT FOUND; SOL OR CT FR VD AMB CGT X 30 ML; BMS
1018001310015; TETREX; TETREX; NOT FOUND; 500 MG CAP GEL DURA CT ENV AL POLIET X 8; BMS
1018001310023; TETREX; TETREX; NOT FOUND; CAIXA COM 25 ENV X 4; BMS
1018002740107; TEQUIN; TEQUIN; NOT FOUND; 400 MG INJ 1 BOLSA FLEXIVEL; BMS
1018002740085; TEQUIN; TEQUIN; NOT FOUND; 400MG CARTUCHO COM 1 FA; BMS
1018002740115; TEQUIN; TEQUIN; NOT FOUND; 400MG CARTUCHO COM 1 COMP; BMS
1018002740050; TEQUIN; TEQUIN; NOT FOUND; 400MG CARTUCHO COM 10 COMP; BMS
1018002740069; TEQUIN; TEQUIN; NOT FOUND; 400MG CARTUCHO COM 42 COMP; BMS
1018002740042; TEQUIN; TEQUIN; NOT FOUND; 400MG CARTUCHO COM 7 COMP; BMS
1018001510035; TAXOL; TAXOL; NOT FOUND; 6 MG/ML SOL INJ IV CT FA VD INC X 16.7 ML; BMS
1018001510051; TAXOL; TAXOL; NOT FOUND; 6 MG/ML SOL INJ IV CT FA VD INC X 50 ML + REV PLAS; BMS
1018001510019; TAXOL; TAXOL; NOT FOUND; 6 MG/ML SOL INJ IV CT FA VD INC X 5 ML; BMS
1018001320021; TRI-VI-FLUOR; TRI VI FLUOR; NOT FOUND; CARTUCHO COM FR X 30ML; BMS
1018000800100; TERAGRAN-M; TERAGRAN M; NOT FOUND; COM REV CT FR VD AMB X 30; BMS
1018003880018; TERAGRAN; TERAGRAN; NOT FOUND; SOL OR CT FR VD AMB X 120 ML; BMS
