1018001420079; MEGESTAT; MEGESTAT; NOT FOUND; 40MG/ML SUSP. CARTUCHO COM FR X 240ML; BMS
1018001420033; MEGESTAT; MEGESTAT; NOT FOUND; 160 MG COM CT FR VD AMB X 30; BMS
1018002530056; MAXCEF; MAXCEF; NOT FOUND; 1.0 G PO P/ SOL INJ CT 1 FA VD INC + DIL X 3.0 ML; BMS
1018002530064; MAXCEF; MAXCEF; NOT FOUND; 1.0 G PO SOL INJ CX 10 FA VD INC + 10 BOLS FLEXIVEL X 100 ML; BMS
1018002530031; MAXCEF; MAXCEF; NOT FOUND; 2.0 G PO P/ SOL INJ CT 1 FA VD INC; BMS
1018002530072; MAXCEF; MAXCEF; NOT FOUND; 2.0 G PO SOL INJ CX 10 FA VD INC + 10 BOLS FLEXIVEL X 100 ML; BMS
1018002530048; MAXCEF; MAXCEF; NOT FOUND; 0.5 G PO P/ SOL INJ CT 1 FA VD INC + DIL X 1.5 ML; BMS
1018002530021; MAXCEF; MAXCEF; NOT FOUND; 1.0 G PO P/ SOL INJ CT 1 FA VD INC; BMS
1018002500068; MONOPRIL; MONOPRIL; NOT FOUND; 10 MG COM CT BL AL/AL X 16; BMS
1018002500076; MONOPRIL; MONOPRIL; NOT FOUND; 10 MG COM CT BL AL/AL X 30; BMS
1018002500084; MONOPRIL; MONOPRIL; NOT FOUND; 20 MG COM CT BL AL/AL X 30; BMS
1018002760019; MONOPLUS; MONOPLUS; NOT FOUND; 10 MG + 12.5 MG COM CT FR PLAS OPC X 16; BMS
1018002760027; MONOPLUS; MONOPLUS; NOT FOUND; 10 MG + 12.5 MG COM CT FR PLAS OPC X 30; BMS
1018001220010; MITOCIN; MITOCIN; NOT FOUND; 0.5 MG/ML PO LIOF INJ CT FA VD AMB X 10 ML; BMS
1018000370170; MICOSTATIN; MICOSTATIN; NOT FOUND; 100000 UI/ML SUS OR CT FR VD AMB X 50 ML + CGT; BMS
1018000370310; MICOSTATIN; MICOSTATIN; NOT FOUND; 100000 UI/ML SUS OR CT FR VD AMB X 60 ML + CGT; BMS
1018000370035; MICOSTATIN; MICOSTATIN; NOT FOUND; 25000 UI/G CREM VAG CT BG AL X 60 G + 14 APLIC; BMS
1018000370299; MICOSTATIN; MICOSTATIN; NOT FOUND; 500000 UI DRG CT BL AL PLAS INC X 16; BMS
