1018000070041; CAPOTEN; CAPOTEN; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 16; BMS
1018000070071; CAPOTEN; CAPOTEN; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 15; BMS
1018000070081; CAPOTEN; CAPOTEN; NOT FOUND; 12.5 MG COM CT 2 BL  AL PLAS INC X 15; BMS
1018000070058; CAPOTEN; CAPOTEN; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 16; BMS
1018000070104; CAPOTEN; CAPOTEN; NOT FOUND; 25 MG COM CT 2 BL AL PLAS INC X 14; BMS
1018000070128; CAPOTEN; CAPOTEN; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 28; BMS
1018000070236; CAPOTEN; CAPOTEN; NOT FOUND; 50 MG COM CT BL AL/PVC/PE/PVDC X 30; BMS
1018000070228; CAPOTEN; CAPOTEN; NOT FOUND; 25 MG COM CT BL AL/PVC/PE/PVDC X 30; BMS
1018001080091; CEFAMOX; CEFAMOX; NOT FOUND; 250 MG/5 ML PO PREP EXTEMP CT FR PLAS OPC X 100 ML + DOS OR; BMS
1018001080111; CEFAMOX; CEFAMOX; NOT FOUND; 100 MG/ML PO PREP EXTEMP CT FR PLAS OPC X 100 ML + DOS OR; BMS
1018001080013; CEFAMOX; CEFAMOX; NOT FOUND; CARTUCHO COM 1 FR X 10; BMS
1018001080162; CEFAMOX; CEFAMOX; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 48; BMS
1018001080154; CEFAMOX; CEFAMOX; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 8; BMS
1018001550088; CEFZIL; CEFZIL; NOT FOUND; 50 MG/ML PO SUS OR CT FR PLAST OPC P/PREP 100 ML + DOSADOR ORAL; BMS
1018001550101; CEFZIL; CEFZIL; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 10; BMS
1018001040018; CITOSTAL; CITOSTAL; NOT FOUND; 10 MG CAP GEL DURA CT FR VD AMB X 5; BMS
1018001040026; CITOSTAL; CITOSTAL; NOT FOUND; 40 MG CAP GEL DURA CT FR VD AMB X 5; BMS
1018000110125; CORGARD; CORGARD; NOT FOUND; 40 MG COMP - CARTUCHO COM 2 BLISTERS X 15; BMS
1018000110133; CORGARD; CORGARD; NOT FOUND; 80 MG COMP - CARTUCHO COM 2 BLISTERS X 10; BMS
