74384; AC DEXAMETASONA MG ; AC DEXAMETASONA; ACETATO DEXAMETASONA; CREME. 1 MG 10 G x 1 (/G); TTB
74385; AC DEXAMETASONA MG ; AC DEXAMETASONA; ACETATO DEXAMETASONA; CREME. 1 MG 10 G x 50 (/G); TTB
67889; ACEBROFILINA MG ; ACEBROFILINA; ACEBROFILINA; XAR. AD 50 MG 120 ML x 1 (/5ML); TTB
67888; ACEBROFILINA MG ; ACEBROFILINA; ACEBROFILINA; XAR. PED. 25 MG 120 ML x 1 (/5ML); TTB
76584; ACET.HIDROCORTI.MG ; ACET HIDROCORTI; ACETATO HIDROCORTISONA; CREME 10 MG 15 G x 1 (/G); TTB
76585; ACET.HIDROCORTI.MG ; ACET HIDROCORTI; ACETATO HIDROCORTISONA; CREME 10 MG 30 G x 1 (/G); TTB
104588; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; XAR PED 20 MG 120 ML x 1 (/ML); TTB
56246; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; CREME 50 MG 10 G x 1 (/G); TTB
78326; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; F.AMP LIOF 250 MG 20 ML x 50; TTB
71764; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; F.AMP LIOF 250 MG x 5; TTB
102163; ACNEFIN ; ACNEFIN; NOT FOUND; GEL 50 MG 20 G x 1 (/G); TTB
87162; AERODINI ; AERODINI; NOT FOUND; AERO C/ESP 100 Y x 200 (/DOS); TTB
51383; AERODINI ; AERODINI; NOT FOUND; SOLN ORAL 2 MG 120 ML x 1 (/5ML); TTB
59683; AERODINI ; AERODINI; NOT FOUND; SPRAY 100 Y x 200 (/DOS); TTB
78939; AFOPIC ; AFOPIC; NOT FOUND; CPR 5 MG x 100; TTB
54628; AFOPIC ; AFOPIC; NOT FOUND; CPR 5 MG x 20; TTB
69637; ALBENDAZOL MG ; ALBENDAZOL; ALBENDAZOL; CPR 400 MG x 1; TTB
56991; ALBENDAZOL MG ; ALBENDAZOL; ALBENDAZOL; SUSP 40 MG 10 ML x 1 (/ML); TTB
49514; ALBENTEL ; ALBENTEL; NOT FOUND; SUSP 4 % 10 ML x 1; TTB
52176; ALDOTENSIN ; ALDOTENSIN; NOT FOUND; CPR 250 MG x 20; TTB
165399; ALENDRONATO SOD.MG ; ALENDRONATO SOD; NOT FOUND; CPR 70 MG x 4; TTB
78927; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.50 MG x 30; TTB
78928; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 1 MG x 30; TTB
78929; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 2 MG x 30; TTB
56548; AMINOFILINA MG ; AMINOFILINA; AMINOFILINA; A.IV 24 MG 10 ML x 50 (/ML); TTB
64197; AMINOFILINA MG ; AMINOFILINA; AMINOFILINA; CPR 100 MG x 20; TTB
64198; AMINOFILINA MG ; AMINOFILINA; AMINOFILINA; CPR 200 MG x 20; TTB
54630; AMINOLIV ; AMINOLIV; NOT FOUND; A.IV 24 MG 10 ML x 50 (/ML); TTB
53075; AMINOLIV ; AMINOLIV; NOT FOUND; CPR 100 MG x 20; TTB
53076; AMINOLIV ; AMINOLIV; NOT FOUND; CPR 200 MG x 20; TTB
70027; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 100; TTB
81180; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 15; TTB
65520; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 21; TTB
65521; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 30; TTB
117550; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 500; TTB
74317; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; SUSP 250 MG 150 ML x 1 (/5ML); TTB
87164; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; SUSP 50 MG 60 ML x 1 (/ML); TTB
53078; AMPICILASE ; AMPICILASE; NOT FOUND; CAPS 500 MG x 10; TTB
51396; AMPICILASE ; AMPICILASE; NOT FOUND; F.AMP 1 G 3 ML x 50; TTB
70029; AMPICILINA SODI.MG ; AMPICILINA SODI; AMPICILINA SODICA; F.AMP 1 G x 50; TTB
56549; AMPICILINA SODI.MG ; AMPICILINA SODI; AMPICILINA SODICA; F.AMP 500 MG x 50; TTB
50267; ANALGESIN ; ANALGESIN; NOT FOUND; CPR 100 MG x 200; TTB
50268; ANALGESIN ; ANALGESIN; NOT FOUND; CPR 500 MG x 100; TTB
71307; ANDROCORTIL ; ANDROCORTIL; NOT FOUND; F.AMP S/DILU 100 MG x 50; TTB
