52181; BACLOFEN ; BACLOFEN; NOT FOUND; CPR 10 MG x 20; TTB
48095; BACTERACIN ; BACTERACIN; NOT FOUND; CPR 400 MG x 12 (/80); TTB
87169; BACTERACIN ; BACTERACIN; NOT FOUND; CPR 400 MG x 20 (/80); TTB
48947; BACTERACIN ; BACTERACIN; NOT FOUND; CPR 800 MG x 10 (/160); TTB
48948; BACTERACIN ; BACTERACIN; NOT FOUND; SUSP 480 MG 100 ML x 1 (/5ML); TTB
52420; BENCOCAN ; BENCOCAN; NOT FOUND; LIQD 25 % 100 ML x 1; TTB
62802; BENEUM ; BENEUM; NOT FOUND; CPR REVEST 300 MG x 30; TTB
71843; BENEUM ; BENEUM; NOT FOUND; CPR REVEST 300 MG x 50; TTB
53081; BENEVAT ; BENEVAT; NOT FOUND; CREME 1 MG 30 G x 1 (/G); TTB
53082; BENEVAT ; BENEVAT; NOT FOUND; POM. 1 MG 30 G x 1 (/G); TTB
53149; BENZAPEN G ; BENZAPEN G; NOT FOUND; F.AMP LIOF 400 K 2 ML x 50; TTB
69376; BENZAPEN G ; BENZAPEN G; NOT FOUND; F.AMP S/DILU 400 K x 50; TTB
67891; BENZOILMETRONID.MG ; BENZOILMETRONID; NOT FOUND; SUSP ORAL 40 MG 100 ML x 1 (/ML; TTB
100162; BENZOILMETRONID.MG ; BENZOILMETRONID; NOT FOUND; SUSP ORAL 40 MG 100 ML x 50 (/M; TTB
53148; BEPEBEN ; BEPEBEN; NOT FOUND; F.AMP LIOF 1.20 M 4 ML x 50; TTB
53147; BEPEBEN ; BEPEBEN; NOT FOUND; F.AMP LIOF 600 K x 50; TTB
72578; BEPEBEN ; BEPEBEN; NOT FOUND; F.AMP S/DILU 1.20 M x 50; TTB
74039; BEPEBEN ; BEPEBEN; NOT FOUND; F.AMP S/DILU 600 K x 50; TTB
78200; BES ANLODIPINO MG ; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 10 MG x 30; TTB
61288; BES ANLODIPINO MG ; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 5 MG x 20; TTB
61289; BES ANLODIPINO MG ; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 5 MG x 30; TTB
80423; BIO SOAK ; BIO SOAK; NOT FOUND; KIT 360+120 480 ML x 1; TTB
109734; BIO SOAK ; BIO SOAK; NOT FOUND; SOL OFTAL 120 ML x 1; TTB
109736; BIO SOAK ; BIO SOAK; NOT FOUND; SOL OFTAL 60 ML x 1; TTB
148478; BIOLENN ; BIOLENN; NOT FOUND; CAPS GEL x 90; TTB
104613; BROM PINAVERIO MG ; BROM PINAVERIO; BROMETO PINAVERIO; CPR REV 50 MG x 10; TTB
104614; BROM PINAVERIO MG ; BROM PINAVERIO; BROMETO PINAVERIO; CPR REV 50 MG x 20; TTB
104615; BROM PINAVERIO MG ; BROM PINAVERIO; BROMETO PINAVERIO; CPR REV 50 MG x 30; TTB
104616; BROM PINAVERIO MG ; BROM PINAVERIO; BROMETO PINAVERIO; CPR REV 50 MG x 60; TTB
76546; BROM.FENOTEROL MG ; BROM FENOTEROL; NOT FOUND; GOTAS 5 MG 20 ML x 1 (/ML); TTB
76547; BROM.FENOTEROL MG ; BROM FENOTEROL; NOT FOUND; GOTAS 5 MG 20 ML x 100 (/ML); TTB
72845; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; CPR 3 MG x 100; TTB
72777; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; CPR 3 MG x 20; TTB
72778; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; CPR 3 MG x 30; TTB
72846; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; CPR 6 MG x 100; TTB
72779; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; CPR 6 MG x 20; TTB
72780; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; CPR 6 MG x 30; TTB
68407; BROMETO IPRATRO.MG ; BROMETO IPRATRO; BROMETO IPRATROPIO; SOLN INALT 0.25 MG 20 ML x 1 (; TTB
74499; BROMETO IPRATRO.MG ; BROMETO IPRATRO; BROMETO IPRATROPIO; SOLN INALT 0.25 MG 20 ML x 100; TTB
65526; BROMOPRIDA MG ; BROMOPRIDA; BROMOPRIDA; GOTAS 4 MG 20 ML x 1 (/ML); TTB
54571; BROMOTEC ; BROMOTEC; NOT FOUND; GOTAS 5 MG 20 ML x 1 (/ML); TTB
32628; BRONTOSS ; BRONTOSS; NOT FOUND; XAR. 100 ML x 1; TTB
56253; BUTILB ESCOPOLA MG ; BUTILB ESCOPOLA; BUTILBROMETO ESCOPOLAMINA; AMP. 20 MG 1 ML x 6 (/ML); TTB
