66380; TENOFTAL ; TENOFTAL; NOT FOUND; SOLN OFTAL 5 MG 5 ML x 1 (/ML); TTB
42731; TETRACLIN ; TETRACLIN; NOT FOUND; CAPS 250 MG x 100; TTB
43938; TETRACLIN ; TETRACLIN; NOT FOUND; CAPS 500 MG x 100; TTB
53191; TETRADERM ; TETRADERM; NOT FOUND; CREME 20 G x 1; TTB
144326; TEUCIPROX ; TEUCIPROX; NOT FOUND; CPR REVEST 500 MG x 14; TTB
144323; TEUCIPROX ; TEUCIPROX; NOT FOUND; CPR REVEST 500 MG x 7; TTB
78934; TEUFRON ; TEUFRON; NOT FOUND; CPR 0.50 MG x 30; TTB
78933; TEUFRON ; TEUFRON; NOT FOUND; CPR 1 MG x 30; TTB
78935; TEUFRON ; TEUFRON; NOT FOUND; CPR 2 MG x 30; TTB
112262; TEUPANTOL ; TEUPANTOL; NOT FOUND; POM. 50 MG 30 G x 1 (/G); TTB
159558; TEUPANTOL BABY ; TEUPANTOL BABY; NOT FOUND; CREME 30 G x 1; TTB
77116; TEUTOFORMIN ; TEUTOFORMIN; NOT FOUND; CPR 500 MG x 30; TTB
73248; TEUTOFORMIN ; TEUTOFORMIN; NOT FOUND; CPR 850 MG x 150; TTB
57971; TEUTOFORMIN ; TEUTOFORMIN; NOT FOUND; CPR 850 MG x 30; TTB
54539; TEUTOMICIN ; TEUTOMICIN; NOT FOUND; POM. 10 G x 1; TTB
66381; TEUTOVIT E ; TEUTOVIT E; NOT FOUND; CAPS 400 MG x 30; TTB
106887; TINID+NIT.MICON.MG ; TINID NIT MICON; NOT FOUND; CR.VAG.7 APL 40 G x 1; TTB
87141; TOPIRAMATO MG ; TOPIRAMATO; TOPIRAMATO; CPR REVEST 100 MG x 60; TTB
87138; TOPIRAMATO MG ; TOPIRAMATO; TOPIRAMATO; CPR REVEST 25 MG x 60; TTB
87140; TOPIRAMATO MG ; TOPIRAMATO; TOPIRAMATO; CPR REVEST 50 MG x 60; TTB
66383; TRAMALIV ; TRAMALIV; NOT FOUND; AMP. 100 MG 2 ML x 6; TTB
66382; TRAMALIV ; TRAMALIV; NOT FOUND; AMP. 50 MG 1 ML x 6; TTB
66384; TRAMALIV ; TRAMALIV; NOT FOUND; CAPS 50 MG x 10; TTB
70098; TRIAXON ; TRIAXON; NOT FOUND; F.AMP S/DILU 1 G 10 ML x 50; TTB
70415; TRIAXON ; TRIAXON; NOT FOUND; F.IM 1 G 3.50 ML x 1; TTB
76217; TRIAXON ; TRIAXON; NOT FOUND; F.IM 1 G 3.50 ML x 50; TTB
76578; TRIAXON ; TRIAXON; NOT FOUND; F.IM 250 MG 2 ML x 1; TTB
76268; TRIAXON ; TRIAXON; NOT FOUND; F.IM 500 MG 2 ML x 1; TTB
64118; TRIAXON ; TRIAXON; NOT FOUND; F.IV 1 G 10 ML x 1; TTB
64117; TRIAXON ; TRIAXON; NOT FOUND; F.IV 500 MG 5 ML x 1; TTB
76218; TRIAXON ; TRIAXON; NOT FOUND; F.IV S/DIL 500 MG x 50; TTB
51448; TYLIDOL ; TYLIDOL; NOT FOUND; CPR 500 MG x 20; TTB
51449; TYLIDOL ; TYLIDOL; NOT FOUND; CPR 500 MG x 200; TTB
76767; TYLIDOL ; TYLIDOL; NOT FOUND; CPR 750 MG x 20; TTB
53432; TYLIDOL ; TYLIDOL; NOT FOUND; CPR 750 MG x 200; TTB
52250; TYLIDOL ; TYLIDOL; NOT FOUND; GOTAS 200 MG 15 ML x 1 (/ML); TTB
