76580; V.BE+SU.G+TO+CL MG ; V BE SU G TO CL; NOT FOUND; CREME 20 G x 1; TTB
76579; V.BE+SU.G+TO+CL MG ; V BE SU G TO CL; NOT FOUND; POM. 20 G x 1; TTB
59833; VALEZEN ; VALEZEN; NOT FOUND; DRAG 50 MG x 30; TTB
69128; VALPROATO SODIO MG ; VALPROATO SODIO; VALPROATO SODIO; XAROPE 250 MG 100 ML x 1 (/5ML); TTB
76629; VALPROATO SODIO MG ; VALPROATO SODIO; VALPROATO SODIO; XAROPE 250 MG 100 ML x 50 (/5ML; TTB
74458; VARFARINA SODIC.MG ; VARFARINA SODIC; VARFARINA SODICA; CPR 5 MG x 30; TTB
75879; VARFARINA SODIC.MG ; VARFARINA SODIC; VARFARINA SODICA; CPR 5 MG x 50; TTB
64284; VENAFLON ; VENAFLON; NOT FOUND; CPR REVEST 450 MG x 30 (/50); TTB
60728; VENAFORT ; VENAFORT; NOT FOUND; CAPS GELATIN 100 MG x 30; TTB
87144; VIASIL ; VIASIL; NOT FOUND; CPR REVEST 50 MG x 1; TTB
87146; VIASIL ; VIASIL; NOT FOUND; CPR REVEST 50 MG x 2; TTB
87147; VIASIL ; VIASIL; NOT FOUND; CPR REVEST 50 MG x 4; TTB
87148; VIASIL ; VIASIL; NOT FOUND; CPR REVEST 50 MG x 8; TTB
80457; VITCLER ; VITCLER; NOT FOUND; FLACO ABACAX 10 ML x 60; TTB
80426; VITCLER ; VITCLER; NOT FOUND; FLACO BOLDO 10 ML x 60; TTB
