510900802153410; FATOR IX; FATOR IX; NOT FOUND; 1000 UI PO LIOF INJ CT FA VD INC + DIL X 20 ML ; GFL
510900803151411; FATOR IX; FATOR IX; NOT FOUND; 1500 UI PO LIOF INJ CT FA VD INC + DIL X 30 ML ; GFL
510900801157412; FATOR IX; FATOR IX; NOT FOUND; 250 UI PO LIOF INJ CT FA VD INC + DIL X 5 ML; GFL
510900804156417; FATOR IX; FATOR IX; NOT FOUND; 500 UI PO LIOF INJ CT FA VD INC + DIL X 10 ML ; GFL
510900902158317; FANHDI; FANHDI; NOT FOUND; 1000 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS; GFL
510900903154315; FANHDI; FANHDI; NOT FOUND; 1500 UI PO LIOF INJ CX FA VD INC + SER DIL X 15 ML + EQUIPO INFUS; GFL
510900901151319; FANHDI; FANHDI; NOT FOUND; 250 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS; GFL
510900904150313; FANHDI; FANHDI; NOT FOUND; 500 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUSAO; GFL
510900301154414; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 0.5 G SOL INJ FA VD INC X 10 ML; GFL
510912120003003; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 0.5 G SOL INJ FA 10ML; GFL
510900304153419; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 5.0 G SOL INJ FA VD INC X 100 ML; GFL
510912120003203; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 5.0 G SOL INJ FA 100 ML; GFL
510900302150412; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 10 G SOL INJ FA VD INC X 200 ML; GFL
510912120003303; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 10 G SOL INJ FA 200 ML ; GFL
510912120003403; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 20 G SOL INJ FA 400 ML ; GFL
510900303157410; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 2.5 G SOL INJ FA VD INC X 50 ML; GFL
510912120003103; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 2.5 G SOL INJ FA 50 ML; GFL
510912120002803; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 10.0 G SOL INJ FA 100 ML; GFL
510912120002903; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 20.0 G SOL INJ FA 200 ML ; GFL
510912120002703; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 5.0 G SOL INJ FA 50 ML; GFL
