538001807111116; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM REV CT BL AL/PVC X 30; A1F
538001808116111; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM REV CX BL AL/PVC X 300 (EMB HOSP); A1F
538001809112111; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM REV CX BL AL/PVC X 600 (EMB HOSP); A1F
538001802118112; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM REV CT BL AL/PVC X 30; A1F
538001804110119; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM REV CX BL AL/PVC X 300 (EMB HOSP); A1F
538001805117117; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM REV CX BL AL/PVC X 600 (EMB HOSP); A1F
538001803114110; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM REV CT BL AL/PVC X 30; A1F
538001801111114; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM REV CX BL AL/PVC X 300(EMB HOSP); A1F
538001806113115; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM REV CX BL AL/PVC X 600 (EMB HOSP); A1F
538002309113417; ARASID; ARASID; NOT FOUND; 100 MG COM REV CT BL AL/AL X 10; A1F
538002310111414; ARASID; ARASID; NOT FOUND; 100 MG COM REV CT BL AL/AL X 20; A1F
538002311118412; ARASID; ARASID; NOT FOUND; 100 MG COM REV CT BL AL/AL X 30; A1F
538002312114410; ARASID; ARASID; NOT FOUND; 100 MG COM REV CT BL AL/AL X 60; A1F
538002302119411; ARASID; ARASID; NOT FOUND; 25 MG COM REV CT BL AL/AL X 10; A1F
538002303115418; ARASID; ARASID; NOT FOUND; 25 MG COM REV CT BL AL/AL X 20; A1F
538002304111416; ARASID; ARASID; NOT FOUND; 25 MG COM REV CT BL AL/AL X 30; A1F
538002305118414; ARASID; ARASID; NOT FOUND; 25 MG COM REV CT BL AL/AL X 60; A1F
538002306114412; ARASID; ARASID; NOT FOUND; 50 MG COM REV CT BL AL/AL X 10; A1F
538002307110410; ARASID; ARASID; NOT FOUND; 50 MG COM REV CT BL AL/AL X 20; A1F
538002308117419; ARASID; ARASID; NOT FOUND; 50 MG COM REV CT BL AL/AL X 30; A1F
538002301112411; ARASID; ARASID; NOT FOUND; 50 MG COM REV CT BL AL/AL X 60; A1F
