72622; GLICENAX ; GLICENAX; NOT FOUND; SOLN 12 % 500 ML x 24; FRS
95649; GLICONATO CALCIO ; GLICONATO CALCIO; GLICONATO CALCIO; AMP IV 100 MG 10 ML x 100; FRS
74956; GLICOSE ; GLICOSE; GLICOSE; SOL INJ S/F 5 % 500 ML x 30; FRS
42588; GLICOSE ; GLICOSE; GLICOSE; SOLN INJ. 5 % 250 ML x 1; FRS
42589; GLICOSE ; GLICOSE; GLICOSE; SOLN INJ. 5 % 500 ML x 1; FRS
71272; GLICOSE ; GLICOSE; GLICOSE; SOLN INJ. 5 % 500 ML x 24; FRS
74404; GLICOSE ; GLICOSE; GLICOSE; SOLN INJ S/F 5 % 100 ML x 80; FRS
74227; GLICOSE ; GLICOSE; GLICOSE; SOLN INJ S/F 5 % 1000 ML x 12; FRS
74228; GLICOSE ; GLICOSE; GLICOSE; SOLN INJ S/F 5 % 250 ML x 1; FRS
74229; GLICOSE ; GLICOSE; GLICOSE; SOLN INJ S/F 5 % 500 ML x 1; FRS
74223; GLICOSE ; GLICOSE; GLICOSE; SOLN INJ S/F 5 % 500 ML x 24; FRS
74225; GLICOSE ; GLICOSE; GLICOSE; SOLN INJ S/F 50 % 500 ML x 30; FRS
77386; GLYCOPHOS ; GLYCOPHOS; NOT FOUND; F.AMP INFUS 216 MG 20 ML x 10 (/ML); FRS
