47010, ADALAT , ADALAT, NOT FOUND, CAPS 10 MG x 60, BYP
53309, ADALAT OROS , ADALAT OROS, NOT FOUND, CPR 20 MG x 15, BYP
75617, ADALAT OROS , ADALAT OROS, NOT FOUND, CPR 20 MG x 30, BYP
48718, ADALAT OROS , ADALAT OROS, NOT FOUND, CPR 30 MG x 15, BYP
75615, ADALAT OROS , ADALAT OROS, NOT FOUND, CPR 30 MG x 30, BYP
49216, ADALAT OROS , ADALAT OROS, NOT FOUND, CPR 60 MG x 15, BYP
75616, ADALAT OROS , ADALAT OROS, NOT FOUND, CPR 60 MG x 30, BYP
50269, ADALAT RETARD , ADALAT RETARD, NOT FOUND, CPR 10 MG x 30, BYP
47009, ADALAT RETARD , ADALAT RETARD, NOT FOUND, CPR 20 MG x 30, BYP
93690, ALLURENE , ALLURENE, NOT FOUND, CPR 2 MG x 28, BYP
59748, ANDROCUR , ANDROCUR, NOT FOUND, CPR 100 MG x 20, BYP
33296, ANDROCUR , ANDROCUR, NOT FOUND, CPR 50 MG x 20, BYP
68078, ANGELIQ , ANGELIQ, NOT FOUND, CPR REVEST x 28, BYP
52960, ASPIRINA PREVENT , ASPIRINA PREVENT, NOT FOUND, CPR 100 MG x 30, BYP
63677, ASPIRINA PREVENT , ASPIRINA PREVENT, NOT FOUND, CPR 300 MG x 30, BYP
64292, AVADEN , AVADEN, NOT FOUND, CPR REVEST x 28, BYP
59939, AVALOX , AVALOX, NOT FOUND, BOLSA PLASTI 400 MG 250 ML x 1, BYP
56102, AVALOX , AVALOX, NOT FOUND, CPR REVEST 400 MG x 5, BYP
56103, AVALOX , AVALOX, NOT FOUND, CPR REVEST 400 MG x 7, BYP
