61962; LEVITRA ; LEVITRA; NOT FOUND; CPR REVEST 10 MG x 1; BYP
67396; LEVITRA ; LEVITRA; NOT FOUND; CPR REVEST 10 MG x 2; BYP
61963; LEVITRA ; LEVITRA; NOT FOUND; CPR REVEST 10 MG x 4; BYP
64511; LEVITRA ; LEVITRA; NOT FOUND; CPR REVEST 20 MG x 2; BYP
61964; LEVITRA ; LEVITRA; NOT FOUND; CPR REVEST 20 MG x 4; BYP
69330; LEVITRA ; LEVITRA; NOT FOUND; CPR REVEST 20 MG x 8; BYP
61961; LEVITRA ; LEVITRA; NOT FOUND; CPR REVEST 5 MG x 4; BYP
80678; LEVITRA ODT ; LEVITRA ODT; NOT FOUND; CPR ORODISPE 10 MG x 2; BYP
80677; LEVITRA ODT ; LEVITRA ODT; NOT FOUND; CPR ORODISPE 10 MG x 4; BYP
52222; LINDISC 50 ; LINDISC 50; NOT FOUND; PARCHE 50 3.90 MG x 4; BYP
76754; LUCIARA ; LUCIARA; NOT FOUND; CREME. 200 ML x 1; BYP
84700; LUCIARA ; LUCIARA; NOT FOUND; KIT CREME 200 ML x 2; BYP
