53215, BETAFERON , BETAFERON, NOT FOUND, F.AMP LIOF 9.60 M 1.20 ML x 15, BYP
1592, BINOTAL , BINOTAL, NOT FOUND, CAPS 500 MG x 18, BYP
51793, BINOTAL , BINOTAL, NOT FOUND, CPR 1 G x 12, BYP
90243, BINOTAL , BINOTAL, NOT FOUND, CPR 1 G x 14, BYP
27508, BINOTAL , BINOTAL, NOT FOUND, CPR 1 G x 18, BYP
90244, BINOTAL , BINOTAL, NOT FOUND, CPR 1 G x 21, BYP
51792, BINOTAL , BINOTAL, NOT FOUND, CPR 500 MG x 12, BYP
90239, BINOTAL , BINOTAL, NOT FOUND, CPR 500 MG x 14, BYP
90241, BINOTAL , BINOTAL, NOT FOUND, CPR 500 MG x 21, BYP
71544, BONEFOS , BONEFOS, NOT FOUND, AMP.INFUSION 1500 MG 25 ML x 1, BYP
51232, BONEFOS , BONEFOS, NOT FOUND, AMP.INFUSION 60 MG 5 ML x 5 (/ML), BYP
58100, BONEFOS , BONEFOS, NOT FOUND, CAPS 400 MG x 30, BYP
