54071, TARGUS , TARGUS, NOT FOUND, PARCHE 40 MG x 10, BAG
55495, TIORFAN , TIORFAN, NOT FOUND, CAPS 100 MG x 9, BAG
77448, TIORFAN , TIORFAN, NOT FOUND, SACHETS 10 MG 1 G x 18, BAG
85653, TIORFAN , TIORFAN, NOT FOUND, SACHETS 10 MG 1 G x 2, BAG
70327, TIORFAN , TIORFAN, NOT FOUND, SACHETS 30 MG 3 G x 18, BAG
85654, TIORFAN , TIORFAN, NOT FOUND, SACHETS 30 MG 3 G x 2, BAG
55345, TRANQUINAL , TRANQUINAL, NOT FOUND, CPR 0.25 MG x 20, BAG
109718, TRANQUINAL , TRANQUINAL, NOT FOUND, CPR 0.25 MG x 30, BAG
55346, TRANQUINAL , TRANQUINAL, NOT FOUND, CPR 0.50 MG x 20, BAG
89940, TRANQUINAL , TRANQUINAL, NOT FOUND, CPR 0.50 MG x 30, BAG
55347, TRANQUINAL , TRANQUINAL, NOT FOUND, CPR 1 MG x 20, BAG
109719, TRANQUINAL , TRANQUINAL, NOT FOUND, CPR 1 MG x 30, BAG
55348, TRANQUINAL , TRANQUINAL, NOT FOUND, CPR 2 MG x 20, BAG
109721, TRANQUINAL , TRANQUINAL, NOT FOUND, CPR 2 MG x 30, BAG
100193, TRANQUINAL SLG , TRANQUINAL SLG, NOT FOUND, CPR SL 0.50 MG x 15, BAG
100192, TRANQUINAL SLG , TRANQUINAL SLG, NOT FOUND, CPR SL 0.50 MG x 30, BAG
65272, TRIFAMOX IBL , TRIFAMOX IBL, NOT FOUND, CPR BD 875 MG x 14 (/125), BAG
58080, TRIFAMOX IBL , TRIFAMOX IBL, NOT FOUND, CPR REVEST 1000 MG x 8, BAG
58079, TRIFAMOX IBL , TRIFAMOX IBL, NOT FOUND, CPR REVEST 500 MG x 16, BAG
58078, TRIFAMOX IBL , TRIFAMOX IBL, NOT FOUND, CPR REVEST 500 MG x 8, BAG
58082, TRIFAMOX IBL , TRIFAMOX IBL, NOT FOUND, F.AMP C/DILU 1500 MG 5 ML x 1, BAG
58081, TRIFAMOX IBL , TRIFAMOX IBL, NOT FOUND, F.AMP C/DILU 750 MG 5 ML x 1, BAG
58083, TRIFAMOX IBL , TRIFAMOX IBL, NOT FOUND, SUSP 250 MG 60 ML x 1 (/5ML), BAG
58084, TRIFAMOX IBL , TRIFAMOX IBL, NOT FOUND, SUSP 500 MG 60 ML x 1 (/5ML), BAG
65270, TRIFAMOX IBL , TRIFAMOX IBL, NOT FOUND, SUSP ORAL BD 200 MG 30 ML x 1 (/50), BAG
65271, TRIFAMOX IBL , TRIFAMOX IBL, NOT FOUND, SUSP ORAL BD 200 MG 60 ML x 1 (/50), BAG
