1053500950012; OSSOMAX; OSSOMAX; NOT FOUND; 10MG COMP BL CX C/15; GLO
1053500950020; OSSOMAX; OSSOMAX; NOT FOUND; 10MG COMP BL CX C/30; GLO
1053500950039; OSSOMAX; OSSOMAX; NOT FOUND; 70 MG COM CT BL AL PLAS  BR OPC X 4; GLO
1053500710011; OPTAMAX; OPTAMAX; NOT FOUND; 50 MG COM REV CT BL AL PLAST INC X 20; GLO
1053500710021; OPTAMAX; OPTAMAX; NOT FOUND; 100 MG COM RETARD CT BL AL PLAS INC X 10; GLO
1053500940051; OPTAFLAN; OPTAFLAN; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC CGT X 15 ML; GLO
1053500940017; OPTAFLAN; OPTAFLAN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 12; GLO
1053501720071; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20MG CAP GEL DURA CT BL AL PLAS INC X 28; GLO
1053501720088; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20MG CAP GEL DURA CT BL AL PLAS INC X 56; GLO
1053501720037; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20MG CAP GEL DURA CT FR PLAS OPC X 28; GLO
1053501720126; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20MG CAP GEL DURA CT FR PLAS OPC X 56; GLO
