1053500760035; PROPALOL; PROPALOL; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 40; GLO
1053500760027; PROPALOL; PROPALOL; NOT FOUND; 80 MG COM CT BL AL PLAS AMB X 20 ; GLO
1053500110014; PIROFEBRAN; PIROFEBRAN; NOT FOUND; 500MG/ML SOL OR FR PLAS CGT C/10ML; GLO
1053500110065; PIROFEBRAN; PIROFEBRAN; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC CGT X 20 ML; GLO
1053500110030; PIROFEBRAN; PIROFEBRAN; NOT FOUND; 500MG COMP STR CX C/100; GLO
1053500110022; PIROFEBRAN; PIROFEBRAN; NOT FOUND; 500MG COMP STR CX C/200; GLO
1053501190038; POLARATIN; POLARATIN; NOT FOUND; 0.4MG/ML XPE CT FR VD AMB X 100 ML; GLO
1053501190011; POLARATIN; POLARATIN; NOT FOUND; 2 MG COM CT BL AL PLAS TRANS X 20; GLO
1053501160066; PRESSOCORD; PRESSOCORD; NOT FOUND; 10 MG COM CT  STR X 30; GLO
1053501160041; PRESSOCORD; PRESSOCORD; NOT FOUND; 20 MG COM CT  STR X 30; GLO
1053501160023; PRESSOCORD; PRESSOCORD; NOT FOUND; 5 MG COM CT  STR X 30; GLO
1053500910013; PLURITIN; PLURITIN; NOT FOUND; 0.01G/ML CREM FR PLAS C/60ML; GLO
1053500810016; PIROXAM; PIROXAM; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS TRANS X 15; GLO
1053500810024; PIROXAM; PIROXAM; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS TRANS X 15; GLO
1053501670013; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G CREM DERM CT BG AL X 30 G ; GLO
