1053501040011; CAPTOCORD; CAPTOCORD; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 15 ; GLO
1053501040028; CAPTOCORD; CAPTOCORD; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 30; GLO
1053501040036; CAPTOCORD; CAPTOCORD; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 15; GLO
1053501040044; CAPTOCORD; CAPTOCORD; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; GLO
1053501040052; CAPTOCORD; CAPTOCORD; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 15; GLO
1053501040060; CAPTOCORD; CAPTOCORD; NOT FOUND; 50 MG COM CT  BL AL PLAS INC X 30; GLO
1053501450013; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G XAMP CT FR PLAS OPC X 100 ML; GLO
1053500790023; CETOMICOSS; CETOMICOSS; NOT FOUND; 0.02 G/G CREM DERM CT BG AL X 20 G; GLO
1053500790015; CETOMICOSS; CETOMICOSS; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 10; GLO
1053500790031; CETOMICOSS; CETOMICOSS; NOT FOUND; 200 MG COM CT 3 BL AL PLAS INC X 10; GLO
1053501680027; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.64 MG/G CREM DERM CT BG AL X 30 G; GLO
1053500030014; CÁLCIO; CALCIO; NOT FOUND; 10MG+0.05MG+0.001MG/ML SUSP OR FR VD C/250ML; GLO
1053501490015; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; 10 MG/G CREM DERM CT BG AL X 20 G ; GLO
1053501080011; CINAFAR; CINAFAR; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; GLO
1053501080038; CINAFAR; CINAFAR; NOT FOUND; 75 MG COM CT BL AL PLAS INC X 30; GLO
1053501410011; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 0.8 MG/ML XPE CT FR PLAS AMBX 120ML + CP MED ; GLO
1053501410046; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6 MG/ML XPE CT FR PLAS AMBX 120ML + CP MED ; GLO
1053501130019; CIPROFLOXATRIN; CIPROFLOXATRIN; NOT FOUND; 250MG COMP REV BL CX C/06; GLO
1053501130043; CIPROFLOXATRIN; CIPROFLOXATRIN; NOT FOUND; 500 MG COM REV CT  BL AL PLAS INC X 6; GLO
1053501130051; CIPROFLOXATRIN; CIPROFLOXATRIN; NOT FOUND; 500 MG COM REV CT  BL AL PLAS INC X 14; GLO
1053501400016; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6 ; GLO
1053501400024; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; GLO
1053501400032; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP); GLO
1053501690014; CLORIDRATO DE DOXICICLINA; CLORIDRATO DOXICICLINA; CLORIDRATO DOXICICLINA; 100 MG COM REV CT BL AL PLAS INC X 15 ; GLO
1053501700036; CLORIDRATO DE HIDROXIZINA; CLORIDRATO HIDROXIZINA; NOT FOUND; 10MG/5ML SOL OR CT FR PLAS AMB X 100 ML+ CP MED; GLO
1053501470014; CLORIDRATO DE NAFAZOLINA; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.5 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML; GLO
1053500060048; COMPLEXIMED; COMPLEXIMED; NOT FOUND; XPE FR VD C/100ML; GLO
1053500060021; COMPLEXIMED; COMPLEXIMED; NOT FOUND; DRG FR VD C/20; GLO
1053500060056; COMPLEXIMED B+C; COMPLEXIMED B C; NOT FOUND; DRG FR VD C/20; GLO
1053501700011; CLORIDRATO DE HIDROXIZINA; CLORIDRATO HIDROXIZINA; NOT FOUND; 10MG/5ML SOL OR CT FR PLAS AMB X 100 ML; GLO
1053501590011; CLORIDRATO DE LOPERAMIDA; CLORIDRATO LOPERAMIDA; CLORIDRATO LOPERAMIDA; 2 MG COM CT BL AL PLAS INC X 12; GLO
1053501590036; CLORIDRATO DE LOPERAMIDA; CLORIDRATO LOPERAMIDA; CLORIDRATO LOPERAMIDA; 2 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); GLO
