508314060020407; FARMACE CPHD - FRAÇÃO ÁCIDA COM CÁLCIO 2,5 MEQ/L; FARMACE CPHD FRACAO ACIDA CALCIO 2 5 MEQ L; NOT FOUND; (210.7+5.22+6.43+3.55+10.83) G/L SOL HEMO BOMBO PLAS TRANS X 5 L; FM_
508314060020507; FARMACE CPHD - FRAÇÃO ÁCIDA COM CÁLCIO 2,5 MEQ/L; FARMACE CPHD FRACAO ACIDA CALCIO 2 5 MEQ L; NOT FOUND; (210.7+5.22+6.43+3.55+10.83) G/L SOL HEMO CX 4 BOMBO PLAS TRANS X 5 L; FM_
508303801155415; FARMACE - RINGER; FARMACE RINGER; NOT FOUND; 0.860G + 0.030G + 0.033G SOL INJ IV CX 50 FR PLAS TRANS SIST FECH X 250 ML; FM_
508303802151413; FARMACE - RINGER; FARMACE RINGER; NOT FOUND; 0.860G + 0.030G + 0.033G SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML; FM_
508312090020204; FOSFATO DE POTÁSSIO; FOSFATO POTASSIO; NOT FOUND; 2 MEQ/ML SOL INJ IV CX 200 AMP PLAS TRANS X 10 ML; FM_
508303004158119; FOSFATO DISSÓDICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 2 MG/ML SOL INJ CT 2 AMP VD INC X 1 ML ; FM_
508303005154117; FOSFATO DISSÓDICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 2 MG/ML SOL INJ CX 100 AMP VD INC X 1 ML (EMB HOSP); FM_
508303006150115; FOSFATO DISSÓDICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 2 MG/ML SOL INJ CX 50 AMP VD INC X 1 ML (EMB HOSP); FM_
508303001159114; FOSFATO DISSÓDICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 4 MG/ML SOL INJ CT AMP VD INC X 2.5 ML ; FM_
508303002155112; FOSFATO DISSÓDICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 4 MG/ML SOL INJ CX 100 AMP VD INC X 2.5 ML (EMB HOSP); FM_
508303003151110; FOSFATO DISSÓDICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 4 MG/ML SOL INJ CX 50 AMP VD INC X 2.5 ML (EMB HOSP); FM_
508301001151419; FUROSEFARMA; FUROSEFARMA; NOT FOUND; 10 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML  - JA ALTEROU!!!; FM_
508301102179416; FARMACE - SOL. GLICERINA 12%; FARMACE SOL GLICERINA 12; NOT FOUND; 120 MG/ML ENEMA CX 24 FR PLAS TRANS X 500 ML; FM_
508303601156418; FARMACE - GLICOSE; FARMACE GLICOSE; NOT FOUND; 100 MG/ML SOL INJ IV CX 60 FR PLAS TRANS SIST FECH X 100 ML; FM_
508303604155412; FARMACE - GLICOSE; FARMACE GLICOSE; NOT FOUND; 100 MG/ML SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML; FM_
508303602152416; FARMACE - GLICOSE; FARMACE GLICOSE; NOT FOUND; 100 MG/ML SOL INJ IV CX 50 FR PLAS TRANS SIST FECH X 250 ML; FM_
508303603159414; FARMACE - GLICOSE; FARMACE GLICOSE; NOT FOUND; 100 MG/ML SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML; FM_
508303605151410; FARMACE - GLICOSE; FARMACE GLICOSE; NOT FOUND; 2.5 G/10ML SOL INJ CX 200 FR PLAS TRANS X 10 ML; FM_
508303701150411; FARMACE - GLICOSE 5% SOLUÇÃO ISOTONICA; FARMACE GLICOSE 5 SOLUCAO ISOTONICA; NOT FOUND; 50 MG/ML SOL INJ IV CX 60 FR PE TRANS SIST FECH X 100 ML ; FM_
508303702157411; FARMACE - GLICOSE 5% SOLUÇÃO ISOTONICA; FARMACE GLICOSE 5 SOLUCAO ISOTONICA; NOT FOUND; 50 MG/ML SOL INJ IV CX 12 FR PE TRANS SIST FECH X 1000 ML; FM_
508303704151419; FARMACE - GLICOSE 5% SOLUÇÃO ISOTONICA; FARMACE GLICOSE 5 SOLUCAO ISOTONICA; NOT FOUND; 50 MG/ML SOL INJ IV CX 50 FR PE TRANS SIST FECH X 250 ML ; FM_
508303703153418; FARMACE - GLICOSE 5% SOLUÇÃO ISOTONICA; FARMACE GLICOSE 5 SOLUCAO ISOTONICA; NOT FOUND; 50 MG/ML SOL INJ IV CX 24 FR PE TRANS SIST FECH X 500 ML; FM_
508303501151414; FARMACE - ÁGUA PARA INJEÇÃO; FARMACE AGUA PARA INJECAO; NOT FOUND; SOL INJ IV CX 60 FR PLAS TRANS SIST FECH X 100 ML; FM_
508303502158412; FARMACE - ÁGUA PARA INJEÇÃO; FARMACE AGUA PARA INJECAO; NOT FOUND; SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML ; FM_
508303504150419; FARMACE - ÁGUA PARA INJEÇÃO; FARMACE AGUA PARA INJECAO; NOT FOUND; SOL INJ IV CX 50 FR PLAS TRANS SIST FECH X 250 ML; FM_
508303503154410; FARMACE - ÁGUA PARA INJEÇÃO; FARMACE AGUA PARA INJECAO; NOT FOUND; SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML; FM_
