1049712870049; STER; STER; NOT FOUND; 10 MG/ML SUS OFT CT FR PLAS OPC GOT X 10 ML; U_Q
1049712870030; STER; STER; NOT FOUND; 10 MG/ML SUS OFT CT PLAS  OPC GOT X 5 ML; U_Q
1049712870022; STER; STER; NOT FOUND; 1.2 MG/ML SUS OFT CT FR PLAS OPC GOT X 5 ML; U_Q
1049712870014; STER; STER; NOT FOUND; 1.2 MG/ML SUS OFT CT FR PLAS OPC GOT X 10 ML; U_Q
1049712900010; STEROCLOR; STEROCLOR; NOT FOUND; (5 MG+1 MG)/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; U_Q
1049712900037; STEROCLOR; STEROCLOR; NOT FOUND; (5 MG+ 0.5 MG)/ G POM OFT CT BG AL OPC X 3.5 G; U_Q
1049702060036; SUCCINIL COLIN; SUCCINIL COLIN; NOT FOUND; 100 MG PO LIOF INJ CT FA VD INC; U_Q
1049702060044; SUCCINIL COLIN; SUCCINIL COLIN; NOT FOUND; 500 MG PO LIOF INJ CT FA VD INC; U_Q
1049701820045; STELE; STELE; NOT FOUND; 1 MG/G CREM VAG CT BG AL X 50 G + APLIC; U_Q
1049711440024; SIRBEN; SIRBEN; NOT FOUND; 20 MG/ML SUS OR CT FR VD AMB X 30 ML; U_Q
1049711440016; SIRBEN; SIRBEN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 6; U_Q
1049700090025; SCALID; SCALID; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 12; U_Q
