1049713680014; CHOFRAFIG; CHOFRAFIG; NOT FOUND; SOL OR CT 12 FLAC INC X 10 ML; U_Q
1049713680030; CHOFRAFIG; CHOFRAFIG; NOT FOUND; SOL OR CT 60 FLAC INC X 10 ML; U_Q
1049713680049; CHOFRAFIG; CHOFRAFIG; NOT FOUND; SOL OR CT 12 FR VD AMB X 120 ML; U_Q
1049700990014; CICLOVULAR; CICLOVULAR; NOT FOUND; 150MG/ML + 10MG/ML SOL INJ CT AMP VD INC X 1 ML; U_Q
1049712140016; CONSTANTE; CONSTANTE; NOT FOUND; 0.25 MG COM CT BL AL PLAS INC X 20 ; U_Q
1049712140024; CONSTANTE; CONSTANTE; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 20 ; U_Q
1049712140032; CONSTANTE; CONSTANTE; NOT FOUND; 1.0 MG COM CT BL AL PLAS INC X 20 ; U_Q
1049712140040; CONSTANTE; CONSTANTE; NOT FOUND; 0.25 MG COM CT BL AL PLAS INC X 30 ; U_Q
1049712140083; CONSTANTE; CONSTANTE; NOT FOUND; 0.5 MG COM CT  BL AL PLAS INC X 30 ; U_Q
1049712140121; CONSTANTE; CONSTANTE; NOT FOUND; 1.0 MG COM CT  BL AL PLAS INC X 30; U_Q
1049711420023; CELESTRAT; CELESTRAT; NOT FOUND; 2 MG/5ML + 0.25 MG/5ML XPE CT FR VD AMB X 120 ML; U_Q
1049711420015; CELESTRAT; CELESTRAT; NOT FOUND; 2 MG + 0.25 MG COM CT BL AL PLAS INC X 15; U_Q
1049712180018; CAPOTRAT; CAPOTRAT; NOT FOUND; 12.5 MG COM X 30; U_Q
1049712180026; CAPOTRAT; CAPOTRAT; NOT FOUND; 12.5 MG COM X 300 (EH); U_Q
1049712180034; CAPOTRAT; CAPOTRAT; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; U_Q
1049712180042; CAPOTRAT; CAPOTRAT; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); U_Q
1049712180069; CAPOTRAT; CAPOTRAT; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; U_Q
1049712180050; CAPOTRAT; CAPOTRAT; NOT FOUND; 50 MG COM X 500 (EH); U_Q
1049713520041; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 30 ; U_Q
1049713520017; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 30; U_Q
1049713440013; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 20 MG/ML SUS OR CT FR VD AMB X 100 ML + CP MED; U_Q
1049713440021; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 20 MG/ML SUS OR CT FR VD AMB X 100 ML + SER DOSAD; U_Q
1049713310047; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); U_Q
1049713310012; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 20; U_Q
1049713310055; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); U_Q
1049713310020; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 30; U_Q
1049713310063; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); U_Q
1049713310039; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 60; U_Q
1049713380010; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CT FR PLAS TRANS X 100 ML + CP MED ; U_Q
1049713380029; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR PLAS TRANS X 100 ML + CP MED ; U_Q
1049713550013; CEFALEXINA; CEFALEXINA; CEFALEXINA; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML + CP MED ; U_Q
1049713550021; CEFALEXINA; CEFALEXINA; CEFALEXINA; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 100 ML + CP MED; U_Q
1049713540034; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG CAP GEL DURA CT BL AL PLAS TRANS X 8; U_Q
1049713540042; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG CAP GEL DURA CT BL AL PLAS TRANS X 10; U_Q
1049701760107; CEFALOTIL; CEFALOTIL; NOT FOUND; 1 G PO SOL INJ CX 50 FA VD INC + 50 AMP DIL X 5 ML; U_Q
1049701760123; CEFALOTIL; CEFALOTIL; NOT FOUND; 1 G PO SOL INJ CX 50 FA VD INC; U_Q
1049702480035; CEFTRAT; CEFTRAT; NOT FOUND; 1 G PO INJ IM/IV CT FA VD INC; U_Q
1049702480116; CEFTRAT; CEFTRAT; NOT FOUND; 1 G PO INJ CT 50 FA VD INC; U_Q
1049713400021; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO P/ SOL INJ CT 50 FA VD INC X 13 ML (EMB HOSP); U_Q
1049701630025; CEFORAN; CEFORAN; NOT FOUND; 1 G PO SOL INJ CT FA VD AMB + AMP DIL X 4 ML; U_Q
1049701740017; CETAZ; CETAZ; NOT FOUND; 1 G PO LIOF CT FA VD INC + DIL X 10 ML; U_Q
1049701740025; CETAZ; CETAZ; NOT FOUND; 1 G PO LIOF INJ CT 50 FA VD INC + DIL 10 ML; U_Q
1049700070018; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2.5 MG / ML SOL OR CT FR VD AMB CGT X 20 ML; U_Q
1486900250028; CIPRONOM; CIPRONOM; NOT FOUND; 3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; U_Q
1049713070011; CYLOCORT; CYLOCORT; NOT FOUND; ( 3+ 1 ) MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; U_Q
1049713070038; CYLOCORT; CYLOCORT; NOT FOUND; ( 3 +1) MG/G POM OFT CT BG AL X 3.5 G; U_Q
1049713320034; CLORIDRATO DE CLINDAMICINA; CLORIDRATO CLINDAMICINA; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB HOSP); U_Q
1049713320018; CLORIDRATO DE CLINDAMICINA; CLORIDRATO CLINDAMICINA; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 16 ; U_Q
1049713320026; CLORIDRATO DE CLINDAMICINA; CLORIDRATO CLINDAMICINA; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 20 ; U_Q
1049702500036; CLINDABIOTIC; CLINDABIOTIC; NOT FOUND; SOL INJ CT 50 AMP VD INC X 2 ML; U_Q
1049702500044; CLINDABIOTIC; CLINDABIOTIC; NOT FOUND; SOL INJ CT 50 AMP VD INC X 4 ML; U_Q
1049702500109; CLINDABIOTIC; CLINDABIOTIC; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 20; U_Q
1049712610012; CLORIDRATO DE CLOBUTINOL + SUCCINATO DE DOXILAMINA; CLORIDRATO CLOBUTINOL SUCCINATO DOXILAMINA; NOT FOUND; 4 MG/ML + 0.75 MG/ML XPE CT FR VD AMB X 120 ML; U_Q
1049702870021; CLORIDRATO DE CLOBUTINOL + SUCCINATO DE DOXILAMINA; CLORIDRATO CLOBUTINOL SUCCINATO DOXILAMINA; NOT FOUND; 48 MG/ML + 9 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; U_Q
1049712150011; CLOMIPRAN; CLOMIPRAN; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 20; U_Q
1049712150021; CLOMIPRAN; CLOMIPRAN; NOT FOUND; 25 MG DRG CT BL AL PLAS INC X 20; U_Q
1049701550031; CLORPROMAZ; CLORPROMAZ; NOT FOUND; 5 MG/ML SOL INJ CT 50 AMP VD AMB X 5 ML ( EMB HOSP); U_Q
1049701550048; CLORPROMAZ; CLORPROMAZ; NOT FOUND; 100 MG COM REV  CT BL AL PLAS INC X 100 ( EMB HOSP); U_Q
1049711980029; CLORIDRATO DE DOPAMINA; CLORIDRATO DOPAMINA; CLORIDRATO DOPAMINA; 5 MG/ML SOL INJ IV CT 10 AMP VD AMB X 10 ML  (EMB HOSP); U_Q
1049711980010; CLORIDRATO DE DOPAMINA; CLORIDRATO DOPAMINA; CLORIDRATO DOPAMINA; SOL INJ CT 50 AMP VD AMB X 10 ML; U_Q
1049711980010; CLORIDRATO DE DOPAMINA; CLORIDRATO DOPAMINA; CLORIDRATO DOPAMINA; 5 MG/ML SOL INJ IV CT 50 AMP VD AMB X 10 ML   (EMB HOSP); U_Q
1049712820025; CRISTALIN; CRISTALIN; NOT FOUND; 0.25 MG/ML + 3 MG/ML SOL OFT CT FR PLAS OPC GOT X 15 ML; U_Q
1049713390016; CLORIDRATO DE PETIDINA; CLORIDRATO PETIDINA; CLORIDRATO PETIDINA; 50 MG/ ML SOL INJ CT 25 AMP VD INC X 2 ML; U_Q
1049713140011; CLORIDRATO DE PROPANOLOL; CLORIDRATO PROPANOLOL; NOT FOUND; 40 MG COM CT 2 BL AL PLAS INC. X 10; U_Q
1049713140028; CLORIDRATO DE PROPANOLOL; CLORIDRATO PROPANOLOL; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 30; U_Q
1049713140036; CLORIDRATO DE PROPANOLOL; CLORIDRATO PROPANOLOL; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 40; U_Q
1049712040021; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 25 MG/ML SOL INJ CX 5 AMP VD AMB X 2 ML; U_Q
1049712040011; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 25 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP); U_Q
1049713130022; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP); U_Q
1049713130049; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP); U_Q
1049713130014; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ CX 6 AMP VD AMB X 1 ML ; U_Q
1049713130030; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ CX 6 AMP VD AMB X 2 ML ; U_Q
1049701140010; CLOMAZEN; CLOMAZEN; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 20 G; U_Q
1049713270010; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CT BG AL X 20 G ; U_Q
1049713270029; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CT BG AL X 30 G ; U_Q
