1049711560062; GAVIZ; GAVIZ; NOT FOUND; 40 MG/ML + 40 MG/ML SUS OR CT FR VD INC X 240 ML(HORTELA); U_Q
1049711560046; GAVIZ; GAVIZ; NOT FOUND; 40 MG/ML + 40 MG/ML SUS OR CT FR VD INC X 240 ML(MORANGO); U_Q
1049711560161; GAVIZ; GAVIZ; NOT FOUND; 160 MG + 50 MG COM MAST DISP 20 STR X 4 (HORTELA); U_Q
1049711560143; GAVIZ; GAVIZ; NOT FOUND; 160 MG + 50 MG COM MAST DISP 20 STR X 4 (MORANGO); U_Q
1049713220012; GELUSIL; GELUSIL; NOT FOUND; 170 MG/ML + 70 MG/ML + 6 MG/ML SUS OR CT FR PLAST OPC X 240 ML (SABOR TRADICIONAL); U_Q
1049713220023; GELUSIL; GELUSIL; NOT FOUND; 170 MG/ML + 70 MG/ML + 6 MG/ML SUS OR CT FR PLAST OPC X 240 ML (SABOR MORANGO); U_Q
1049712830012; GENONDEXA; GENONDEXA; NOT FOUND; (1 +3.5) MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; U_Q
1049702510015; GANCICLOTRAT; GANCICLOTRAT; NOT FOUND; 500 MG PO LIOF CT FA VD INC + DIL X 10 ML; U_Q
1049712790037; GLAUCOTRAT; GLAUCOTRAT; NOT FOUND; 0.25 SOL FR X 5 ML; U_Q
1049712790071; GLAUCOTRAT; GLAUCOTRAT; NOT FOUND; 0.5 PCC SOL OFT CT FR PLAS OPC GOT X 5 ML; U_Q
1049712840018; GENOXACIN; GENOXACIN; NOT FOUND; 3 MG/ML SOL OFT CT FR PLAS OPC X 5 ML; U_Q
