1049711580020; TANDRIFLAN; TANDRIFLAN; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 15; U_Q
1049711580039; TANDRIFLAN; TANDRIFLAN; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 100 ; U_Q
1049711580012; TANDRIFLAM; TANDRIFLAM; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CX CT BL AL PLAS INC X 30 ; U_Q
1049701780035; TRIOXINA; TRIOXINA; NOT FOUND; 1 G PO INJ CT FA VD INC + DIL X 3.5 ML; U_Q
1049701780108; TRIOXINA; TRIOXINA; NOT FOUND; 1 G IM PO INJ CT 50 FA VD INC + 50 DIL X 3.5 ML (EMB HOSP); U_Q
1049701780051; TRIOXINA; TRIOXINA; NOT FOUND; 1 G PO INJ CT FA VD INC + DIL X 10 ML; U_Q
1049701780094; TRIOXINA; TRIOXINA; NOT FOUND; 1 G PO INJ CT 50 FA VD INC; U_Q
1049700790096; TRIRUBIN; TRIRUBIN; NOT FOUND; SOL INJ CT 10 AMP BL INC 3 ML; U_Q
1049711270048; TERTOP; TERTOP; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 14; U_Q
1049711270031; TERTOP; TERTOP; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 28; U_Q
1049713050010; TOBRACORT; TOBRACORT; NOT FOUND; 3 MG/ML + 1 MG/ML SUS OFT CT FR PLAS OPC X 5 ML; U_Q
1049713050029; TOBRACORT; TOBRACORT; NOT FOUND; 3 MG/G + 1 MG/G POM OFT CT BG AL X 3.5 G; U_Q
1049711370018; TERMOL; TERMOL; NOT FOUND; 200MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML.; U_Q
1049711370050; TERMOL; TERMOL; NOT FOUND; 750MG COM CT BL AL PLAS INC X 200; U_Q
1049713020049; TOPCOID; TOPCOID; NOT FOUND; 5MG/G GEL CT BG AL X 40 G ; U_Q
1049713020022; TOPCOID; TOPCOID; NOT FOUND; 3 MG/G GEL CT BG AL X 40 G; U_Q
