1049712890090; LACRIFILM; LACRIFILM; NOT FOUND; 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; U_Q
1049712890082; LACRIFILM; LACRIFILM; NOT FOUND; 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 10 ML; U_Q
1049712890074; LACRIFILM; LACRIFILM; NOT FOUND; 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 15 ML; U_Q
1049712000060; LISAFLEX; LISAFLEX; NOT FOUND; SOL INJ CX 50 AMP X 2 ML; U_Q
1049712000044; LISAFLEX; LISAFLEX; NOT FOUND; SOL OR FR PLA OPC GOT 15 ML; U_Q
1049712000011; LISAFLEX; LISAFLEX; NOT FOUND; 500MG + 5MG + 10MG CT 3 BL AL PLAS INC X 4; U_Q
1049701110026; LIDOJET; LIDOJET; NOT FOUND; 20 MG/ML SOL INJ CX 12 AMP VD INC X 20 ML ; U_Q
1049701480029; LIDOJET; LIDOJET; NOT FOUND; CT BG PLAS OPC X 30 G GEL 2%; U_Q
1049712070018; LORATADINA; LORATADINA; LORATADINA; 1 MG/ML XPE CT FR VD AMB X 100 ML; U_Q
1049713030011; LACRIFRESH; LACRIFRESH; NOT FOUND; 1.4% + 0.6% SOL OFT CT FR FLAS OPC GOT X 15 ML; U_Q
1049701020057; LEIBA; LEIBA; NOT FOUND; SUS OR CT 10 FLAC 10 ML; U_Q
