1049711730014; BETA LONG; BETA LONG; NOT FOUND; 3MG + 3MG/ML  SUS INJ CT  AMP  VD AMB  X 1 ML; U_Q
1049711730022; BETA LONG; BETA LONG; NOT FOUND; 3 MG + 3 MG/ML SUS INJ CT 25  AMP VD AMB X 1ML; U_Q
1049702530016; BACLON; BACLON; NOT FOUND; 10 MG COM CT BL AL PLAS X 20; U_Q
1049711680017; BISALAX; BISALAX; NOT FOUND; 5 MG DRG CT BL AL PLAS INC X 20; U_Q
1049711680033; BISALAX; BISALAX; NOT FOUND; 5 MG DRG CT BL AL PLAS INC X 150; U_Q
1049712060012; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS TRANS X 20; U_Q
1049712060039; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3MG COM CT 20 BL AL PLAS INC X 10; U_Q
1049712060020; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS TRANS X 30; U_Q
1049712060047; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS TRANS X 20; U_Q
1049712060063; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6MG COM CT 20 BL AL PLAS INC X 10; U_Q
1049712060055; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS TRANS X 30; U_Q
1049712050017; BROMETRO IPRATRÓPIO 0,25 MG; BROMETRO IPRATROPIO 0 25; NOT FOUND; 0.25 MG/ML SOL INAL CT FR VD AMB X 20 ML; U_Q
1049713420012; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 5 MG/ML SOL INJ CT AMP VD AMB X 2 ML ; U_Q
1049713420020; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 5 MG/ML SOL INJ CT 6 AMP VD AMB X 2 ML ; U_Q
1049713420039; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 5 MG/ML SOL INJ CT 50 AMP VD AMB X 2ML (EMB HOSP); U_Q
1049713370015; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; U_Q
1049713280024; BUTILBROMETO DE ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; 20 MG/ML SOL INJ CT 3 AMP VD AMB X 1 ML; U_Q
1049713280040; BUTILBROMETO DE ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; 20 MG/ML SOL INJ CT 50 AMP VD AMB X 1 ML (EMB HOSP); U_Q
1049713280032; BUTILBROMETO DE ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; 20 MG/ML SOL INJ CT 6 AMP VD AMB X 1 ML; U_Q
1049713280016; BUTILBROMETO DE ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; 20 MG/ML SOL INJ CT AMP VD AMB X 1 ML; U_Q
1049713740017; BIOFLEX; BIOFLEX; NOT FOUND; 300 MG + 50 MG + 35 MG SOL OR CT FR PLAS OPC X 10 ML ; U_Q
1049713740025; BIOFLEX; BIOFLEX; NOT FOUND; 300 MG + 50 MG + 35 MG COM CT STRIP X 148 ; U_Q
1049713740041; BIOFLEX; BIOFLEX; NOT FOUND; 300 MG + 50 MG + 35 MG COM CT STRIP X 16; U_Q
1049702390060; BABY DRAX; BABY DRAX; NOT FOUND; PO SOL OR CT 4 ENV AL POLIET X 27.9 G; U_Q
1049702390079; BABY DRAX; BABY DRAX; NOT FOUND; PO SOL OR CT 50 ENV AL POLIET X 27.9 G; U_Q
1049713190025; BENZITRAT; BENZITRAT; NOT FOUND; 1.5 MG/ML COLUT CT FR PLAS TRANS X 150 ML + CP MED; U_Q
1049712720098; BETANOM; BETANOM; NOT FOUND; 0.25 PCC SOL OFT CT STR 30 FLAC PLAS X 0.3 ML; U_Q
1049712720039; BETANOM; BETANOM; NOT FOUND; 0.5 PCC SOL OFT CT STR 15 FLAC PLAS X 0.3 ML; U_Q
1049712720020; BETANOM; BETANOM; NOT FOUND; 0.5 PCC SOL OFT CT FR PLAS OPC GOT X 10 ML; U_Q
1049712720081; BETANOM; BETANOM; NOT FOUND; 0.25 PCC SOL OFT CT STR 15 FLAC PLAS X 0.3 ML; U_Q
1049712720063; BETANOM; BETANOM; NOT FOUND; 0.25 PCC SUS OFT CT FR PLAS OPC GOT X 10 ML; U_Q
1049712720055; BETANOM; BETANOM; NOT FOUND; 0.25 PCC SUS OFT CT FR PLAS OPC GOT X 5 ML; U_Q
1049712720012; BETANOM; BETANOM; NOT FOUND; 0.5 PCC SOL OFT CT FR PLAS OPC GOT X 5 ML; U_Q
1049712720047; BETANOM; BETANOM; NOT FOUND; 0.5 PCC SOL OFT CT STR 30 FLAC PLAS X 0.3 ML; U_Q
1049701850025; BUPSTÉSIC; BUPSTESIC; NOT FOUND; 0.50% SOL INJ CT 6 FA VD INC X 20 ML (EMB HOSP); U_Q
1049702070023; BUPSTÉSIC COM VASO; BUPSTESIC VASO; NOT FOUND; 5.0 MG/ML+0.0091 MG/ML SOL INJ CT 6 FA VD AMB X 20 ML; U_Q
1049713730021; BIOGRIPE; BIOGRIPE; NOT FOUND; 100MG/ML + 2MG/ML + 2MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; U_Q
