1049711500019; DEXACOBAL; DEXACOBAL; NOT FOUND; SOL INJ CT 3 AMP X 2 ML + 3 AMP X 1 ML; U_Q
1049711890011; DEMEDROX; DEMEDROX; NOT FOUND; 50 MG/ML SUS INJ CT FA VD INC X 1 ML; U_Q
1049711890089; DEMEDROX; DEMEDROX; NOT FOUND; 150 MG/ML SUS INJ CT 25 AMP VD INC X 1 ML; U_Q
1049711890038; DEMEDROX; DEMEDROX; NOT FOUND; 150 MG/ML SUS INJ CT 25 FA VD INC X 1 ML (EMB HOSP); U_Q
1049711890076; DEMEDROX; DEMEDROX; NOT FOUND; 150 MG/ML SUS INJ CT AMP VD INC X 1 ML; U_Q
1049711890021; DEMEDROX; DEMEDROX; NOT FOUND; 150 MG/ML SUS INJ CT FA VD INC X 1 ML; U_Q
1049711890046; DEMEDROX; DEMEDROX; NOT FOUND; 150 MG/ML SUS INJ CT FA VD INC X 1 ML + SER + AGULHA; U_Q
1049711890054; DEMEDROX; DEMEDROX; NOT FOUND; 150 MG/ML SUS INJ CT SER PREENCHIDA X 1 ML; U_Q
1049711890062; DEMEDROX; DEMEDROX; NOT FOUND; 50 MG/ML SUS INJ CT AMP VD INC X 1 ML; U_Q
1049702890012; DIAMOX; DIAMOX; NOT FOUND; 250 MG COM CT FR VD AMB X 25  ; U_Q
1049700950085; DIGESTINA; DIGESTINA; NOT FOUND; 5 MG/ML SOL INJ CX 6 AMP VD AMB X 2 ML; U_Q
1049700950093; DIGESTINA; DIGESTINA; NOT FOUND; 4 MG/ML SOL OR CT FR VD AMB CGT X 20 ML; U_Q
1049700950057; DIGESTINA; DIGESTINA; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; U_Q
1049713510021; DEXANEURIN; DEXANEURIN; NOT FOUND; 0.53 MG/ML + 50 MG/ML + 50 MG/ML + 5.3 MG/ML SOL INJ CT 3 AMP VD AMB X 2 ML + 5.2 MG/ML SOL INJ CT 3 AMP VD AMB X 1 ML; U_Q
1049713510011; DEXANEURIN; DEXANEURIN; NOT FOUND; 0.53 MG/ML + 50 MG/ML + 50 MG/ML + 5.3 MG/ML SOL INJ CT AMP VD AMB X 2 ML + 5.2 MG/ML SOL INJ CT AMP VD AMB X 1 ML; U_Q
1049701080027; DUOMET; DUOMET; NOT FOUND; 150MG SOL INJ CT 50 AMP VD INC X 2 ML; U_Q
1049701080011; DUOMET; DUOMET; NOT FOUND; 200MG COM CT BL AL PLAS INC X 20; U_Q
1049702560012; DOBTAN; DOBTAN; NOT FOUND; 250 MG SOL INJ CT 01 AMP VD AMB X 20 ML (REST HOSP); U_Q
1049712810011; DRUSOLOL; DRUSOLOL; NOT FOUND; 20 MG/ML + 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; U_Q
1049702180279; DEPRESS; DEPRESS; NOT FOUND; 20 MG/ML SOL OR CT FR GOT PLAS BRANCO X 30 ML; U_Q
1049702180023; DEPRESS; DEPRESS; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 14; U_Q
1049702180031; DEPRESS; DEPRESS; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 28; U_Q
1049702240018; DIAFORMIN; DIAFORMIN; NOT FOUND; 850 MG COM CT BL AL PLAS X 30; U_Q
1049702310016; DESFRIN; DESFRIN; NOT FOUND; 0.25 MG/ML SOL NAS PED CT FR PLAS OPC GOT X 10 ML; U_Q
1049702310024; DESFRIN; DESFRIN; NOT FOUND; 0.5 MG/ML SOL NAS ADU CT FR OPC SPRAY X 10 ML; U_Q
1049702430021; DORNOT; DORNOT; NOT FOUND; 50 MG/ML SOL INJ CT C/ 25 AMP VD AMB X 2 ML USO HOSP; U_Q
1049702730066; DORLESS; DORLESS; NOT FOUND; 100MG SOL OR CT FR PLAS OPC GOT X 10 ML; U_Q
1049702730082; DORLESS; DORLESS; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS INC X 10; U_Q
1049711330016; DECAN HALOPER; DECAN HALOPER; DECANOATO HALOPERIDOL; 50 MG/ML SOL INJ CT 3 AMP VD AMB X 1 ML; U_Q
1049712290018; DESLANOL; DESLANOL; NOT FOUND; 0.2 MG/ML SOL INJ CT 50 AMP VD INC X 2 ML; U_Q
1049701700015; DESODIOL; DESODIOL; NOT FOUND; 0.15 MG + 0.03 MG COM CT EST CAL X 21; U_Q
1049701700023; DESODIOL; DESODIOL; NOT FOUND; 0.15 MG + 0.03 MG COM CT BL AL PLAS INC X 21; U_Q
1049713010027; DEXANOM; DEXANOM; NOT FOUND; 1 MG/G POM OFT CT BG AL X 3.5 G; U_Q
1049713010019; DEXANOM; DEXANOM; NOT FOUND; 1 MG/ML SUS OFT CT FR PLAS OPC GOT X 5 ML; U_Q
1049712350010; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML SOL INJ CX 10 AMP VD AMB X 2 ML; U_Q
1049712350029; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP); U_Q
1049712500012; DICLOFENACO SODICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 25 MG/ML SOL INJ IM CT 5 AMP VD INC X 3 ML; U_Q
1049712500020; DICLOFENACO SODICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 25 MG/ML SOL INJ IM CT 50 AMP VD INC X 3 ML (EMB HOSP); U_Q
1049713060016; DICLOGENOM; DICLOGENOM; NOT FOUND; 1 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; U_Q
1049713060032; DICLOGENOM; DICLOGENOM; NOT FOUND; 1 MG/G POM OFT CT BG AL X 3.5 G; U_Q
1049701670038; DICLO P; DICLO P; DICLORIDRATO PROFLAVINA; 50 MG COM REV CT BL AL PLAS INC X 20; U_Q
