1049701940032; UNI VIR; UNI VIR; NOT FOUND; 250 MG PO LIOF P/ SOL INJ CT 5 FA VD INC + 5 AMP DIL; U_Q
1049701940024; UNI VIR; UNI VIR; NOT FOUND; 50 MG/G CREM CT BG PLAS OPC X 10 G; U_Q
1049701940083; UNI-VIR; UNI VIR; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 25; U_Q
1049701940121; UNI-VIR; UNI VIR; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); U_Q
1049701940016; UNI VIR; UNI VIR; NOT FOUND; 200 MG COM CT 3 BL AL PLAS INC X 10; U_Q
1049700240023; UNI-B COMPLEX; UNI B COMPLEX; NOT FOUND; DRG CT FR PLAS OPC X 50; U_Q
1049701240049; UNIFILIN; UNIFILIN; NOT FOUND; 24 MG/ML SOL INJ CT 50 AMP X 10 ML; U_Q
1049701240022; UNIFILIN; UNIFILIN; NOT FOUND; 240 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; U_Q
1049701240030; UNIFILIN; UNIFILIN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 20; U_Q
1049700080048; UNI AMOX; UNI AMOX; NOT FOUND; 250 MG/5ML PO PREP EXTEMP SUS OR CT FR VD AMB X 150 ML; U_Q
1049700080056; UNI AMOX; UNI AMOX; NOT FOUND; 250 MG/5ML PO PREP EXTEMP SUS OR CT FR VD AMB X 60 ML; U_Q
1049700080102; UNI AMOX; UNI AMOX; NOT FOUND; 500 MG/5ML PO  PREP EXTEMP SUS OR CT FR VD AMB X 150 ML; U_Q
1049700080064; UNI AMOX; UNI AMOX; NOT FOUND; 500 MG CAP GEL DURA CT 3 BL AL PLAS INC X 7; U_Q
1049700080099; UNI AMOX; UNI AMOX; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15; U_Q
1049700130107; UNI AMPICILIN; UNI AMPICILIN; NOT FOUND; 1 G PO LIOF INJ CT 50 FA VD INC + 50 AMP DIL X 5 ML   ; U_Q
1049700130115; UNI AMPICILIN; UNI AMPICILIN; NOT FOUND; 500 MG PO LIOF INJ CT 50 FA VD INC + 50 AMP DIL X 5 ML; U_Q
1049700130093; UNI AMPICILIN; UNI AMPICILIN; NOT FOUND; PO SUS OR CT FR VD AMB X 60 ML 50MG/ML; U_Q
1049700130074; UNI AMPICILIN; UNI AMPICILIN; NOT FOUND; CAP GEL DURA CT FR VD AMB X 12 500 MG; U_Q
1049700130082; UNI AMPICILIN; UNI AMPICILIN; NOT FOUND; CAP GEL DURA CT FR VD AMB X 6 500MG; U_Q
1049702230012; UNIANF; UNIANF; NOT FOUND; 50 MG PO LIOF  INJ CT FA VD AMB; U_Q
1049702230039; UNIANF; UNIANF; NOT FOUND; 50 MG PO LIOF INJ CT 25 FA VD AMB; U_Q
1049701660013; UNI BROMAZEPAX; UNI BROMAZEPAX; NOT FOUND; 3 MG COM BL AL PLAS INC X 20; U_Q
1049701660021; UNI BROMAZEPAX; UNI BROMAZEPAX; NOT FOUND; 6 MG COM CT BL AL PLAS INC X 20; U_Q
1049712310051; UNI-HIOSCIN; UNI HIOSCIN; NOT FOUND; 20 MG/ML SOL INJ CT 50 AMP VD AMB X 1 ML; U_Q
1049712310019; UNI-HIOSCIN; UNI HIOSCIN; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 20; U_Q
1049701720040; UNI CARBAMAZ; UNI CARBAMAZ; NOT FOUND; 20 MG/ML SUS OR CT FR VD AMB X 100 ML; U_Q
1049701720016; UNI CARBAMAZ; UNI CARBAMAZ; NOT FOUND; CX. C/ 200 COMP; U_Q
1049701720067; UNI-CARBAMAZ; UNI CARBAMAZ; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); U_Q
1049700140057; UNI CEFALEXIN; UNI CEFALEXIN; NOT FOUND; 250 MG/5 ML PO PREP EXT SUS OR CT FR VD AMB X 100 ML; U_Q
1049700140075; UNI CEFALEXIN; UNI CEFALEXIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10; U_Q
1049702640016; UNIFENTAL; UNIFENTAL; NOT FOUND; 50 MCG/ML SOL INJ CT 25 FA VD AMB X 10 ML ( REST HOSP); U_Q
1049702640105; UNIFENTAL; UNIFENTAL; NOT FOUND;  50 MCG/ML SOL INJ CT 50 AMP VD INC X 10 ML - REST HOSP; U_Q
1049702640075; UNIFENTAL; UNIFENTAL; NOT FOUND; 50 MCG/ML SOL INJ CT 25 AMP VD INC X 10 ML - REST HOSP; U_Q
1049702640059; UNIFENTAL; UNIFENTAL; NOT FOUND; 50 MCG/ML SOL INJ CT 25 AMP VD INC X 2 ML - REST HOSP; U_Q
