1049713180054; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR PET AMB X 120 ML + COP; U_Q
1049713180011; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5MG/ML XPE CT FR VD AMB X 120ML + SER DOSAD; U_Q
1049711300011; ACEFLAN; ACEFLAN; NOT FOUND; COM REV CT BL AL PLAS X 12; U_Q
1049713340019; ACETATO DE DEXAMETASONA; ACETATO DEXAMETASONA; ACETATO DEXAMETASONA; 1 MG/ G CREM DERM CT BG AL X 10 G ; U_Q
1049713340027; ACETATO DE DEXAMETASONA; ACETATO DEXAMETASONA; ACETATO DEXAMETASONA; 1 MG/ G CREM DERM CX 50 BG AL X 10 G (EMB HOSP); U_Q
1049713330013; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/ G CREM DERM CT BG AL X 20 G; U_Q
1049713170016; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 10% SOL INJ CT 5 AMP VD AMB X 3 ML; U_Q
1049700060012; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML; U_Q
1049700060020; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE CT FR VD AMB X 120 ML; U_Q
1049700060039; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE CT FR VD AMB X 150 ML; U_Q
1049713240014; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM CT BG AL X 10 G ; U_Q
1049713240030; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM CX 100 BG AL X 10 G (EMB HOSP); U_Q
1049713240022; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM CX 50 BG AL X 10 G ; U_Q
1049702790018; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50MG/ML  PO P/ SUS OR CT FR VD AMB X 150 ML + COP X 15 ML; U_Q
1049702790026; AMOXICILINA; AMOXICILINA; AMOXICILINA; 100 MG/ML  PO P/ SUS OR CT FR VD AMB X 150 ML + COP X 15 ML; U_Q
1049713590031; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; U_Q
1049713590041; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30; U_Q
1049713590015; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15 ; U_Q
1049711410036; ARES; ARES; NOT FOUND; 0.25 MG/ML SOL INAL CT FR VD AMB X 20 ML ; U_Q
1049700040062; ARTRINID; ARTRINID; NOT FOUND; 50 MG/ML SOL INJ IM CT 50 AMP VD AMB X 2 ML (EMB HOSP) ; U_Q
1049700040070; ARTRINID; ARTRINID; NOT FOUND; 50 MG/ML SOL INJ IM CT 6 AMP VD AMB X 2 ML (EMB HOSP); U_Q
1049700040097; ARTRINID; ARTRINID; NOT FOUND; 100 MG PO LIOF IV CT 50 FA VD INC (EMB HOSP); U_Q
1049700040089; ARTRINID; ARTRINID; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS INC X 24; U_Q
1049700030121; ANALGEX C; ANALGEX C; NOT FOUND; SOL INJ CT 50 AMP VD AMB X 2 ML; U_Q
1049700030101; ANALGEX C; ANALGEX C; NOT FOUND; 500 MG COM CX BL AL PLAS INC X 200; U_Q
1049711520036; ANDRIODERMOL; ANDRIODERMOL; NOT FOUND; SOL TOP CT FR VD AMB X 50 ML; U_Q
1049711520028; ANDRIODERMOL; ANDRIODERMOL; NOT FOUND; PO TOP CT TB X 50 G; U_Q
1049701400011; AZIRAM; AZIRAM; NOT FOUND; 61.95 MG/ML SUS OR CT FR VD AMB X 150 ML; U_Q
