1049711490021; FLUCISTEIN; FLUCISTEIN; NOT FOUND; 100 MG/ML SOL INJ CT 5 AMP VD AMB X 3 ML; U_Q
1049711490031; FLUCISTEIN; FLUCISTEIN; NOT FOUND; 100MG GRAN CT 15 ENV POLIET X 5 G; U_Q
1049711490064; FLUCISTEIN; FLUCISTEIN; NOT FOUND; 20MG/ML XPE CT FR VD AMB X 100 ML; U_Q
1049711490048; FLUCISTEIN; FLUCISTEIN; NOT FOUND; 40 MG/G GRAN CT 15 ENV POLIET X 5 G; U_Q
1049702680018; FERID; FERID; NOT FOUND; 5 MG + 250 UI POM DERM CT BG AL X 10 G; U_Q
1049713610016; FONTOL; FONTOL; NOT FOUND; 650 MG + 65 MG COM REV CT BL AL PLAS INC X 20; U_Q
1049713610024; FONTOL; FONTOL; NOT FOUND; 650 MG + 65 MG COM REV CT BL AL PLAS INC X 100; U_Q
1049701200031; FENAREN; FENAREN; NOT FOUND; 25 MG/ML SOL INJ CT 50 AMP VD AMB X 3 ML (EMB HOSP); U_Q
1049701200075; FENAREN; FENAREN; NOT FOUND; 15MG/ML SUS OR CT FR OPC PLAS GOT X 10 ML; U_Q
1049701200128; FENAREN; FENAREN; NOT FOUND; 10 MG/G GEL TOP CT BG AL X 60 G; U_Q
1049701200039; FENAREN; FENAREN; NOT FOUND; 100MG COM AP CT BL X 10; U_Q
1049701200043; FENAREN; FENAREN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; U_Q
1049701200055; FENAREN; FENAREN; NOT FOUND; 50 MG COM REV CT  BL AL PLAS INC X 500 (EMB HOSP)  ; U_Q
1049702080029; FOR GAS; FOR GAS; NOT FOUND; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 10 ML; U_Q
1049702080010; FOR GAS; FOR GAS; NOT FOUND; 40 MG COM CT ENV KRAFT POLIET X 20; U_Q
1049713290011; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML SOL INJ CT 50 AMP 5 ML (EMB HOSP); U_Q
1049713300017; FENOBARBITAL; FENOBARBITAL; FENOBARBITAL; 40 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; U_Q
1049702850029; FENOBARBITAL; FENOBARBITAL; FENOBARBITAL; 100 MG COM CT BL AL PLAS INC X 30; U_Q
1049702850037; FENOBARBITAL; FENOBARBITAL; FENOBARBITAL; 100 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); U_Q
1049711920018; FLUMAZEN; FLUMAZEN; NOT FOUND; 0.5 MG/5 ML SOL INJ CT 5 AMP VD AMB X 5 ML; U_Q
1049713260015; FLUMAZENIL; FLUMAZENIL; FLUMAZENIL; 0.1 MG/ML SOL INJ IV CT 5 AMP VD INC X 5 ML; U_Q
1049701790014; FOLICORIN; FOLICORIN; NOT FOUND; 15 MG COM CT BL AL PLAS AMB X 10; U_Q
1049702840023; FOSFATO DE CLINDAMICINA; FOSFATO CLINDAMICINA; FOSFATO CLINDAMICINA; 150 MG/ML SOL INJ CX C/ COLM 50 AMP VD INC X 2 ML ; U_Q
1049702840041; FOSFATO DE CLINDAMICINA; FOSFATO CLINDAMICINA; FOSFATO CLINDAMICINA; 150 MG/ML SOL INJ CX C/ COLM 50 AMP VD INC X 4 ML; U_Q
1049711970015; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; U_Q
1049713770013; FLOSSOTEC; FLOSSOTEC; NOT FOUND; 05 MG COM REV CT STRIP X 30; U_Q
1049713770031; FLOSSOTEC; FLOSSOTEC; NOT FOUND; 10 MG COM REV CT STRIP X 30; U_Q
1049713770021; FLOSSOTEC; FLOSSOTEC; NOT FOUND; 20 MG COM REV CT STRIP X 30; U_Q
1049702710014; FLAMATEC; FLAMATEC; NOT FOUND; 7.5 MG COM CT FR VD AMB X 10; U_Q
1049702710022; FLAMATEC; FLAMATEC; NOT FOUND; 15 MG COM CT FR VD AMB X 10; U_Q
