1206900210051; LIBRACTAM; LIBRACTAM; NOT FOUND; 1.0 G + 2.0 G PO INJ CT FA VD INC X 3.0 G ; L8B
1206900210025; LIBRACTAM; LIBRACTAM; NOT FOUND; 0.5 G + 1.0 G PO INJ CX FA VD INC X 1.5 G; L8B
1206900160011; LITRACUR; LITRACUR; NOT FOUND; 10 MG/ML SOL INJ CX C/ 5 AMP C/ 2.5 ML; L8B
1206900160028; LITRACUR; LITRACUR; NOT FOUND; 10 MG/ML SOL INJ CX C/ 5 AMP C/ 5 ML; L8B
1206900070011; LIPLATIN; LIPLATIN; NOT FOUND; 150 MG PO INJ CX C/ 1 FR/AMP; L8B
1206900070029; LIPLATIN; LIPLATIN; NOT FOUND; 450 MG PO INJ CX 1 FR/AMP 45 ML; L8B
1206900370014; LIBRATECAM; LIBRATECAM; NOT FOUND; 20 MG/ML SOL INJ FA VD AMB X 7.5 ML; L8B
1206900030035; LIBRAMICINA; LIBRAMICINA; NOT FOUND; 1000 MG PO LIOFILIZADO INJ CX C/ 50 FR/AMP; L8B
1206900030027; LIBRAMICINA; LIBRAMICINA; NOT FOUND; 500 MG PO LIOFILIZADO INJ CX 50 FR AMP; L8B
1206900110012; LIFOLIN; LIFOLIN; NOT FOUND; 50 MG PO LIOF INJ CT FA VD INC X 5 ML; L8B
1206900350013; LIFOS; LIFOS; NOT FOUND; 1 G PO LIOF INJ CT FR AMP VD INC (REST HOSP); L8B
1206900100025; LITREXATE; LITREXATE; NOT FOUND; 25 MG/ML SOL INJ CT FA VD AMB X 20 ML; L8B
1206900100017; LITREXATE; LITREXATE; NOT FOUND; 500 MG PO LIOFILIZADO CX C/ 01 FR/AMP; L8B
1206900260014; LIBOXAL; LIBOXAL; NOT FOUND; 100 MG PO LIOF CT FA VD INC X 1000 MG; L8B
1206900260022; LIBOXAL; LIBOXAL; NOT FOUND; 50 MG PO LIOF CT FA VD INC X 500 MG; L8B
