77070; PANTOPRAP.SO SE MG ; PANTOPRAP SO SE; NOT FOUND; CPR REVEST 20 MG x 14; LG6
77071; PANTOPRAP.SO SE MG ; PANTOPRAP SO SE; NOT FOUND; CPR REVEST 20 MG x 28; LG6
143271; PANTOPRAP.SO SE MG ; PANTOPRAP SO SE; NOT FOUND; CPR REVEST 20 MG x 42; LG6
77072; PANTOPRAP.SO SE MG ; PANTOPRAP SO SE; NOT FOUND; CPR REVEST 40 MG x 14; LG6
77073; PANTOPRAP.SO SE MG ; PANTOPRAP SO SE; NOT FOUND; CPR REVEST 40 MG x 28; LG6
143273; PANTOPRAP.SO SE MG ; PANTOPRAP SO SE; NOT FOUND; CPR REVEST 40 MG x 42; LG6
73849; PARACET+CAFEINA MG ; PARACET CAFEINA; NOT FOUND; CPR REVEST x 20; LG6
69962; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 100; LG6
70321; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 200; LG6
70322; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR REVEST 750 MG x 20; LG6
70323; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR REVEST 750 MG x 200; LG6
70879; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 100 MG 15 ML x 1 (/ML); LG6
68583; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); LG6
70409; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; SACH.MEL/LIM 500 MG 5 G x 25; LG6
68670; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; SACH.MEL/LIM 500 MG 5 G x 50; LG6
70878; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; SUSP 32 MG 60 ML x 1 (/ML); LG6
55284; PARALGEN ; PARALGEN; NOT FOUND; CPR 750 MG x 20; LG6
55285; PARALGEN ; PARALGEN; NOT FOUND; GOTAS 200 MG 15 ML x 1 (/ML); LG6
86653; PAROXILIV ; PAROXILIV; NOT FOUND; CPR REV . 20 MG x 30; LG6
48909; PEPSOGEL ; PEPSOGEL; NOT FOUND; CPR MASC x 20; LG6
48217; PEPSOGEL ; PEPSOGEL; NOT FOUND; SUSP ORAL 240 ML x 1; LG6
77348; PIROXICAM CPR MG ; PIROXICAM CPR; NOT FOUND; CPR SOLUVEL 20 MG x 10; LG6
68301; PIROXICAM MG ; PIROXICAM; PIROXICAM; GEL. 5 MG 30 G x 1 (/G); LG6
103091; PLANTARE ; PLANTARE; NOT FOUND; PO EFERV 5 G x 10; LG6
103092; PLANTARE ; PLANTARE; NOT FOUND; PO EFERV 5 G x 30; LG6
61505; POLIMOXIL ; POLIMOXIL; NOT FOUND; CAPS 500 MG x 21; LG6
51857; POLIMOXIL ; POLIMOXIL; NOT FOUND; SUSP 250 MG 150 ML x 1 (/5ML); LG6
52931; POMADERME ; POMADERME; NOT FOUND; POMAD.BISNAG 45 G x 1; LG6
69354; PONSDRIL ; PONSDRIL; NOT FOUND; CPR 500 MG x 24; LG6
90004; PRED-GRAN ; PRED GRAN; NOT FOUND; CPR 20 MG x 10; LG6
61534; PREDINIS ; PREDINIS; NOT FOUND; CPR 20 MG x 10; LG6
61533; PREDINIS ; PREDINIS; NOT FOUND; CPR 5 MG x 20; LG6
93338; PREDNISOLONA MG ; PREDNISOLONA; PREDNISOLONA; CPR 20 MG x 10; LG6
68303; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 20 MG x 10; LG6
68305; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 5 MG x 20; LG6
58050; PRESSEL ; PRESSEL; NOT FOUND; CPR 10 MG x 30; LG6
58051; PRESSEL ; PRESSEL; NOT FOUND; CPR 20 MG x 30; LG6
58049; PRESSEL ; PRESSEL; NOT FOUND; CPR 5 MG x 30; LG6
62606; PREVIANE ; PREVIANE; NOT FOUND; CPR REVEST x 21; LG6
71852; PREVIANE ; PREVIANE; NOT FOUND; CPR REVEST x 63; LG6
95135; PREVYASM ; PREVYASM; NOT FOUND; CPR REVEST 3 MG x 21 (/.03); LG6
62605; PREVYOL-2 ; PREVYOL 2; NOT FOUND; CPR 0.75 MG x 2; LG6
68285; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; SOLN CAPIL 0.50 MG 50 G x 1 (/G; LG6
77349; PRURI-GRAN ; PRURI GRAN; NOT FOUND; SOLN ORAL 2 MG 120 ML x 1 (/ML); LG6
