155042, LACTUFIBRAS , LACTUFIBRAS, NOT FOUND, GOMA 3 G x 14, LG6
76185, LACTULIV , LACTULIV, NOT FOUND, XAROPE AMEIX 667 MG 120 ML x 1 (/ML), LG6
77337, LACTULIV , LACTULIV, NOT FOUND, XAROPE S FRU 667 MG 120 ML x 1 (/ML), LG6
68256, LANSOPRAZOL MG , LANSOPRAZOL, LANSOPRAZOL, CAPS 30 MG x 28, LG6
68255, LANSOPRAZOL MG , LANSOPRAZOL, LANSOPRAZOL, CAPS 30 MG x 14, LG6
68254, LANSOPRAZOL MG , LANSOPRAZOL, LANSOPRAZOL, CAPS 30 MG x 7, LG6
70406, LEVOFLOXACINO MG , LEVOFLOXACINO, LEVOFLOXACINO, CPR 500 MG x 7, LG6
68968, LEVOFLOXACINO MG , LEVOFLOXACINO, LEVOFLOXACINO, CPR 500 MG x 10, LG6
69781, LEVOFLOXACINO MG , LEVOFLOXACINO, LEVOFLOXACINO, CPR 500 MG x 3, LG6
79144, LIPIGRAN , LIPIGRAN, NOT FOUND, CPR REVEST 10 MG x 30, LG6
79145, LIPIGRAN , LIPIGRAN, NOT FOUND, CPR REVEST 20 MG x 30, LG6
79147, LIPIGRAN , LIPIGRAN, NOT FOUND, CPR REVEST 40 MG x 30, LG6
79149, LIPIGRAN , LIPIGRAN, NOT FOUND, CPR REVEST 80 MG x 30, LG6
79146, LIPIGRAN , LIPIGRAN, NOT FOUND, CPR REVEST 20 MG x 60, LG6
79148, LIPIGRAN , LIPIGRAN, NOT FOUND, CPR REVEST 40 MG x 60, LG6
68259, LISINOPRIL MG , LISINOPRIL, LISINOPRIL, CPR 10 MG x 30, LG6
68260, LISINOPRIL MG , LISINOPRIL, LISINOPRIL, CPR 20 MG x 30, LG6
144151, LOMYTRAT , LOMYTRAT, NOT FOUND, ESMALTE 50 MG 2.50 ML x 1 (/ML), LG6
68263, LORATA+PSEUDOEF.MG , LORATA PSEUDOEF, NOT FOUND, XAR. 1 MG 60 ML x 1 (/ML), LG6
69117, LORATADINA MG , LORATADINA, LORATADINA, XAROPE 5 MG 100 ML x 1 (/5ML), LG6
68265, LORAZEPAM MG , LORAZEPAM, LORAZEPAM, CPR 2 MG x 20, LG6
68264, LORAZEPAM MG , LORAZEPAM, LORAZEPAM, CPR 1 MG x 20, LG6
68267, LOSART.PO.+HCTZ MG , LOSART PO HCTZ, NOT FOUND, CPR REVEST 12.5 MG x 30 (/50), LG6
68266, LOSART.PO.+HCTZ MG , LOSART PO HCTZ, NOT FOUND, CPR REVEST 25 MG x 30 (/100), LG6
73833, LOSARTAN POTAS.MG , LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 30, LG6
73832, LOSARTAN POTAS.MG , LOSARTAN POTAS, NOT FOUND, CPR REVEST 100 MG x 30, LG6
86932, LOSARTAN POTAS.MG , LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 60, LG6
