68268, MAL.DEX+PSE+GUA.MG , MAL DEX PSE GUA, NOT FOUND, SUSP ORAL 120 ML x 1, LG6
68269, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, CPR 0.25 MG x 20 (/2), LG6
68969, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1, LG6
68272, MAL.ENALA+HCLTZ.MG , MAL ENALA HCLTZ, NOT FOUND, CPR 12.5 MG x 30 (/20), LG6
68271, MAL.ENALA+HCLTZ.MG , MAL ENALA HCLTZ, NOT FOUND, CPR 25 MG x 30 (/10), LG6
70870, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 30, LG6
70871, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 20 MG x 30, LG6
70869, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 5 MG x 30, LG6
68270, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CPR 2 MG x 20, LG6
69954, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, SOLN ORAL 120 ML x 1, LG6
73997, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, SOLN ORAL 2.80 MG 20 ML x 1 (/M, LG6
68970, MALEATO TIMOLOL MG , MALEATO TIMOLOL, MALEATO TIMOLOL, SOLN OFTAL 0.50 % 5 ML x 1, LG6
58868, MARACUJA CONCENTRI , MARACUJA CONCENTRI, NOT FOUND, LIQD 100 ML x 1, LG6
62453, MARACUJA CONCENTRI , MARACUJA CONCENTRI, NOT FOUND, LIQD S/ACUCA 100 ML x 1, LG6
71241, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, SUSP 20 MG 30 ML x 1 (/ML), LG6
68277, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 15 MG x 10, LG6
68278, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 7.50 MG x 10, LG6
58870, MELOXIGRAN , MELOXIGRAN, NOT FOUND, CPR 15 MG x 10, LG6
58869, MELOXIGRAN , MELOXIGRAN, NOT FOUND, CPR 7.50 MG x 10, LG6
69825, MEMO-GINKGO , MEMO GINKGO, NOT FOUND, CPR REVEST 120 MG x 30, LG6
69186, MEMO-GINKGO , MEMO GINKGO, NOT FOUND, CPR REVEST 80 MG x 30, LG6
69118, MESALAZINA MG , MESALAZINA, MESALAZINA, CPR REVEST 800 MG x 30, LG6
68741, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 2 MG x 30, LG6
51835, METILDOPA , METILDOPA, METILDOPA, CPR REVEST 500 MG x 20, LG6
69263, METRONIDAZOL MG , METRONIDAZOL, METRONIDAZOL, GEL VAG+10AP 500 MG 50 G x 1 (/5G), LG6
64514, MIGRANETTE , MIGRANETTE, NOT FOUND, CPR REVEST x 20, LG6
62780, MIGRANETTE , MIGRANETTE, NOT FOUND, GOTAS 20 ML x 1, LG6
77343, MIOFIBRAX , MIOFIBRAX, NOT FOUND, CPR REVEST 10 MG x 15, LG6
77344, MIOFIBRAX , MIOFIBRAX, NOT FOUND, CPR REVEST 10 MG x 30, LG6
82727, MIOFIBRAX , MIOFIBRAX, NOT FOUND, CPR REVEST 5 MG x 15, LG6
82774, MIOFIBRAX , MIOFIBRAX, NOT FOUND, CPR REVEST 5 MG x 30, LG6
52132, MONOZOL , MONOZOL, NOT FOUND, CPR CEREJA 400 MG x 1, LG6
52133, MONOZOL , MONOZOL, NOT FOUND, SUSP CEREJA 400 MG 15 ML x 1 (/5ML), LG6
