71483, RAMIPRIL+HCT MG , RAMIPRIL HCT, NOT FOUND, CPR 5 MG x 30 (/25), LG6
84735, REPAGLINIDA MG , REPAGLINIDA, REPAGLINIDA, CPR 2 MG x 30, LG6
61846, REPOCAL , REPOCAL, NOT FOUND, PO ENVELOPE 250 MG 3.50 G x 15, LG6
61847, REPOCAL , REPOCAL, NOT FOUND, PO ENVELOPE 500 MG 7 G x 15, LG6
74968, REPOCAL D , REPOCAL D, NOT FOUND, CPR REVEST 500 MG x 75 (/200), LG6
77589, REPOCAL D , REPOCAL D, NOT FOUND, CPR REVEST x 60, LG6
58060, REPOFLOR , REPOFLOR, NOT FOUND, CAPS 100 MG x 12, LG6
71620, REPOFLOR , REPOFLOR, NOT FOUND, CAPS 200 MG x 6, LG6
58061, REPOFLOR , REPOFLOR, NOT FOUND, PO ENVELOPE 200 MG x 4 (PAED), LG6
83389, REPOPIL 35 , REPOPIL 35, NOT FOUND, CPR REVEST 0.35 MG x 63 (/2), LG6
62603, REPOPIL 35 , REPOPIL 35, NOT FOUND, DRAG x 21, LG6
68288, RIFAMICINA MG , RIFAMICINA, RIFAMICINA, SPRAY 10 MG 20 ML x 1 (/ML), LG6
61751, RINIGRAN , RINIGRAN, NOT FOUND, SOL NAS. INF 0.50 MG 10 ML x 1 (/ML), LG6
61750, RINIGRAN , RINIGRAN, NOT FOUND, SOL NASAL AD 1 MG 10 ML x 1 (/ML), LG6
77078, RISEDRONATO SOD.MG , RISEDRONATO SOD, RISEDRONATO SODICO, CPR REVEST 35 MG x 4, LG6
77143, RISEDRONEL , RISEDRONEL, NOT FOUND, CPR REVEST 35 MG x 4, LG6
85100, ROSUVASTATI CAL MG , ROSUVASTATI CAL, NOT FOUND, CPR REVEST 10 MG x 30, LG6
85098, ROSUVASTATI CAL MG , ROSUVASTATI CAL, NOT FOUND, CPR REVEST 20 MG x 30, LG6
158192, ROSUVASTATI CAL MG , ROSUVASTATI CAL, NOT FOUND, CPR REVEST 5 MG x 30, LG6
