159008, CAND CILE+HIDRO MG , CAND CILE HIDRO, NOT FOUND, CPR 16 MG x 30 (/12.), LG6
156854, CAND CILE+HIDRO MG , CAND CILE HIDRO, NOT FOUND, CPR 8 MG x 30 (/12), LG6
49554, CANDERM , CANDERM, NOT FOUND, CPR 250 MG x 20, LG6
49967, CANDERM , CANDERM, NOT FOUND, CPR 400 MG x 20, LG6
137523, CANDESARTA CILE MG , CANDESARTA CILE, CANDESARTANA CILEXETILA, CPR 16 MG x 30, LG6
135991, CANDESARTA CILE MG , CANDESARTA CILE, CANDESARTANA CILEXETILA, CPR 8 MG x 30, LG6
76240, CANDIGRAN , CANDIGRAN, NOT FOUND, CREME 20 MG 30 G x 1 (/G), LG6
137565, CANSARCOR , CANSARCOR, NOT FOUND, CPR 16 MG x 30, LG6
145079, CANSARCOR , CANSARCOR, NOT FOUND, CPR 8 MG x 30, LG6
158160, CANSARCOR HCT , CANSARCOR HCT, NOT FOUND, CPR 12.5 MG x 30 (/16), LG6
158159, CANSARCOR HCT , CANSARCOR HCT, NOT FOUND, CPR 12.5 MG x 30 (/8), LG6
68176, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 12.5 MG x 30, LG6
68177, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 25 MG x 30, LG6
68178, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 50 MG x 30, LG6
69157, CARBOCISTEINA MG , CARBOCISTEINA, CARBOCISTEINA, XAR. AD 50 MG 100 ML x 1 (/ML), LG6
69089, CARBOCISTEINA MG , CARBOCISTEINA, CARBOCISTEINA, XAR. INF 20 MG 100 ML x 1 (/ML), LG6
103086, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 12.5 MG x 15, LG6
103088, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 12.5 MG x 30, LG6
103087, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 12.5 MG x 60, LG6
103089, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 25 MG x 30, LG6
103090, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 25 MG x 60, LG6
103083, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 3.12 MG x 15, LG6
103082, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 3.12 MG x 30, LG6
103084, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 6.25 MG x 15, LG6
103085, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 6.25 MG x 30, LG6
103409, CARVEGRAN , CARVEGRAN, NOT FOUND, CPR 12.5 MG x 30, LG6
103411, CARVEGRAN , CARVEGRAN, NOT FOUND, CPR 25 MG x 30, LG6
103403, CARVEGRAN , CARVEGRAN, NOT FOUND, CPR 3.12 MG x 15, LG6
103404, CARVEGRAN , CARVEGRAN, NOT FOUND, CPR 3.12 MG x 30, LG6
103406, CARVEGRAN , CARVEGRAN, NOT FOUND, CPR 6.25 MG x 15, LG6
103407, CARVEGRAN , CARVEGRAN, NOT FOUND, CPR 6.25 MG x 30, LG6
58826, CEDROXIL , CEDROXIL, NOT FOUND, CAPS 500 MG x 8, LG6
68182, CEFACLOR MG , CEFACLOR, CEFACLOR, CAPS 500 MG x 10, LG6
69516, CEFACLOR MG , CEFACLOR, CEFACLOR, SUSP 375 MG 80 ML x 1 (/5ML), LG6
48613, CEFAGRAN , CEFAGRAN, NOT FOUND, DRAG 500 MG x 8, LG6
48614, CEFAGRAN , CEFAGRAN, NOT FOUND, PO P/SUSP 250 MG 60 ML x 1 (/5ML), LG6
53224, CEFAGRAN , CEFAGRAN, NOT FOUND, SUSP 250 MG 100 ML x 1 (/5ML), LG6
68317, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CPR REVEST 1 G x 8, LG6
69916, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CPR REVEST 500 MG x 8, LG6
62441, CELERG , CELERG, NOT FOUND, CPR x 20, LG6
62442, CELERG , CELERG, NOT FOUND, XAR. 120 ML x 1, LG6
61745, CELOCORT , CELOCORT, NOT FOUND, CREME 30 G x 1, LG6
59454, CENEVIT , CENEVIT, NOT FOUND, CPR EFER 1 G x 10, LG6
78255, CENEVIT , CENEVIT, NOT FOUND, SOLN ORAL 200 MG 30 ML x 1 (/ML), LG6
87515, CENEVIT ARG , CENEVIT ARG, NOT FOUND, CPR EFERV x 16, LG6
59455, CENEVIT EFERVESCEN , CENEVIT EFERVESCEN, NOT FOUND, CPR EFER 2 G x 10, LG6
74941, CENEVIT ZINCO , CENEVIT ZINCO, NOT FOUND, CPR EFER 1 G x 10 (/10), LG6
74940, CENEVIT ZINCO , CENEVIT ZINCO, NOT FOUND, CPR EFER 1 G x 30 (/10), LG6
68768, CET+D.BET+S.NEO MG , CET D BET S NEO, NOT FOUND, CREME 30 G x 1, LG6
73433, CET+D.BET+S.NEO MG , CET D BET S NEO, NOT FOUND, POM. 30 G x 1, LG6
73319, CETO+DIP BETAME MG , CETO DIP BETAME, NOT FOUND, CREME 30 G x 1, LG6
68725, CETO+DIP BETAME MG , CETO DIP BETAME, NOT FOUND, POM. 30 G x 1, LG6
68206, CETOCONAZOL MG , CETOCONAZOL, CETOCONAZOL, CPR 200 MG x 10, LG6
