84733; FENOBRATY ; FENOBRATY; NOT FOUND; CAPS 200 MG x 30; LG6
77274; FENOFIBRATO MG ; FENOFIBRATO; FENOFIBRATO; CAPS 200 MG x 30; LG6
69532; FINASTERIDA MG ; FINASTERIDA; FINASTERIDA; CPR REVEST 1 MG x 30; LG6
69533; FINASTERIDA MG ; FINASTERIDA; FINASTERIDA; CPR REVEST 5 MG x 30; LG6
75934; FL+NEO+PO B+LID MG ; FL NEO PO B LID; NOT FOUND; SOLN OTO. 10 ML x 1; LG6
59580; FLAMADOR ; FLAMADOR; NOT FOUND; CAPS 50 MG x 24; LG6
59581; FLAMADOR ; FLAMADOR; NOT FOUND; GEL. 25 MG 30 G x 1 (/G); LG6
59582; FLAMADOR ; FLAMADOR; NOT FOUND; GOTAS 20 MG 20 ML x 1 (/ML); LG6
50751; FLATOL ; FLATOL; NOT FOUND; CPR 40 MG x 20; LG6
58850; FLATOL ; FLATOL; NOT FOUND; GOTAS 75 MG 10 ML x 1 (/ML); LG6
75505; FLATOL ; FLATOL; NOT FOUND; GOTAS 75 MG 15 ML x 1 (/ML); LG6
62643; FLATOL MAX ; FLATOL MAX; NOT FOUND; CAPS GEL 125 MG x 10; LG6
68242; FOS CLINDAMICIN MG ; FOS CLINDAMICIN; FOSFATO CLINDAMICINA; CR.VAG.3 APL 20 MG 20 G x 1 (/G; LG6
68491; FOS CLINDAMICIN MG ; FOS CLINDAMICIN; FOSFATO CLINDAMICINA; GEL. 10 MG 45 G x 1 (/G); LG6
81742; FUM QUETIAPINA MG ; FUM QUETIAPINA; NOT FOUND; CPR REVEST 100 MG x 30; LG6
81743; FUM QUETIAPINA MG ; FUM QUETIAPINA; NOT FOUND; CPR REVEST 200 MG x 30; LG6
81741; FUM QUETIAPINA MG ; FUM QUETIAPINA; NOT FOUND; CPR REVEST 25 MG x 14; LG6
68244; FUMARATO CETOTI.MG ; FUMARATO CETOTI; FUMARATO CETOTIFENO; XAR. 1 MG 120 ML x 1 (/5ML); LG6
