69127, V.BE+SU.G+TO+CL MG , V BE SU G TO CL, NOT FOUND, CREME 20 G x 1, LG6
72912, V.BE+SU.G+TO+CL MG , V BE SU G TO CL, NOT FOUND, POM. 20 G x 1, LG6
68310, VALER.BETAMETA.MG , VALER BETAMETA, VALERATO BETAMETASONA, CREME DERMAT 1.21 MG 30 G x 1 (/G), LG6
68312, VALER.BETAMETA.MG , VALER BETAMETA, VALERATO BETAMETASONA, POM.DERMAT 1.21 MG 30 G x 1 (/G), LG6
68315, VALPROATO SODIO MG , VALPROATO SODIO, VALPROATO SODIO, XAROPE 50 MG 100 ML x 1 (/ML), LG6
83350, VALSACOR , VALSACOR, NOT FOUND, CPR REV . 320 MG x 30, LG6
83348, VALSACOR , VALSACOR, NOT FOUND, CPR REV . 80 MG x 30, LG6
83349, VALSACOR , VALSACOR, NOT FOUND, CPR REV . 160 MG x 30, LG6
93560, VALSACOR HCT , VALSACOR HCT, NOT FOUND, CPR REVEST 160 MG x 30 (/12.), LG6
93339, VALSACOR HCT , VALSACOR HCT, NOT FOUND, CPR REVEST 80 MG x 30 (/12.), LG6
93340, VALSACOR HCT , VALSACOR HCT, NOT FOUND, CPR REVEST 160 MG x 30 (/25), LG6
93562, VALSACOR HCT , VALSACOR HCT, NOT FOUND, CPR REVEST 320 MG x 30 (/25), LG6
93342, VALSAR+HIDROCL MG , VALSAR HIDROCL, NOT FOUND, CPR REVEST 160 MG x 30 (/12.), LG6
93345, VALSAR+HIDROCL MG , VALSAR HIDROCL, NOT FOUND, CPR REVEST 320 MG x 30 (/25), LG6
93343, VALSAR+HIDROCL MG , VALSAR HIDROCL, NOT FOUND, CPR REVEST 160 MG x 30 (/25), LG6
93564, VALSAR+HIDROCL MG , VALSAR HIDROCL, NOT FOUND, CPR REVEST 80 MG x 30 (/12.), LG6
158193, VALSAR+HIDROCL MG , VALSAR HIDROCL, NOT FOUND, CPR REVEST 320 MG x 30 (/12.), LG6
81144, VALSARTANA MG , VALSARTANA, VALSARTANA, CPR REVEST 160 MG x 30, LG6
81145, VALSARTANA MG , VALSARTANA, VALSARTANA, CPR REVEST 320 MG x 30, LG6
81141, VALSARTANA MG , VALSARTANA, VALSARTANA, CPR REVEST 80 MG x 30, LG6
77595, VERUDERM B , VERUDERM B, NOT FOUND, CREME DERMAT 15 G x 1, LG6
137013, VIELUT , VIELUT, NOT FOUND, CPR REVEST 6 MG x 60 (/1), LG6
137010, VIELUT , VIELUT, NOT FOUND, CPR REVEST 6 MG x 30 (/1), LG6
53930, VITONICO , VITONICO, NOT FOUND, ELIXIR 500 ML x 1, LG6
53564, VYTINAL , VYTINAL, NOT FOUND, DRAG x 60, LG6
78188, VYTINAL NF , VYTINAL NF, NOT FOUND, CPR REVEST x 30, LG6
83497, VYTINAL NF , VYTINAL NF, NOT FOUND, CPR REVEST x 100, LG6
