68203, DEFLAZACORTE MG , DEFLAZACORTE, DEFLAZACORTE, CPR 6 MG x 20, LG6
68204, DEFLAZACORTE MG , DEFLAZACORTE, DEFLAZACORTE, CPR 30 MG x 10, LG6
76183, DERM PROX , DERM PROX, NOT FOUND, SOLN TOP. 10 MG 15 ML x 1 (/G), LG6
32097, DERMOBENE ANTIMICO , DERMOBENE ANTIMICO, NOT FOUND, CREME 10 MG 20 G x 1 (/G), LG6
32098, DERMOBENE ANTIMICO , DERMOBENE ANTIMICO, NOT FOUND, SOLN 10 MG 20 ML x 1 (/ML), LG6
70217, DERMOSTATIN , DERMOSTATIN, NOT FOUND, POM. 60 G x 1, LG6
77725, DESLORANA , DESLORANA, NOT FOUND, XAR. 0.50 MG 60 ML x 1 (/ML), LG6
77724, DESLORANA , DESLORANA, NOT FOUND, XAR. 0.50 MG 100 ML x 1 (/ML), LG6
77594, DESLORANA , DESLORANA, NOT FOUND, CPR REVEST 5 MG x 10, LG6
92510, DESLORANA , DESLORANA, NOT FOUND, CPR REVEST 5 MG x 30, LG6
77428, DESLORATADINA MG , DESLORATADINA, DESLORATADINA, XAROPE 0.50 MG 100 ML x 1 (/ML), LG6
77427, DESLORATADINA MG , DESLORATADINA, DESLORATADINA, XAROPE 0.50 MG 60 ML x 1 (/ML), LG6
77426, DESLORATADINA MG , DESLORATADINA, DESLORATADINA, CPR REVEST 5 MG x 10, LG6
94299, DESLORATADINA MG , DESLORATADINA, DESLORATADINA, CPR REVEST 5 MG x 30, LG6
68208, DESONIDA MG , DESONIDA, DESONIDA, CREME 0.50 MG 30 G x 1 (/G), LG6
68209, DESONIDA MG , DESONIDA, DESONIDA, POM. 0.50 MG 30 G x 1 (/G), LG6
68211, DESONIDA MG , DESONIDA, DESONIDA, LOC CREMOSA 0.50 MG 60 G x 1 (/G), LG6
49534, DEXADERMIL , DEXADERMIL, NOT FOUND, CREME 0.10 % 10 G x 1, LG6
68214, DEXAMETASONA MG , DEXAMETASONA, DEXAMETASONA, CPR 4 MG x 10, LG6
68212, DEXAMETASONA MG , DEXAMETASONA, DEXAMETASONA, CPR 0.50 MG x 20, LG6
68213, DEXAMETASONA MG , DEXAMETASONA, DEXAMETASONA, CPR 0.75 MG x 20, LG6
73818, DIAZEPAM MG , DIAZEPAM, DIAZEPAM, CPR 10 MG x 20, LG6
73817, DIAZEPAM MG , DIAZEPAM, DIAZEPAM, CPR 5 MG x 20, LG6
55433, DIBENDRIL , DIBENDRIL, NOT FOUND, PAST MENTA x 12, LG6
55434, DIBENDRIL , DIBENDRIL, NOT FOUND, PAST FRAMBUE x 12, LG6
3239, DIBENDRIL , DIBENDRIL, NOT FOUND, XAR. 120 ML x 1, LG6
159010, DICL PRAMIPEXOL MG , DICL PRAMIPEXOL, DICLORIDRATO PRAMIPEXOL, CPR 0.25 MG x 30, LG6
159009, DICL PRAMIPEXOL MG , DICL PRAMIPEXOL, DICLORIDRATO PRAMIPEXOL, CPR 1 MG x 30, LG6
154110, DICL PRAMIPEXOL MG , DICL PRAMIPEXOL, DICLORIDRATO PRAMIPEXOL, CPR 0.125 MG x 30, LG6
89036, DICLOAIR , DICLOAIR, NOT FOUND, AERO 11.6 MG 60 G x 1 (/G), LG6
68215, DICLOF.COLESTIR.MG , DICLOF COLESTIR, NOT FOUND, CAPS 70 MG x 14, LG6
68216, DICLOF.COLESTIR.MG , DICLOF COLESTIR, NOT FOUND, CAPS 70 MG x 20, LG6
68218, DICLOF.RESINATO MG , DICLOF RESINATO, NOT FOUND, GOTAS 15 MG 20 ML x 1 (/ML), LG6
68960, DICLOF.SODI.GEL MG , DICLOF SODI GEL, NOT FOUND, GEL. 10 MG 60 G x 1 (/G), LG6
68217, DICLOFEN.DIETIL.MG , DICLOFEN DIETIL, DICLOFENACO DIETILAMONIO, GEL. 11.6 MG 60 G x 1 (/G), LG6
85855, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, CPR REVEST 50 MG x 20, LG6
76817, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, CPR REVEST 100 MG x 20, LG6
76818, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, CPR REVEST 100 MG x 10, LG6
49186, DIGOXIL , DIGOXIL, NOT FOUND, CPR 0.25 MG x 20, LG6
68569, DIMET+MET.HOMAT.MG , DIMET MET HOMAT, NOT FOUND, GOTAS 2.50 MG 20 ML x 1 (/80), LG6
68231, DIP.BET+AC.SALI MG , DIP BET AC SALI, NOT FOUND, POM. 30 G x 1, LG6
68229, DIP.BET+SUL.GEN.MG , DIP BET SUL GEN, NOT FOUND, CREME 30 G x 1, LG6
68230, DIP.BET+SUL.GEN.MG , DIP BET SUL GEN, NOT FOUND, POM. 30 G x 1, LG6
69527, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 20 ML x 1 (/ML), LG6
69528, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 10 ML x 1 (/ML), LG6
71642, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, CPR 500 MG x 240, LG6
69161, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, SOLN ORAL 50 MG 100 ML x 1 (/ML), LG6
68220, DIPROP.BETAMETA.MG , DIPROP BETAMETA, NOT FOUND, CREME 0.64 MG 30 G x 1 (/G), LG6
68221, DIPROP.BETAMETA.MG , DIPROP BETAMETA, NOT FOUND, POM. 0.64 MG 30 G x 1 (/G), LG6
78697, DOMPERIDONA MG , DOMPERIDONA, DOMPERIDONA, CPR 10 MG x 60, LG6
78696, DOMPERIDONA MG , DOMPERIDONA, DOMPERIDONA, CPR 10 MG x 30, LG6
83346, DOMPGRAN , DOMPGRAN, NOT FOUND, CPR 10 MG x 30, LG6
33688, DORICAL , DORICAL, NOT FOUND, DRAG x 50, LG6
55177, DORICAL , DORICAL, NOT FOUND, CPR EFER x 10, LG6
33689, DORICAL VIT , DORICAL VIT, NOT FOUND, LIQD 120 ML x 1 (INF), LG6
57983, DORILEN , DORILEN, NOT FOUND, GOTAS 15 ML x 1, LG6
85539, DORILEN , DORILEN, NOT FOUND, GOTAS 20 ML x 1, LG6
57982, DORILEN , DORILEN, NOT FOUND, CPR x 12, LG6
57981, DORILEN INJETAVEL , DORILEN INJETAVEL, NOT FOUND, A.IM 2 ML x 50, LG6
52743, DORSEDIN , DORSEDIN, NOT FOUND, DRAG x 20, LG6
89047, DORYDRIN , DORYDRIN, NOT FOUND, CPR x 240, LG6
