61792; CICLADOL ; CICLADOL; NOT FOUND; CPR EFER 20 MG x 10; CHS
61791; CICLADOL ; CICLADOL; NOT FOUND; CPR EFER 20 MG x 6; CHS
48332; CICLADOL ; CICLADOL; NOT FOUND; CPR 20 MG x 10; CHS
48756; CICLADOL ; CICLADOL; NOT FOUND; CPR 20 MG x 5; CHS
50317; CICLADOL ; CICLADOL; NOT FOUND; POLVO ENVELO x 5; CHS
48333; CICLADOL ; CICLADOL; NOT FOUND; SUP. 20 MG x 5; CHS
53334; CLENIL A ; CLENIL A; NOT FOUND; FLACONETES 2 ML x 10; CHS
82807; CLENIL COMPOSI HFA ; CLENIL COMPOSI HFA; NOT FOUND; SPRAY DOSE 50 Y 10 ML x 200 (/1; CHS
58994; CLENIL COMPOSIT. A ; CLENIL COMPOSIT A; NOT FOUND; FLACONETES 2 ML x 10; CHS
31992; CLENIL COMPOSITUM ; CLENIL COMPOSITUM; NOT FOUND; SPRAY DOSE 15 ML x 200; CHS
159359; CLENIL HFA ; CLENIL HFA; NOT FOUND; SPRAY AERO 200 Y x 200 (/DOS); CHS
78149; CLENIL HFA ; CLENIL HFA; NOT FOUND; SPRAY AERO 250 Y x 200 (/DOS); CHS
78148; CLENIL HFA ; CLENIL HFA; NOT FOUND; SPRAY AERO 50 Y x 200 (/DOS); CHS
78150; CLENIL HFA ; CLENIL HFA; NOT FOUND; SPRAY JET AE 250 Y x 200; CHS
54741; CLENIL JET ; CLENIL JET; NOT FOUND; SPRAY JET 250 Y 15 ML x 200; CHS
49224; CLENIL NASAL ; CLENIL NASAL; NOT FOUND; SPRAY DOSE 50 Y x 200 (/DOS); CHS
50742; CLENIL NASAL AQUOS ; CLENIL NASAL AQUOS; NOT FOUND; SPRAY DOSE 50 Y 20 ML x 130 (/D; CHS
95498; CLENIL NASAL AQUOS ; CLENIL NASAL AQUOS; NOT FOUND; SPRAY DOSE 50 Y 20 ML x 200 (/D; CHS
58105; CLENIL PULVINAL ; CLENIL PULVINAL; NOT FOUND; PO P/INH 100 Y x 100 (/DOS); CHS
58106; CLENIL PULVINAL ; CLENIL PULVINAL; NOT FOUND; PO P/INH 200 Y x 100 (/DOS); CHS
58107; CLENIL PULVINAL ; CLENIL PULVINAL; NOT FOUND; PO P/INH 400 Y x 100 (/DOS); CHS
54740; CLENIL SPRAY ; CLENIL SPRAY; NOT FOUND; SPRAY 250 Y 15 ML x 200; CHS
66346; CLENIL SPRAY ; CLENIL SPRAY; NOT FOUND; SPRAY 50 Y 15 ML x 200; CHS
52737; CUROSURF ; CUROSURF; NOT FOUND; F.AMP SOLV 120 MG 1.50 ML x 1; CHS
58541; CUROSURF ; CUROSURF; NOT FOUND; F.AMP SOLV 240 MG 3 ML x 1; CHS
