62762, V.BE+SU.G+TO+CL MG , V BE SU G TO CL, NOT FOUND, POM. 20 G x 1, BF8

93701, VALSAR+HIDROCL MG , VALSAR HIDROCL, NOT FOUND, CPR REVEST 320 MG x 30 (/25), E3S

79561, VALSARTANA MG , VALSARTANA, VALSARTANA, CPR REVEST 160 MG x 30, E3S

79559, VALSARTANA MG , VALSARTANA, VALSARTANA, CPR REVEST 80 MG x 30, E3S

79278, VENFORIN , VENFORIN, NOT FOUND, CAPS 37.5 MG x 14, E3S

79558, VALSARTANA MG , VALSARTANA, VALSARTANA, CPR REVEST 40 MG x 30, E3S

79568, VALSARTANA MG , VALSARTANA, VALSARTANA, CPR REVEST 320 MG x 30, E3S

62924, VELAMOX BD , VELAMOX BD, NOT FOUND, CPR REVEST 1 G x 12, E3S

55357, VIDYN , VIDYN, NOT FOUND, CPR EFER x 10, E3S

72911, VALER.BETAMETA.MG , VALER BETAMETA, VALERATO BETAMETASONA, LOC.DERMATOL 1 MG 50 G x 1 (/G), E3S

64598, VALPROATO SODIO MG , VALPROATO SODIO, VALPROATO SODIO, XAROPE 250 MG 100 ML x 1 (/5ML), E3S

62581, VELAMOX BD , VELAMOX BD, NOT FOUND, CPR REVEST 875 MG x 14, E3S

61442, V.BE+SU.G+TO+CL MG , V BE SU G TO CL, NOT FOUND, CREME 20 G x 1, E3S

71488, VAZY , VAZY, NOT FOUND, CAPS 10 MG x 30, E3S

48711, VIDYN , VIDYN, NOT FOUND, DRAG x 30, E3S

9888, VITAFER , VITAFER, NOT FOUND, DRAG x 50, E3S

79276, VENFORIN , VENFORIN, NOT FOUND, CAPS 75 MG x 30, E3S

59856, VELAMOX , VELAMOX, NOT FOUND, PO P/SUSP 500 MG 150 ML x 1 (/5ML), E3S

158158, VALSAR+HIDROCL MG , VALSAR HIDROCL, NOT FOUND, CPR REVEST 320 MG x 30 (/12.), E3S

93334, VALSAR+HIDROCL MG , VALSAR HIDROCL, NOT FOUND, CPR REVEST 160 MG x 30 (/25), E3S

63845, VALER.BETAMETA.MG , VALER BETAMETA, VALERATO BETAMETASONA, CREME 1 MG 30 G x 1 (/G), E3S

63844, VAL.BETA+S.NEOM.MG , VAL BETA S NEOM, NOT FOUND, CREME 30 G x 1, E3S

48509, VOLTAFLEX , VOLTAFLEX, NOT FOUND, CPR LAQ RET. 100 MG x 10, E3S

52817, VELAMOX , VELAMOX, NOT FOUND, CPR 500 MG x 18, E3S

48507, VOLTAFLEX , VOLTAFLEX, NOT FOUND, CPR LAQ ENT. 50 MG x 10, E3S

48510, VOLTAFLEX , VOLTAFLEX, NOT FOUND, GOTAS 15 MG 10 ML x 1 (/ML), E3S

71489, VAZY , VAZY, NOT FOUND, CAPS 15 MG x 30, E3S

