519014902136420; RESFRYNEO; RESFRYNEO; NOT FOUND; SOL ORAL (FR C/100ML); N_Q
519014904112413; RESFRYNEO; RESFRYNEO; NOT FOUND; 400MG + 4MG + 4MG CAP GEL DURA BL AL PLAST INC X 20; N_Q
519025601175414; RINIDAL; RINIDAL; NOT FOUND; 0.25MG/ML SOL NAS INF CT FR PLAS OPC X 20ML; N_Q
519025602171412; RINIDAL; RINIDAL; NOT FOUND; 0.5MG/ML SOL NAS AD CT FR PLAS OPC X 10ML; N_Q
519025603178410; RINIDAL; RINIDAL; NOT FOUND; 0.5MG/ML SOL NAS AD CT FR PLAS OPC X 30ML; N_Q
519014701114411; RENALAPRIL; RENALAPRIL; NOT FOUND; 10 MG COM CT 3 STRIP X 10; N_Q
519014702110411; RENALAPRIL; RENALAPRIL; NOT FOUND; 20 MG COM CT 3 STRIP X 10; N_Q
519014703117418; RENALAPRIL; RENALAPRIL; NOT FOUND; 5 MG COM CT 3 STRIP X 10; N_Q
519015201174413; RIFAN; RIFAN; NOT FOUND; SPRAY 10MG/ML (CX C/1 FRVD C/20ML); N_Q
519024001174117; RIFAMICINA SV SÓDICA; RIFAMICINA SV SODICA; RIFAMICINA SV SODICA; 10 MG/ML SOL TOP SPRAY CT FR PET AMB X 20 ML; N_Q
519015301111413; ROXITRAN; ROXITRAN; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 5 ; N_Q
519015001116411; REVASTIN; REVASTIN; NOT FOUND; 10 MG COM REV CT 3 BL AL PLAS AMB X 10; N_Q
