519006301161411; LIDOGEL; LIDOGEL; NOT FOUND; GEL 30GR C/ APLICADOR URETRAL; N_Q
519006302168411; LIDOGEL; LIDOGEL; NOT FOUND; 20 MG/G GEL TOP CX 50 BG AL X 30G (EMB HOSP); N_Q
519030501167416; LORENTIL; LORENTIL; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 20 G ; N_Q
519019401119419; LOZIL; LOZIL; NOT FOUND; 900 MG COM REV CT BL AL PLAS INC X 12; N_Q
519006501111418; LISOCLOR; LISOCLOR; NOT FOUND; 20 MG + 12.5 MG COM CT 3 BL AL PLAS INC X 10; N_Q
519006601114419; LOMBALGINA; LOMBALGINA; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 20; N_Q
519023001111419; LISOPRIL; LISOPRIL; NOT FOUND; 10 MG COM CT 3 BL AL PLAS INC X 10; N_Q
519028601133112; LORATADINA; LORATADINA; LORATADINA; 1.0 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; N_Q
519026401137118; LORATADINA + SULFATO DE PSEUDOEFEDRINA; LORATADINA SULFATO PSEUDOEFEDRINA; NOT FOUND; 1 MG/ ML + 12 MG/ ML XPE CT FR VD AMB X 60 ML + CP MED; N_Q
519018302117411; LORAPAN; LORAPAN; NOT FOUND; 1 MG COM CT BL AL PLAS INC X 20; N_Q
519018301110411; LORAPAN; LORAPAN; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 20; N_Q
519029902110111; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PLAS INC X 30; N_Q
519029901114111; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS INC X 30; N_Q
519006201116414; LANZACOR; LANZACOR; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 14 ; N_Q
519006202112412; LANZACOR; LANZACOR; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 28; N_Q
519006203119410; LANZACOR; LANZACOR; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 490 (EMB. HOSP); N_Q
519019901111417; LIPOCLIN; LIPOCLIN; NOT FOUND; 20 MG COM CT  FR PLAS OPC X 30; N_Q
