519001601175417, CALAMYN, CALAMYN, NOT FOUND, LOCAO CREMOSA (FR C/120ML), N_Q
519001704111111, CAPOTRIL, CAPOTRIL, NOT FOUND, 25 MG COM CT 3 BL AL PLAS INC X 10, N_Q
519001701110414, CAPOTRIL, CAPOTRIL, NOT FOUND, CP 12.5MG (CX C/1 BL C/30), N_Q
519001702117412, CAPOTRIL, CAPOTRIL, NOT FOUND, CP 25MG (CX C/1 BL C/16), N_Q
519001703113410, CAPOTRIL, CAPOTRIL, NOT FOUND, CP 50MG (CX C/3 BL C/10), N_Q
519023601119119, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CX BL AL PLAS INC X 30, N_Q
519023606110111, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CX BL AL PLAS INC X 30, N_Q
519023609111117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CX BL AL PLAS INC X 30, N_Q
519023701113112, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 20, N_Q
519023702111113, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 30, N_Q
519022401132113, CARBOCISTEINA, CARBOCISTEINA, CARBOCISTEINA, XPE AD 50MG/ML (FR C/100ML) + COPO MEDIDA, N_Q
519022402139111, CARBOCISTEINA, CARBOCISTEINA, CARBOCISTEINA, XPE INF 20MG/ML (FR C/100ML) + COPO MEDIDA, N_Q
519020301114419, CEFACLOREN, CEFACLOREN, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 10, N_Q
519030301117415, CEFANID, CEFANID, NOT FOUND, 500 MG COM CT ENV AL X 8, N_Q
519021201156118, CEFTRIAXONA SÓDICA, CEFTRIAXONA SODICA, CEFTRIAXONA SODICA, 1G PO SOL INJ IV CX 50 FA VD INC + 50 DIL AMP VD INC X 10 ML (EMB HOSP), N_Q
519002001112412, CEPROFEN, CEPROFEN, NOT FOUND, 50 MG CAP GEL DURA CT 2 BL AL PLAS INC X 12, N_Q
519025502134418, CETILPLEX, CETILPLEX, NOT FOUND, 100MG GRAN CT 16 ENV KRAFT POLIET X 5G, N_Q
519025503130416, CETILPLEX, CETILPLEX, NOT FOUND, 200MG GRAN CT 16 ENV KRAFT POLIET X 5G, N_Q
519025501138411, CETILPLEX, CETILPLEX, NOT FOUND, 20MG/ML XPE CT FR VD AMB X 100ML, N_Q
519002102113112, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 200 MG COM CT BL AL PLAST INC X 10, N_Q
519002101168118, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, CREME 20MG/GR (BG AL C/30GR), N_Q
519002204161418, CETONEO, CETONEO, NOT FOUND, 20 MG/G CREM DERM CX 50 BG AL X 30 G (EMB HOSP), N_Q
519002201111411, CETONEO, CETONEO, NOT FOUND, CP 200MG (CX C/1 BL C/10), N_Q
519002202169411, CETONEO, CETONEO, NOT FOUND, CREME 20MG/GR (BG AL C/30GR), N_Q
519002203173412, CETONEO, CETONEO, NOT FOUND, SHAMPOO (FR C/100ML), N_Q
519028401177116, CETOROLACO DE TROMETAMOL, CETOROLACO TROMETAMOL, NOT FOUND, 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, N_Q
519002301116111, CIMETIDINA, CIMETIDINA, CIMETIDINA, 200 MG COM CT 1 BL AL PLAS INC X 10, N_Q
