519016001111416; TENSALIV; TENSALIV; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 20; N_Q
519016002116411; TENSALIV; TENSALIV; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 20; N_Q
519016301113414; TORSILAX; TORSILAX; NOT FOUND; 125 MG + 50 MG + 300 MG + 30 MG COM DISP BL AL PLAS INC X 100 (EMB HOSP); N_Q
519016302111415; TORSILAX; TORSILAX; NOT FOUND; 125MG + 50MG + 300MG +30MG COM CT BL AL PLAS INC X 30; N_Q
519016303116410; TORSILAX; TORSILAX; NOT FOUND; 125 MG + 50 MG + 300 MG + 30 MG COM CT BL AL PLAS INC X 12; N_Q
519015901117412; TEGREX; TEGREX; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; N_Q
519015902113410; TEGREX; TEGREX; NOT FOUND; 200 MG COM CX BL AL PLAS INC X 500 (EMB HOSP); N_Q
519025201118413; TRAMADEN; TRAMADEN; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS INC X 10; N_Q
519025202114411; TRAMADEN; TRAMADEN; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS INC X 100 ; N_Q
519016101114425; TERMOPIRONA; TERMOPIRONA; NOT FOUND; CP 500MG (CX C/25 BL C/4); N_Q
519016102137429; TERMOPIRONA; TERMOPIRONA; NOT FOUND; GTS 500MG/ML (DISP C/10 FR C/10ML); N_Q
519016103133427; TERMOPIRONA; TERMOPIRONA; NOT FOUND; GTS 500MG/ML (FRPL C/10ML); N_Q
519016104131428; TERMOPIRONA; TERMOPIRONA; NOT FOUND; GTS 500MG/ML(FRPL C/10ML) LARANJA; N_Q
519026501131413; TILUGEN; TILUGEN; NOT FOUND; 2MG/ML XPE CT FR VD AMB X 120ML + CP MED; N_Q
519031401166114; TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA; TRIANCINOLONA ACETONIDA SULFATO NEOMICINA GRAMICIDINA NISTATINA; NOT FOUND; 1 MG/ G + 2.5 MG/ G + 0.25 MG/ G + 100.000 UI/ G POM DERM CT BG AL X 30 G; N_Q
519016201119410; TIROIDIN; TIROIDIN; NOT FOUND; 100 MCG COM CT BL AL PLAS INC X 30; N_Q
519026601179418; TIMONEO; TIMONEO; NOT FOUND; 2.5 MG/ ML SOL OFT CT FR PLAS OPC GOT X 5 ML ; N_Q
519026602175416; TIMONEO; TIMONEO; NOT FOUND; 5.0 MG/ ML SOL OFT CT FR PLAS OPC GOT X 5 ML ; N_Q
519026201138412; TYNEO; TYNEO; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; N_Q
519026202118415; TYNEO; TYNEO; NOT FOUND; 750 MG COM DISPLAY BL AL PLAS AMB X 100; N_Q
519030201139417; TIAMIN; TIAMIN; NOT FOUND; SOL OR CT FR VD AMB X 100 ML; N_Q
519030203131413; TIAMIN; TIAMIN; NOT FOUND; SOL OR CT FR VD AMB X 30 ML; N_Q
519030701174114; TARTARATO DE BRIMONIDINA; TARTARATO BRIMONIDINA; NOT FOUND; 2.0MG/ML SOL OFT CT  FR PLAS OPC GOT X 5 ML ; N_Q
519028101114410; TILOXINEO; TILOXINEO; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 10; N_Q
519028201119112; TENOXICAM; TENOXICAM; TENOXICAM; 20 MG COM REV CT BL AL PLAS INC X 10; N_Q
519019101115418; TIBIAL; TIBIAL; NOT FOUND; 2.5 MG COM CT BL AL PLAS INC X 28; N_Q
519032201160110; TIOCONAZOL + TINIDAZOL; TIOCONAZOL TINIDAZOL; NOT FOUND; 20 MG/G + 30 MG/G CREM VAG CT BG AL X 35 G + 07 APLIC; N_Q
