519008001114414; NEO BENDAZOL; NEO BENDAZOL; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 2; N_Q
519008003133416; NEO BENDAZOL; NEO BENDAZOL; NOT FOUND; 40 MG/ML SUS OR CT FR VD AMB X 10 ML; N_Q
519008002110412; NEO BENDAZOL; NEO BENDAZOL; NOT FOUND; CP MAST 400 MG (CX C/1 BL C/1); N_Q
519020901111410; NEOZOLAM; NEOZOLAM; NOT FOUND; 0.25 MG COM CT 2 BL AL PLAS INC X 10; N_Q
519007801117411; NEO AMITRIPTILIN; NEO AMITRIPTILIN; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 20; N_Q
519007802113418; NEO AMITRIPTILIN; NEO AMITRIPTILIN; NOT FOUND; 25 MG COM CT 25 BL AL PLAS INC X 20(EMB HOSP); N_Q
519010202131415; NEO MOXILIN; NEO MOXILIN; NOT FOUND; 250 MG/5ML  PO PREP EXT SUS OR CT FR VD AMB X 150 ML; N_Q
519012102175417; NEOPIRIDIN; NEOPIRIDIN; NOT FOUND; 4MG /ML +0.5 MG/ML SOL OR TOP CT FR VD AMB SPR X 50 ML; N_Q
519022001118415; NEOLEFRIN; NEOLEFRIN; NOT FOUND; COM CX 25 BL AL PLAS INC X 4(COM AMARELO) + 4 (COM LARANJA); N_Q
519008302130419; NEO CEFADRIL; NEO CEFADRIL; NOT FOUND; 50 MG/ML PO PREP EXT CT 01 FR VD AMB X 100 ML; N_Q
519008301118415; NEO CEFADRIL; NEO CEFADRIL; NOT FOUND; 500 MG CAP GEL DURA CT 2 ENV AL X 4; N_Q
519008401139414; NEO CEFLEX; NEO CEFLEX; NOT FOUND; 25MG/ML PO SUSP OR CT FR VD AMB X 60ML ; N_Q
519008402135412; NEO CEFLEX; NEO CEFLEX; NOT FOUND; 50 MG/ML PO SUSP OR CT FR VD AMB X 60ML; N_Q
519010702132410; NEOCEFLEX; NEOCEFLEX; NOT FOUND; 50 MG/ML PO SUSP OR CX 50 FR VD AMB X 60ML (EMB HOSP); N_Q
