519024101111419, GERIVIX, GERIVIX, NOT FOUND, COM REV CT BL AL PLAS INC X 30, N_Q
519024102116414, GERIVIX, GERIVIX, NOT FOUND, DRG CT 5 BL AL PLAS INC X 10, N_Q
519005301133411, GONOL, GONOL, NOT FOUND, 3.5 G + 1 G PO SUS OR CT FR VD AMB X 60 ML, N_Q
519005102114415, GLICORP, GLICORP, NOT FOUND, 250 MG COM REV CT 5 BL AL PLAS INC X 10, N_Q
519005103110413, GLICORP, GLICORP, NOT FOUND, 250 MG COM REV CX 50 BL AL PLAS INC X 10 (EMB HOSP), N_Q
519024401113417, GESTRADIOL, GESTRADIOL, NOT FOUND, 0.15 MG + 0.03 MG COM CT BL AL PLAS INC X 21 , N_Q
519005201112410, GLIONIL, GLIONIL, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 30, N_Q
519031101111111, GLIBENCLAMIDA, GLIBENCLAMIDA, GLIBENCLAMIDA,  5 MG COM CT BL AL PLAS INC X 30, N_Q
519019701112411, GLIMERAN, GLIMERAN, NOT FOUND, 2 MG COM CT 2 BL AL PLAS INC X 15, N_Q
519031702131115, GUAIFENESINA, GUAIFENESINA, GUAIFENESINA, 13.3 MG/ML XPE FR PLAS INC X 120 ML + COP, N_Q
519031701135117, GUAIFENESINA, GUAIFENESINA, GUAIFENESINA, 16.00 MG/ML XPE FR PLAS INC X 120 ML + COP , N_Q
519019601118416, GASTROPAN, GASTROPAN, NOT FOUND, 40 MG COM REVE CT FR PLAS OPC X 14, N_Q
