519031002113114; DIPIRONA SÓDICA+ CAFEÍNA; DIPIRONA SODICA CAFEINA; NOT FOUND; 500 MG + 65MG COM DISP BL AL PLAS AMB X 100; N_Q
519031001117116; DIPIRONA SÓDICA+ CAFEÍNA; DIPIRONA SODICA CAFEINA; NOT FOUND; 500 MG + 65MG COM CT BL AL PLAS AMB X 16; N_Q
519003201131419; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 120 ML + CP MED; N_Q
519003202138115; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 50 FR VD AMB X 120 ML + 50 CP MED; N_Q
519028802112414; DIENZEPAX; DIENZEPAX; NOT FOUND; 10MG COM CT BL AL PLAS INC X 20; N_Q
519030902110113; DIAZEPAM; DIAZEPAM; DIAZEPAM; 10 MG COM CT BL AL PLAS INC X 20; N_Q
519030903117111; DIAZEPAM; DIAZEPAM; DIAZEPAM; 10 MG COM CT BL AL PLAS INC X 30; N_Q
519028801116416; DIENZEPAX; DIENZEPAX; NOT FOUND; 5MG COM CT BL AL PLAS INC X 20; N_Q
519030904113111; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG COM CT BL AL PLAS INC X 20; N_Q
519030901114115; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG COM CT BL AL PLAS INC X 30; N_Q
519003302175111; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 1 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; N_Q
519030801111114; DIGOXINA; DIGOXINA; DIGOXINA; 0.25 MG COM CT BL AL PLAS INC X 25; N_Q
519027501135115; DIMETICONA; DIMETICONA; DIMETICONA; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15 ML ; N_Q
519003503111119; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 1G COM CT BL AL PLAS INC X 10; N_Q
519003504118117; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 1G COM DISP BL AL PLAS INC X 100; N_Q
519019001110120; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; CP 500MG DISPLAY (C/25 BL C/4); N_Q
519003501135126; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; GTS 500MG/ML (FRPL C/10ML); N_Q
519003502158111; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; INJ 500MG/ML (CX C/50 AMP C/2ML); N_Q
519019002133116; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; N_Q
519020601134113; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 1.5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED X 10 ML ; N_Q
519020602130111; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED X 10 ML; N_Q
519030102157417; DEXANIL; DEXANIL; NOT FOUND; 2 MG/ML SOL INJ CT 2 AMP VD INC X 1 ML; N_Q
519030103153415; DEXANIL; DEXANIL; NOT FOUND; 2 MG/ML SOL INJ CT 50 AMP VD INC X 1 ML (EMB HOSP); N_Q
519030101150419; DEXANIL; DEXANIL; NOT FOUND; 4.0 MG/ML SOL INJ CT FR AMP VD INC X 2.5 ML; N_Q
519030104151416; DEXANIL; DEXANIL; NOT FOUND; 4.0 MG/ML SOL INJ CT 50 FR AMP VD INC 2.5 ML (EMB HOSP); N_Q
519031301110419; DUCTOGEL; DUCTOGEL; NOT FOUND; 300 MG COM CT ABL AL PLAS INC X 24; N_Q
519026701157416; DORMANT; DORMANT; NOT FOUND; 5 MG/ML SOL INJ CX 50 AMP VD INC X 3 ML; N_Q
