519016502161114, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 30 G, N_Q
519016503166111, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G POM DERM CT BG AL X 30 G, N_Q
519016505177119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/ML SOL TOP CAPIL CT FR PLAS OPC GOT X 50 ML, N_Q
519024901167117, VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G, N_Q
519016601117415, VASODIPINA, VASODIPINA, NOT FOUND, 30MG COM REV CT 3 BL AL PLAS INC X 10 , N_Q
519016701111419, VERTIGIUM, VERTIGIUM, NOT FOUND, 10MG COM CT BL AL PLAS INC X 50, N_Q
519028701162416, VERUF, VERUF, NOT FOUND, 20 MG/G CREM DERM CT BG AL X 15 G, N_Q
519025401133416, VISAZUL, VISAZUL, NOT FOUND, 0.5 MG/ML + 1.0 MG/ML + 0.025 MG/ML SOL OFT CT FR PLAS TRANS GOT X 20 ML, N_Q
519030601110416, VITAMINA B1 NEO QUÍMICA, VITAMINA B1 NEO QUIMICA, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 30, N_Q
519025701161415, VULNAGEN, VULNAGEN, NOT FOUND, 20 MG/G + 30 MG/G CREM VAG CT BG PLAS OPC X 35 G, N_Q
519016502161114, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 30 G, N_Q
519016503166111, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G POM DERM CT BG AL X 30 G, N_Q
519016505177119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/ML SOL TOP CAPIL CT FR PLAS OPC GOT X 50 ML, N_Q
519024901167117, VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G, N_Q
519016601117415, VASODIPINA, VASODIPINA, NOT FOUND, 30MG COM REV CT 3 BL AL PLAS INC X 10 , N_Q
519016701111419, VERTIGIUM, VERTIGIUM, NOT FOUND, 10MG COM CT BL AL PLAS INC X 50, N_Q
519028701162416, VERUF, VERUF, NOT FOUND, 20 MG/G CREM DERM CT BG AL X 15 G, N_Q
519025401133416, VISAZUL, VISAZUL, NOT FOUND, 0.5 MG/ML + 1.0 MG/ML + 0.025 MG/ML SOL OFT CT FR PLAS TRANS GOT X 20 ML, N_Q
519030601110416, VITAMINA B1 NEO QUÍMICA, VITAMINA B1 NEO QUIMICA, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 30, N_Q
519025701161415, VULNAGEN, VULNAGEN, NOT FOUND, 20 MG/G + 30 MG/G CREM VAG CT BG PLAS OPC X 35 G, N_Q
519016502161114, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 30 G, N_Q
519016503166111, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G POM DERM CT BG AL X 30 G, N_Q
519016505177119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/ML SOL TOP CAPIL CT FR PLAS OPC GOT X 50 ML, N_Q
519024901167117, VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G, N_Q
519016601117415, VASODIPINA, VASODIPINA, NOT FOUND, 30MG COM REV CT 3 BL AL PLAS INC X 10 , N_Q
519016701111419, VERTIGIUM, VERTIGIUM, NOT FOUND, 10MG COM CT BL AL PLAS INC X 50, N_Q
519028701162416, VERUF, VERUF, NOT FOUND, 20 MG/G CREM DERM CT BG AL X 15 G, N_Q
519025401133416, VISAZUL, VISAZUL, NOT FOUND, 0.5 MG/ML + 1.0 MG/ML + 0.025 MG/ML SOL OFT CT FR PLAS TRANS GOT X 20 ML, N_Q
519030601110416, VITAMINA B1 NEO QUÍMICA, VITAMINA B1 NEO QUIMICA, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 30, N_Q
519025701161415, VULNAGEN, VULNAGEN, NOT FOUND, 20 MG/G + 30 MG/G CREM VAG CT BG PLAS OPC X 35 G, N_Q
519016502161114, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 30 G, N_Q
519016503166111, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G POM DERM CT BG AL X 30 G, N_Q
519016505177119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/ML SOL TOP CAPIL CT FR PLAS OPC GOT X 50 ML, N_Q
519024901167117, VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G, N_Q
519016601117415, VASODIPINA, VASODIPINA, NOT FOUND, 30MG COM REV CT 3 BL AL PLAS INC X 10 , N_Q
519016701111419, VERTIGIUM, VERTIGIUM, NOT FOUND, 10MG COM CT BL AL PLAS INC X 50, N_Q
519028701162416, VERUF, VERUF, NOT FOUND, 20 MG/G CREM DERM CT BG AL X 15 G, N_Q
519025401133416, VISAZUL, VISAZUL, NOT FOUND, 0.5 MG/ML + 1.0 MG/ML + 0.025 MG/ML SOL OFT CT FR PLAS TRANS GOT X 20 ML, N_Q
519030601110416, VITAMINA B1 NEO QUÍMICA, VITAMINA B1 NEO QUIMICA, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 30, N_Q
519025701161415, VULNAGEN, VULNAGEN, NOT FOUND, 20 MG/G + 30 MG/G CREM VAG CT BG PLAS OPC X 35 G, N_Q
519016502161114, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 30 G, N_Q
519016503166111, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G POM DERM CT BG AL X 30 G, N_Q
519016505177119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/ML SOL TOP CAPIL CT FR PLAS OPC GOT X 50 ML, N_Q
519024901167117, VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G, N_Q
519016601117415, VASODIPINA, VASODIPINA, NOT FOUND, 30MG COM REV CT 3 BL AL PLAS INC X 10 , N_Q
519016701111419, VERTIGIUM, VERTIGIUM, NOT FOUND, 10MG COM CT BL AL PLAS INC X 50, N_Q
519028701162416, VERUF, VERUF, NOT FOUND, 20 MG/G CREM DERM CT BG AL X 15 G, N_Q
519025401133416, VISAZUL, VISAZUL, NOT FOUND, 0.5 MG/ML + 1.0 MG/ML + 0.025 MG/ML SOL OFT CT FR PLAS TRANS GOT X 20 ML, N_Q
519030601110416, VITAMINA B1 NEO QUÍMICA, VITAMINA B1 NEO QUIMICA, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 30, N_Q
519025701161415, VULNAGEN, VULNAGEN, NOT FOUND, 20 MG/G + 30 MG/G CREM VAG CT BG PLAS OPC X 35 G, N_Q
519016502161114, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 30 G, N_Q
519016503166111, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G POM DERM CT BG AL X 30 G, N_Q
519016505177119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/ML SOL TOP CAPIL CT FR PLAS OPC GOT X 50 ML, N_Q
519024901167117, VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G, N_Q
519016601117415, VASODIPINA, VASODIPINA, NOT FOUND, 30MG COM REV CT 3 BL AL PLAS INC X 10 , N_Q
519016701111419, VERTIGIUM, VERTIGIUM, NOT FOUND, 10MG COM CT BL AL PLAS INC X 50, N_Q
519028701162416, VERUF, VERUF, NOT FOUND, 20 MG/G CREM DERM CT BG AL X 15 G, N_Q
519025401133416, VISAZUL, VISAZUL, NOT FOUND, 0.5 MG/ML + 1.0 MG/ML + 0.025 MG/ML SOL OFT CT FR PLAS TRANS GOT X 20 ML, N_Q
519030601110416, VITAMINA B1 NEO QUÍMICA, VITAMINA B1 NEO QUIMICA, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 30, N_Q
519025701161415, VULNAGEN, VULNAGEN, NOT FOUND, 20 MG/G + 30 MG/G CREM VAG CT BG PLAS OPC X 35 G, N_Q
519016502161114, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 30 G, N_Q
519016503166111, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G POM DERM CT BG AL X 30 G, N_Q
519016505177119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/ML SOL TOP CAPIL CT FR PLAS OPC GOT X 50 ML, N_Q
519024901167117, VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G, N_Q
519016601117415, VASODIPINA, VASODIPINA, NOT FOUND, 30MG COM REV CT 3 BL AL PLAS INC X 10 , N_Q
519016701111419, VERTIGIUM, VERTIGIUM, NOT FOUND, 10MG COM CT BL AL PLAS INC X 50, N_Q
519028701162416, VERUF, VERUF, NOT FOUND, 20 MG/G CREM DERM CT BG AL X 15 G, N_Q
519025401133416, VISAZUL, VISAZUL, NOT FOUND, 0.5 MG/ML + 1.0 MG/ML + 0.025 MG/ML SOL OFT CT FR PLAS TRANS GOT X 20 ML, N_Q
519030601110416, VITAMINA B1 NEO QUÍMICA, VITAMINA B1 NEO QUIMICA, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 30, N_Q
519025701161415, VULNAGEN, VULNAGEN, NOT FOUND, 20 MG/G + 30 MG/G CREM VAG CT BG PLAS OPC X 35 G, N_Q
519016502161114, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 30 G, N_Q
519016503166111, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G POM DERM CT BG AL X 30 G, N_Q
519016505177119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/ML SOL TOP CAPIL CT FR PLAS OPC GOT X 50 ML, N_Q
519024901167117, VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G, N_Q
519016601117415, VASODIPINA, VASODIPINA, NOT FOUND, 30MG COM REV CT 3 BL AL PLAS INC X 10 , N_Q
519016701111419, VERTIGIUM, VERTIGIUM, NOT FOUND, 10MG COM CT BL AL PLAS INC X 50, N_Q
519028701162416, VERUF, VERUF, NOT FOUND, 20 MG/G CREM DERM CT BG AL X 15 G, N_Q
519025401133416, VISAZUL, VISAZUL, NOT FOUND, 0.5 MG/ML + 1.0 MG/ML + 0.025 MG/ML SOL OFT CT FR PLAS TRANS GOT X 20 ML, N_Q
519030601110416, VITAMINA B1 NEO QUÍMICA, VITAMINA B1 NEO QUIMICA, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 30, N_Q
519025701161415, VULNAGEN, VULNAGEN, NOT FOUND, 20 MG/G + 30 MG/G CREM VAG CT BG PLAS OPC X 35 G, N_Q
519016502161114, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 30 G, N_Q
