519018501111411, MAGNOSTASE, MAGNOSTASE, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 12, N_Q
519018502116417, MAGNOSTASE, MAGNOSTASE, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 200, N_Q
519006802160116, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 10 MG/G CREM DERM CT BG AL X 30 G, N_Q
519006803116110, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2 MG COM CT BL AL PLAS INC X 20, N_Q
519006801131112, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2MG/5ML SOL OR FR C/ 120 ML, N_Q
519022501110111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10MG COM CT ENV AL X 30, N_Q
519022502117111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20MG COM CT ENV AL X 30, N_Q
519022503113118, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5MG COM CT ENV AL X 30, N_Q
519027401173112, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, N_Q
519006902165411, MASSAGEOL, MASSAGEOL, NOT FOUND, POM (BG AL C/15GR), N_Q
519006903161411, MASSAGEOL, MASSAGEOL, NOT FOUND, POM (BISN AL C/30GR), N_Q
519006901177416, MASSAGEOL, MASSAGEOL, NOT FOUND, TUBO AL C/120 ML, N_Q
519007001110119, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100 MG COM CT BL AL PLAS INC X 6, N_Q
519007002133112, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CT FR VD AMB X 30 ML, N_Q
519027901117114, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PLAS INC X 10, N_Q
519007101158113, METOCLOPRAMIDA, METOCLOPRAMIDA, METOCLOPRAMIDA, INJ 10MG (CX C/100 AMP C/2ML), N_Q
519007201111119, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 250MG CX COM 20 BL AL PLAS INC X 10 EMB HOSP, N_Q
519007301114411, MIODARID, MIODARID, NOT FOUND, CP 200MG (CX C/2 BL C/10), N_Q
519018501111411, MAGNOSTASE, MAGNOSTASE, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 12, N_Q
519018502116417, MAGNOSTASE, MAGNOSTASE, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 200, N_Q
