30561; DALACIN-C ; DALACIN C; NOT FOUND; AMP. 300 MG 2 ML x 1; PFZ
51029; DALACIN-C ; DALACIN C; NOT FOUND; CAPS 300 MG x 16; PFZ
51170; DALACIN-T ; DALACIN T; NOT FOUND; SOLN TOP. 10 MG 30 ML x 1 (/ML); PFZ
53036; DALACIN-V ; DALACIN V; NOT FOUND; CR.VAG.3 APL 2 % 20 G x 1; PFZ
28462; DAUNOBLASTINA ; DAUNOBLASTINA; NOT FOUND; F.AMP LIOF 20 MG x 1; PFZ
3088; DEPO-MEDROL ; DEPO MEDROL; NOT FOUND; F.AMP RETARD 40 MG 2 ML x 1 (/ML); PFZ
3089; DEPO-PROVERA ; DEPO PROVERA; NOT FOUND; AMP. RETARD 50 MG 1 ML x 1 (/ML); PFZ
53038; DEPO-PROVERA ; DEPO PROVERA; NOT FOUND; F.AMP 150 MG 1 ML x 1 (/ML); PFZ
55613; DEPO-PROVERA ; DEPO PROVERA; NOT FOUND; SER.PRE-ENCH 150 MG 1 ML x 1; PFZ
64054; DETRUSITOL ; DETRUSITOL; NOT FOUND; CAPS LA 4 MG x 14; PFZ
64055; DETRUSITOL ; DETRUSITOL; NOT FOUND; CAPS LA 4 MG x 28; PFZ
76081; DETRUSITOL ; DETRUSITOL; NOT FOUND; CAPS LA 4 MG x 30; PFZ
53980; DETRUSITOL ; DETRUSITOL; NOT FOUND; CPR 1 MG x 28; PFZ
53981; DETRUSITOL ; DETRUSITOL; NOT FOUND; CPR 2 MG x 28; PFZ
53982; DETRUSITOL ; DETRUSITOL; NOT FOUND; CPR 2 MG x 60; PFZ
3196; DIABINESE ; DIABINESE; NOT FOUND; CPR 250 MG x 100; PFZ
48268; DIABINESE ; DIABINESE; NOT FOUND; CPR 250 MG x 30; PFZ
50701; DILTIZEM ; DILTIZEM; NOT FOUND; CPR 60 MG x 60; PFZ
47586; DILTIZEM ; DILTIZEM; NOT FOUND; CPR REVES.AP 120 MG x 20; PFZ
49641; DILTIZEM ; DILTIZEM; NOT FOUND; CPR REVES.AP 240 MG x 10; PFZ
47585; DILTIZEM ; DILTIZEM; NOT FOUND; CPR REVES.AP 90 MG x 20; PFZ
57510; DOSTINEX ; DOSTINEX; NOT FOUND; CPR 0.50 MG x 2; PFZ
55378; DOSTINEX ; DOSTINEX; NOT FOUND; CPR 0.50 MG x 8; PFZ
3622; DRENOL ; DRENOL; NOT FOUND; CPR 50 MG x 30; PFZ
