87165; TANTRIX ; TANTRIX; NOT FOUND; CPR REVEST 50 MG x 1; PFZ
87167; TANTRIX ; TANTRIX; NOT FOUND; CPR REVEST 50 MG x 2; PFZ
87170; TANTRIX ; TANTRIX; NOT FOUND; CPR REVEST 50 MG x 4; PFZ
87172; TANTRIX ; TANTRIX; NOT FOUND; CPR REVEST 50 MG x 8; PFZ
53298; TAZOCIN ; TAZOCIN; NOT FOUND; F.AMP 2.25 G x 1; PFZ
53299; TAZOCIN ; TAZOCIN; NOT FOUND; F.AMP 4.50 G x 1; PFZ
30602; TERRA CORTRIL ; TERRA CORTRIL; NOT FOUND; POM. 15 G x 1; PFZ
48370; TERRA-CORTRIL POLI ; TERRA CORTRIL POLI; NOT FOUND; CREME 15 G x 1; PFZ
48371; TERRAMICINA ; TERRAMICINA; NOT FOUND; A.IM 100 MG 2 ML x 5; PFZ
10133; TERRAMICINA ; TERRAMICINA; NOT FOUND; CAPS 500 MG x 100; PFZ
10134; TERRAMICINA ; TERRAMICINA; NOT FOUND; CAPS 500 MG x 8; PFZ
10137; TERRA-POLIMIXINA ; TERRA POLIMIXINA; NOT FOUND; POM. OFTAL 3.50 G x 1; PFZ
48372; TERRA-POLIMIXINA ; TERRA POLIMIXINA; NOT FOUND; POM. 15 G x 1; PFZ
78061; TORISEL ; TORISEL; NOT FOUND; F AMP DIL 25 MG 1.80 ML x 1 (/ML); PFZ
66042; TOTELLE ; TOTELLE; NOT FOUND; DRAG x 28; PFZ
66043; TOTELLE CICLO ; TOTELLE CICLO; NOT FOUND; DRAG x 28; PFZ
44274; TRALEN ; TRALEN; NOT FOUND; CREME DERMAT 1 % 30 G x 1; PFZ
44275; TRALEN ; TRALEN; NOT FOUND; LOC.DERMATOL 1 % 30 G x 1; PFZ
45098; TRALEN ; TRALEN; NOT FOUND; PO DEMATOLO. 1 % 30 G x 1; PFZ
49077; TRALEN ; TRALEN; NOT FOUND; SOLN P/UNHA 28 % 12 ML x 1; PFZ
76858; TRAMAL ; TRAMAL; NOT FOUND; AMP. 100 MG 2 ML x 5 (/ML); PFZ
47858; TRAMAL ; TRAMAL; NOT FOUND; AMP. 100 MG x 6; PFZ
76859; TRAMAL ; TRAMAL; NOT FOUND; AMP. 50 MG 1 ML x 5 (/ML); PFZ
49626; TRAMAL ; TRAMAL; NOT FOUND; AMP. 50 MG x 6; PFZ
47859; TRAMAL ; TRAMAL; NOT FOUND; CAPS 50 MG x 10; PFZ
51892; TRAMAL ; TRAMAL; NOT FOUND; CPR RETARD 100 MG x 10; PFZ
48503; TRAMAL ; TRAMAL; NOT FOUND; GOTAS 100 MG 10 ML x 1 (/ML); PFZ
44277; TRINORDIOL ; TRINORDIOL; NOT FOUND; DRAG x 21; PFZ
58793; TROFODERMIN ; TROFODERMIN; NOT FOUND; CR.VAG.8 APL 45 G x 1; PFZ
10673; TROFODERMIN ; TROFODERMIN; NOT FOUND; CREME 30 G x 1; PFZ
51894; TROFODERMIN GINEC. ; TROFODERMIN GINEC; NOT FOUND; CR.VAG.8 APL 40 G x 1; PFZ
69786; TYGACIL ; TYGACIL; NOT FOUND; F.AMP LIOF 50 MG x 10; PFZ
