502301502178317; ENTOCORT; ENTOCORT; NOT FOUND; 2.3 MG COM CT BL AL/AL X 7 + 7 FR PLAS TRANS DIL X 115 ML; AZN
502301501112312; ENTOCORT; ENTOCORT; NOT FOUND; 3 MG CAPS GEL C/ MICROGRANULOS CT FR PLAS OPC X 45; AZN
502312070020006; ESOMEPRAZOL MAGNÉSIO TRIIDRATADO; ESOMEPRAZOL MAGNESIO TRIIDRATADO; NOT FOUND; 20 MG COM REV CT BL AL AL X 14; AZN
502312070020106; ESOMEPRAZOL MAGNÉSIO TRIIDRATADO; ESOMEPRAZOL MAGNESIO TRIIDRATADO; NOT FOUND; 20 MG COM REV CT BL AL AL X 28; AZN
502312070020206; ESOMEPRAZOL MAGNÉSIO TRIIDRATADO; ESOMEPRAZOL MAGNESIO TRIIDRATADO; NOT FOUND; 20 MG COM REV CT BL AL AL X 50 (EMB HOSP); AZN
502312070019906; ESOMEPRAZOL MAGNÉSIO TRIIDRATADO; ESOMEPRAZOL MAGNESIO TRIIDRATADO; NOT FOUND; 20 MG COM REV CT BL AL AL X 7; AZN
502312070020406; ESOMEPRAZOL MAGNÉSIO TRIIDRATADO; ESOMEPRAZOL MAGNESIO TRIIDRATADO; NOT FOUND; 40 MG COM REV CT BL AL AL X 14; AZN
502312070020506; ESOMEPRAZOL MAGNÉSIO TRIIDRATADO; ESOMEPRAZOL MAGNESIO TRIIDRATADO; NOT FOUND; 40 MG COM REV CT BL AL AL X 28; AZN
502312070020606; ESOMEPRAZOL MAGNÉSIO TRIIDRATADO; ESOMEPRAZOL MAGNESIO TRIIDRATADO; NOT FOUND; 40 MG COM REV CT BL AL AL X 50 (EMB HOSP); AZN
502312070020306; ESOMEPRAZOL MAGNÉSIO TRIIDRATADO; ESOMEPRAZOL MAGNESIO TRIIDRATADO; NOT FOUND; 40 MG COM REV CT BL AL AL X 7  ; AZN
502301401169312; EMLA; EMLA; NOT FOUND; 25MG/G + 25MG/G CREM DERM CX 5 BG AL X 5 G + 10 BAND OCL; AZN
502301402165310; EMLA; EMLA; NOT FOUND; 25MG/G + 25MG/G CREM DERM CX BG AL X 5 G + 2 BAND OCL; AZN
