502301101114318, CASODEX, CASODEX, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 28, AZN
502306501171311, CIMZIA, CIMZIA, NOT FOUND, 200 MG/ML SOL INJ CT 2 SER VD INC PREENC X 1 ML + 2 LENCOS UMEDECIDOS, AZN
502306502176315, CIMZIA, CIMZIA, NOT FOUND, 200 MG/ML SOL INJ CT 6 SER VD INC PREENC X 1 ML + 6 LENCOS UMEDECIDOS, AZN
502305301118212, CRESTOR, CRESTOR, NOT FOUND, 10 MG COM REV CT BL AL/AL X 10, AZN
502305304117217, CRESTOR, CRESTOR, NOT FOUND, 10 MG COM REV CT BL AL/AL X 30, AZN
502305303110219, CRESTOR, CRESTOR, NOT FOUND, 20 MG COM REV CT BL AL/AL X 10, AZN
502305302114210, CRESTOR, CRESTOR, NOT FOUND, 20 MG COM REV CT BL AL/AL X 30, AZN
502305305113215, CRESTOR, CRESTOR, NOT FOUND, 40 MG COM REV CT BL AL/AL X 30, AZN
502305306111313, CRESTOR, CRESTOR, NOT FOUND, 5 MG COM REV CT BL AL/AL X 10, AZN
502305307116319, CRESTOR, CRESTOR, NOT FOUND, 5 MG COM REV CT BL AL/AL X 30, AZN
502305308112317, CRESTOR, CRESTOR, NOT FOUND, 5 MG COM REV CT BL AL/AL X 60, AZN
502305309119315, CRESTOR, CRESTOR, NOT FOUND, 5 MG COM REV CT BL AL/AL X 90, AZN
502313020022601, CAPRELSA, CAPRELSA, NOT FOUND, 100 MG COM REV CT BL AL PLAS TRANS X 30, AZN
502313020022501, CAPRELSA, CAPRELSA, NOT FOUND, 300 MG COM REV CT BL AL PLAS TRANS X 30, AZN
