502306101139311, VANNAIR, VANNAIR, NOT FOUND, 6 MCG/DOSE + 100 MCG/DOSE AER BUC CT TB AL X 120 DOSES + VALV DOSAD, AZN
502306102135311, VANNAIR, VANNAIR, NOT FOUND, 6 MCG/DOSE + 200 MCG/DOSE AER BUC CT TB AL X 120 DOSES + VALV DOSAD, AZN
502306602111312, VIMOVO, VIMOVO, NOT FOUND, 500 MG + 20 MG COM REV CT FR PLAS OPC X 10, AZN
502306603118310, VIMOVO, VIMOVO, NOT FOUND, 500 MG + 20 MG COM REV CT FR PLAS OPC X 20, AZN
502306604114319, VIMOVO, VIMOVO, NOT FOUND, 500 MG + 20 MG COM REV CT FR PLAS OPC X 30, AZN
502306601115314, VIMOVO, VIMOVO, NOT FOUND, 500 MG + 20 MG COM REV CT FR PLAS OPC X 4, AZN
502306605110317, VIMOVO, VIMOVO, NOT FOUND, 500 MG + 20 MG COM REV CT FR PLAS OPC X 60, AZN
502312080020804, VIDAPRAM, VIDAPRAM, NOT FOUND, 10 MG COM REV CT BL AL/AL X10, AZN
502312080020704, VIDAPRAM, VIDAPRAM, NOT FOUND, 10 MG COM REV CT BL AL/AL X15, AZN
502312080020904, VIDAPRAM, VIDAPRAM, NOT FOUND, 10 MG COM REV CT BL AL/AL X30, AZN
502305401112313, VIVACOR, VIVACOR, NOT FOUND, 10 MG COM REV CT BL AL/AL X 10, AZN
502305402119214, VIVACOR, VIVACOR, NOT FOUND, 10 MG COM REV CT BL AL/AL X 30, AZN
502305403115212, VIVACOR, VIVACOR, NOT FOUND, 20 MG COM REV CT BL AL/AL X 10 , AZN
502305404111210, VIVACOR, VIVACOR, NOT FOUND, 20 MG COM REV CT BL AL/AL X 30, AZN
502305405118316, VIVACOR, VIVACOR, NOT FOUND, 40 MG COM REV CT BL AL/AL X 30, AZN
502305406114314, VIVACOR, VIVACOR, NOT FOUND, 5 MG COM REV CT BL AL/AL X 10, AZN
502305407110312, VIVACOR, VIVACOR, NOT FOUND, 5 MG COM REV CT BL AL/AL X 30, AZN
502305408117310, VIVACOR, VIVACOR, NOT FOUND, 5 MG COM REV CT BL AL/AL X 60, AZN
502305409113319, VIVACOR, VIVACOR, NOT FOUND, 5 MG COM REV CT BL AL/AL X 90, AZN
