1063900960020; NEBACETIN; NEBACETIN; NOT FOUND; PO SPRAY TUBO ALUMINIO C/ 30 ML; TAK
1063902520028; NEBACETIN; NEBACETIN; NOT FOUND; 5.0 MG/G + 250 UI/G POM CT BG AL X 15 G; TAK
1063902520036; NEBACETIN; NEBACETIN; NOT FOUND; 5.0 MG/G + 250 UI/G POM CT BG AL X 50 G; TAK
1063902660016; NESINA; NESINA; NOT FOUND; 6.25 MG COM REV CT BL AL X 10 ; TAK
1063902660024; NESINA; NESINA; NOT FOUND; 6.25 MG COM REV CT BL AL X 30; TAK
1063902660032; NESINA; NESINA; NOT FOUND; 6.25 MG COM REV CT BL AL X 60; TAK
1063902660040; NESINA; NESINA; NOT FOUND; 12.5 MG COM REV CT BL AL  AL X 10 ; TAK
1063902660059; NESINA; NESINA; NOT FOUND; 12.5 MG COM REV CT BL AL  AL X 30; TAK
1063902660067; NESINA; NESINA; NOT FOUND; 12.5 MG COM REV CT BL AL  AL X 60; TAK
1063902660075; NESINA; NESINA; NOT FOUND; 25MG COM REV CT BL AL  AL X 10 ; TAK
1063902660083; NESINA; NESINA; NOT FOUND; 25MG COM REV CT BL AL  AL X 30; TAK
1063902660091; NESINA; NESINA; NOT FOUND; 25MG COM REV CT BL AL  AL X 60; TAK
1063902310023; NEOSALDINA; NEOSALDINA; NOT FOUND; 30 MG/ML + 300 MG/ML + 50 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; TAK
1063902310058; NEOSALDINA; NEOSALDINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG CT BL AL PLAS INC X 20; TAK
1063902310090; NEOSALDINA; NEOSALDINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG DISPLAY 25 BL AL PLAS INC X 4; TAK
1063902310082; NEOSALDINA; NEOSALDINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG DISPLAY BL AL PLAS INC X 200 (EMB MULT); TAK
1063902310163; NEOSALDINA; NEOSALDINA; NOT FOUND; 30 MG + 300 MG + 30 MG LT BL AL PLAS INC X 40; TAK
1063902310112; NEOSALDINA; NEOSALDINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG DISPLAY BL AL PLAS INC X 30; TAK
1063902310139; NEOSALDINA; NEOSALDINA; NOT FOUND; 30 MG + 300 MG + 30 MG LT BL AL PLAS INC X 10 ; TAK
1063902310147; NEOSALDINA; NEOSALDINA; NOT FOUND; 30 MG + 300 MG + 30 MG LT BL AL PLAS INC X 20; TAK
1063902310155; NEOSALDINA; NEOSALDINA; NOT FOUND; 30 MG + 300 MG + 30 MG LT BL AL PLAS INC X 30; TAK
1063902310120; NEOSALDINA; NEOSALDINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG CT BL AL PLAS INC X 240; TAK
1063900990353; NORIPURUM; NORIPURUM; NOT FOUND; 100 MG COM MAST CT BL AL/AL X 10; TAK
1063900990248; NORIPURUM IM; NORIPURUM IM; NOT FOUND; 50 MG/ML SOL INJ IM CX 5 AMP VD INC X 2 ML + 5 AGU; TAK
1063900990302; NORIPURUM SOLUÇÃO ORAL; NORIPURUM SOLUCAO ORAL; NOT FOUND; 50 MG/ML SOL OR CT FR PLAS AMB GOT X 15 ML; TAK
1063900990299; NORIPURUM XAROPE; NORIPURUM XAROPE; NOT FOUND; 10 MG/ML XPE CT FR PLAS AMB X 100 ML; TAK
1063900990300; NORIPURUM XAROPE; NORIPURUM XAROPE; NOT FOUND; 10 MG/ML XPE CT FR PLAS AMB X 120 ML; TAK
1063900990264; NORIPURUM SOLUÇÃO ORAL; NORIPURUM SOLUCAO ORAL; NOT FOUND; 50 MG/ML SOL OR CT FR PLAS AMB GOT X 30 ML; TAK
1063900990280; NORIPURUM; NORIPURUM; NOT FOUND; 100 MG COM MAST CT 4 BL AL/AL X 5; TAK
1063900990290; NORIPURUM; NORIPURUM; NOT FOUND; 100 MG COM MAST CT BL AL/AL X 30; TAK
1063901310070; NORIPURUM FÓLICO; NORIPURUM FOLICO; NOT FOUND; 100 MG + 0.35 MG COM MAST CT BL AL/AL X 20; TAK
1063902450046; NORIPURUM FÓLICO; NORIPURUM FOLICO; NOT FOUND; VITAMINADO COMP REV CX C/ 30; TAK
1063901310089; NORIPURUM FÓLICO; NORIPURUM FOLICO; NOT FOUND; 100 MG + 0.35 MG COM MAST CT BL AL/AL X 30; TAK
1063901310097; NORIPURUM FÓLICO; NORIPURUM FOLICO; NOT FOUND; 100 MG + 0.35 MG COM MAST CT BL AL/AL X 10; TAK
1063902500019; NEBA-SEPT; NEBA SEPT; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS AMB X 30 ML; TAK
1063900970034; NENE DENT N GEL; NENE DENT N GEL; NOT FOUND; SOL TOP CT FR PLAS AMB GOT X 10 G; TAK
1063900970026; NENE DENT N GEL; NENE DENT N GEL; NOT FOUND; GEL CT BG AL X 10 G; TAK
