1063902030012; PONDICILINA; PONDICILINA; NOT FOUND; CEREJA CARTUCHO C/ 12 PAST; TAK
1063902030098; PONDICILINA; PONDICILINA; NOT FOUND; MEL-LIMAO CARTUCHO C/ 12 PAST; TAK
1063902030055; PONDICILINA; PONDICILINA; NOT FOUND; MENTA CARTUCHO C/ 12 PAST; TAK
1063901110071; PROCTYL; PROCTYL; NOT FOUND; 50 MG/G + 10 MG/G POM RET CT 10 BG AL X 3 G + 10 APLIC; TAK
1063901110039; PROCTYL; PROCTYL; NOT FOUND; 50 MG/G + 10 MG/G POM RET CT BG AL X 30 G + 10 APLIC; TAK
1063901110055; PROCTYL; PROCTYL; NOT FOUND; 50 MG/G + 10 MG/G POM RET CT 05 BG AL X 3 G + 5 APLIC; TAK
1063901110020; PROCTYL; PROCTYL; NOT FOUND; 100 MG + 27 MG SUP RET CT STR X 10; TAK
1063901110111; PROCTYL; PROCTYL; NOT FOUND; 100 MG + 27 MG SUP RET CT STR X 15; TAK
1063901110047; PROCTYL; PROCTYL; NOT FOUND; 100 MG + 27 MG SUP RET CT STR X 5; TAK
1063901040065; PANFUGAN; PANFUGAN; NOT FOUND; SUS SABOR ABACAXI FR C/ 40 ML; TAK
1063901040073; PANFUGAN; PANFUGAN; NOT FOUND; SUS SABOR MORANGO FR C/ 40 ML; TAK
1063901040057; PANFUGAN; PANFUGAN; NOT FOUND; SUS SABOR TUTTI FRUTTI FR C/ 40 ML; TAK
1063901040019; PANFUGAN; PANFUGAN; NOT FOUND; CAPS CX C/ 8; TAK
1063901820052; PANTOZOL; PANTOZOL; NOT FOUND; 4 MG/ML PO LIOF INJ CX FA VD INC+AMP DIL X 10 ML; TAK
1063901820443; PANTOZOL; PANTOZOL; NOT FOUND; 40 MG GRAN REV CT 2 ENV; TAK
1063901820451; PANTOZOL; PANTOZOL; NOT FOUND; 40 MG GRAN REV CT 28 ENV; TAK
1063901820125; PANTOZOL; PANTOZOL; NOT FOUND; 20 MG COM REV LIB RETARD CT BL AL/AL X 14; TAK
1063901820133; PANTOZOL; PANTOZOL; NOT FOUND; 20 MG COM REV LIB RETARD CT BL AL/AL X 28; TAK
1063901820117; PANTOZOL; PANTOZOL; NOT FOUND; 20 MG COM REV LIB RETARD CT BL AL/AL X 7; TAK
1063901820168; PANTOZOL; PANTOZOL; NOT FOUND; 40 MG COM REV LIB RETARD CT BL AL/AL X 14; TAK
1063901820176; PANTOZOL; PANTOZOL; NOT FOUND; 40 MG COM REV LIB RETARD CT BL AL/AL X 28; TAK
1063901820151; PANTOZOL; PANTOZOL; NOT FOUND; 40 MG COM REV LIB RETARD CT BL AL/AL X 7; TAK
1063901820265; PANTOZOL; PANTOZOL; NOT FOUND; 20 MG COM REV LIB RETARD CT BL AL/AL X 42; TAK
1063901820370; PANTOZOL; PANTOZOL; NOT FOUND; 40 MG COM REV LIB RETARD CT BL AL/AL X 42; TAK
1063901820281; PANTOZOL; PANTOZOL; NOT FOUND; 20 MG COM REV LIB RETARD CT BL AL/AL X 56; TAK
1063901820397; PANTOZOL; PANTOZOL; NOT FOUND; 40 MG COM REV LIB RETARD CT BL AL/AL X 56; TAK
1063901820435; PANTOZOL; PANTOZOL; NOT FOUND; 40 MG COM REV LIB RETARD CT BL AL/AL X 2; TAK
1063901820400; PANTOZOL; PANTOZOL; NOT FOUND; 20 MG COM REV LIB RETARD CT BL AL/AL X 2; TAK
1063902050013; PLANTABEN; PLANTABEN; NOT FOUND; 3.5 G PO EFEV CT 10 ENV X 5 G; TAK
1063902050031; PLANTABEN; PLANTABEN; NOT FOUND; 3.5 G PO EFEV CT 30 ENV X 5 G; TAK
