1063901630091; DICETEL; DICETEL; NOT FOUND; 100 MG COMP REV CX C/ 20; TAK
1063901630010; DICETEL; DICETEL; NOT FOUND; 50 MG COMP REV CX C/ 20; TAK
1063902420015; DRAMIN B6; DRAMIN B6; NOT FOUND; 50 MG/ML + 50 MG/ML SOL INJ CX 10 AMP VD AMB X 1 ML; TAK
1063901510012; DRAMIN B6; DRAMIN B6; NOT FOUND; B6 INJ CX C/ 6 AMP X 1 ML; TAK
1063902420047; DRAMIN B6; DRAMIN B6; NOT FOUND; 50 MG/ML + 50 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB FRAC); TAK
1063902420047; DRAMIN B6; DRAMIN B6; NOT FOUND; 50 MG/ML + 50 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB FRAC); TAK
1063901510142; DRAMIN B6; DRAMIN B6; NOT FOUND; 25 MG + 5 MG SOL OR CT FR PLAS AMB GOT X 20 ML; TAK
1063902420120; DRAMIN B6; DRAMIN B6; NOT FOUND; 25MG/ML + 5MG/ML SOL OR CT FR PLAS AMB GOT X 30ML; TAK
1063901510029; DRAMIN B6; DRAMIN B6; NOT FOUND; 50 MG + 100 MG COM CT 2 BL AL PLAS INC X 10; TAK
1063902420112; DRAMIN B6; DRAMIN B6; NOT FOUND; 50MG + 10MG COM REV CT BL PVC/PVDC AL X 30; TAK
1063902410044; DRAMIN B6 DL; DRAMIN B6 DL; NOT FOUND; 3 MG/ML + 5 MG/ML + 100 MG/ML + 100 MG/ML SOL INJ CX 100 AMP VD AMB X 10 ML (EMB FRAC); TAK
1063902410044; DRAMIN B6 DL; DRAMIN B6 DL; NOT FOUND; 3 MG/ML + 5 MG/ML + 100 MG/ML + 100 MG/ML SOL INJ CX 100 AMP VD AMB X 10ML (EMB FRAC); TAK
1063902610019; DEXILANT; DEXILANT; NOT FOUND; 30 MG CAP LIB RETARD CT BL AL/AL X 2; TAK
1063902610027; DEXILANT; DEXILANT; NOT FOUND; 30 MG CAP LIB RETARD CT BL AL/AL X 10; TAK
1063902610035; DEXILANT; DEXILANT; NOT FOUND; 30 MG CAP LIB RETARD CT BL AL/AL X 30; TAK
1063902610043; DEXILANT; DEXILANT; NOT FOUND; 30 MG CAP LIB RETARD CT BL AL/AL X 60; TAK
1063902610051; DEXILANT; DEXILANT; NOT FOUND; 60 MG CAP LIB RETARD CT BL AL/AL X 2; TAK
1063902610061; DEXILANT; DEXILANT; NOT FOUND; 60 MG CAP LIB RETARD CT BL AL/AL X 10; TAK
1063902610078; DEXILANT; DEXILANT; NOT FOUND; 60 MG CAP LIB RETARD CT BL AL/AL X 30; TAK
1063902610086; DEXILANT; DEXILANT; NOT FOUND; 60 MG CAP LIB RETARD CT BL AL/AL X 60; TAK
1063901550096; DRAMIN; DRAMIN; NOT FOUND; 2.5 MG/ML SOL OR CT FR PLAS TRANS X 120 ML; TAK
1063901550047; DRAMIN; DRAMIN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 400 (EMB FRAC); TAK
1063901550047; DRAMIN; DRAMIN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 400 (EMB FRAC); TAK
1063901550065; DRAMIN; DRAMIN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 20; TAK
1063901550128; DRAMIN CAPSGEL; DRAMIN CAPSGEL; NOT FOUND; 25 MG CAP GEL MOLE CT BL AL PLAS INC X 10; TAK
1063901550111; DRAMIN CAPSGEL; DRAMIN CAPSGEL; NOT FOUND; 25 MG CAP GEL MOLE CT BL AL PLAS INC X 4; TAK
1063901550195; DRAMIN; DRAMIN; NOT FOUND; 50MG CAP GEL MOLE CT BL AL PLAS INC X 100 (EMB FRAC); TAK
1063901550160; DRAMIN; DRAMIN; NOT FOUND; 50MG CAP GEL MOLE CT BL AL PLAS INC X 4 ; TAK
1063901550179; DRAMIN; DRAMIN; NOT FOUND; 50MG CAP GEL MOLE CT BL AL PLAS INC X 10; TAK
1063901550144; DRAMIN CAPSGEL; DRAMIN CAPSGEL; NOT FOUND; 25MG CAP GEL MOLE CT BL AL PLAS INC X 100 (EMB FRAC); TAK
1063902600048; DERMODEX; DERMODEX; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 60 G; TAK
1063902600021; DERMODEX; DERMODEX; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 15 G; TAK
1063902600031; DERMODEX; DERMODEX; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 30 G; TAK
