1063902670011; EDARBI; EDARBI; NOT FOUND; 40 MG COM CT BL AL AL X 10 ; TAK
1063902670021; EDARBI; EDARBI; NOT FOUND; 40 MG COM CT BL AL AL X 30; TAK
1063902670038; EDARBI; EDARBI; NOT FOUND; 40 MG COM CT BL AL AL X 60 ; TAK
1063902670046; EDARBI; EDARBI; NOT FOUND; 80 MG COM CT BL AL AL X 10 ; TAK
1063902670070; EDARBI; EDARBI; NOT FOUND; 80 MG COM CT BL AL AL X 30; TAK
1063902670089; EDARBI; EDARBI; NOT FOUND; 80 MG COM CT BL AL AL X 60; TAK
1063902680017; EDARBICLOR; EDARBICLOR; NOT FOUND; 20MG + 12.5MG COM REV CT BL AL AL X 10 ; TAK
1063902680025; EDARBICLOR; EDARBICLOR; NOT FOUND; 20MG + 12.5MG COM REV CT BL AL AL X 30; TAK
1063902680033; EDARBICLOR; EDARBICLOR; NOT FOUND; 20MG + 12.5MG COM REV CT BL AL AL X 60; TAK
1063902680041; EDARBICLOR; EDARBICLOR; NOT FOUND; 20MG + 12.5MG COM REV CT BL AL AL X 90; TAK
1063902680084; EDARBICLOR; EDARBICLOR; NOT FOUND; 40 MG + 12.5MG COM REV CT BL AL AL X 10; TAK
1063902680092; EDARBICLOR; EDARBICLOR; NOT FOUND; 40 MG + 12.5 MG COM REV CT BL AL AL X 30; TAK
1063902680106; EDARBICLOR; EDARBICLOR; NOT FOUND; 40 MG + 12.5MG COM REV CT BL AL AL X 60; TAK
1063902680114; EDARBICLOR; EDARBICLOR; NOT FOUND; 40 MG + 12.5 MG COM REV CT BL AL AL X 90; TAK
1063902680157; EDARBICLOR; EDARBICLOR; NOT FOUND; 40 MG + 25 MG COM REV CT BL AL AL X 10  ; TAK
1063902680165; EDARBICLOR; EDARBICLOR; NOT FOUND; 40 MG + 25 MG COM REV CT BL AL AL X 30; TAK
1063902680173; EDARBICLOR; EDARBICLOR; NOT FOUND; 40 MG + 25 MG COM REV CT BL AL AL X 60; TAK
1063902680181; EDARBICLOR; EDARBICLOR; NOT FOUND; 40 MG + 25 MG COM REV CT BL AL AL X 90; TAK
1063900300063; EPAREMA; EPAREMA; NOT FOUND; 103 MG/ML SOL OR CT 12 FLAC X 10 ML; TAK
1063900300071; EPAREMA; EPAREMA; NOT FOUND; 103 MG/ML SOL OR CT 60 FLAC X 10 ML; TAK
1063900300041; EPAREMA; EPAREMA; NOT FOUND; 206 MG/ML SOL OR CT FR PLAS AMB X 200 ML; TAK
