1063901620057; HIDRAFIX; HIDRAFIX; NOT FOUND; 90 CT C/ 25 X 2 FLAC X 25 ML EMB MULT; TAK
1063901620312; HIDRAFIX; HIDRAFIX; NOT FOUND; (2.16 + 4.68 + 0.98 + 20.00) MG/ML SOL OR CT FR PLAS TRANS X 250 ML; TAK
1063901620274; HIDRAFIX; HIDRAFIX; NOT FOUND; (1.49+2.34+1.96+19.83)MG/ML SOL OR CT FR PLAS TRANS X 250 ML (FRAMBOESA); TAK
1063901620282; HIDRAFIX; HIDRAFIX; NOT FOUND; (1.49+2.34+1.96+19.83)MG/ML SOL OR CT FR PLAS TRANS X 250 ML (LARANJA); TAK
1063901620022; HIDRAFIX; HIDRAFIX; NOT FOUND; SOL FRAMBOEZA CT C/ 25 X 2 FLAC X 25 ML EMB MULT; TAK
1063901620014; HIDRAFIX; HIDRAFIX; NOT FOUND; SOL LARANJA CT C/ 25 X 2 FLAC X 25 ML EMB MULT; TAK
1063901620049; HIDRAFIX; HIDRAFIX; NOT FOUND; SOL UVA CT C/ 25 X 2 FLAC X 25 ML EMB MULT; TAK
1063901620304; HIDRAFIX; HIDRAFIX; NOT FOUND; (1.49+2.34+1.96+19.83)MG/ML SOL OR CT FR PLAS TRANS X 250 ML (UVA); TAK
1063901620371; HIDRAFIX; HIDRAFIX; NOT FOUND; (21.60 + 46.80 + 9.80 + 200.0)MG/ML SOL OR CONC CT 2 FLAC X 25 ML; TAK
1063901620339; HIDRAFIX; HIDRAFIX; NOT FOUND; (14.91 + 23.40 + 19.61 + 198.28)MG/ML SOL OR CONC CT 2 FLAC X 25 ML - (FRAMBOESA); TAK
1063901620347; HIDRAFIX; HIDRAFIX; NOT FOUND; (14.91 + 23.40 + 19.61 + 198.28)MG/ML SOL OR CONC CT 2 FLAC X 25 ML - (LARANJA); TAK
1063901620355; HIDRAFIX; HIDRAFIX; NOT FOUND; (14.91 + 23.40 + 19.61 + 198.28)MG/ML SOL OR CONC CT 2 FLAC X 25 ML - (UVA) ; TAK
