1063902020084; MUCOLITIC; MUCOLITIC; NOT FOUND; 100 MG CART 15 ENV X 4 G; TAK
1063902020149; MUCOLITIC; MUCOLITIC; NOT FOUND; 250 MG CART 15 ENV X 4 G; TAK
1063902020238; MUCOLITIC; MUCOLITIC; NOT FOUND; PEDIATRICO GOTAS FR 20 ML; TAK
1063902020254; MUCOLITIC; MUCOLITIC; NOT FOUND; XAR ADULTO FR 100 ML; TAK
1063902020246; MUCOLITIC; MUCOLITIC; NOT FOUND; XAR PEDIATRICO FR 100 ML; TAK
1063902000091; MESACOL; MESACOL; NOT FOUND; 250MG SUP RET CT BERCO X 10; TAK
1063902480018; MESACOL; MESACOL; NOT FOUND; 500 MG SUP RET CT BERCO X 10; TAK
1063902000075; MESACOL; MESACOL; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 30; TAK
1063902480042; MESACOL; MESACOL; NOT FOUND; 800 MG COM REV CT BL AL PLAS INC X 30; TAK
1063902480107; MESACOL; MESACOL; NOT FOUND; 800 MG COM REV CT BL AL PLAS INC X 10; TAK
1063902480123; MESACOL MMX; MESACOL MMX; NOT FOUND; 1200 MG COM REV LIB PROL CT BL AL/AL X 10; TAK
1063902480141; MESACOL MMX; MESACOL MMX; NOT FOUND; 1200 MG COM REV LIB PROL CT BL AL/AL X 30; TAK
1063902700026; MEPACT; MEPACT; NOT FOUND; 4 MG PO LIOF INJ CX 1 FA VD TRANS X 50 ML + 1 FILTRO ESTERIL; TAK
1063902640023; MICOSTATIN; MICOSTATIN; NOT FOUND; 25.000 UI/G CREM VAG CT BG AL X 60 G + 14 APLIC; TAK
