1063901500025; AD-TIL; AD TIL; NOT FOUND; 50.000 + 10.000 UI/ML SOL OR CT FR PLAS AMB GOT X 10 ML; TAK
1063902430029; AD-TIL; AD TIL; NOT FOUND; 50000 + 10000 UI/ML SOL OR CT FR PLAS AMB GOT X 20 ML; TAK
1063902590018; ALEKTOS; ALEKTOS; NOT FOUND; 20 MG COM CT BL AL/AL X 4; TAK
1063902590034; ALEKTOS; ALEKTOS; NOT FOUND; 20 MG COM CT BL AL/AL X 10; TAK
1063902590042; ALEKTOS; ALEKTOS; NOT FOUND; 20 MG COM CT BL AL/AL X 15; TAK
1063902590050; ALEKTOS; ALEKTOS; NOT FOUND; 20 MG COM CT BL AL/AL X 20; TAK
1063902590069; ALEKTOS; ALEKTOS; NOT FOUND; 20 MG COM CT BL AL/AL X 30; TAK
1063902590026; ALEKTOS; ALEKTOS; NOT FOUND; 20 MG COM CT BL AL/AL X 8; TAK
1063902690012; ADCETRIS; ADCETRIS; NOT FOUND; 50 MG PO LIOF INJ CX 1 FA VD TRANS; TAK
1063902300036; ALVESCO; ALVESCO; NOT FOUND; 0.10 MG/DOSE SOL INAL CT FR AL/VAL DOS X 60 DOSES; TAK
1063902300044; ALVESCO; ALVESCO; NOT FOUND; 0.10 MG/DOSE SOL INAL CT FR AL/VAL DOS X 120 DOSES; TAK
1063902300061; ALVESCO; ALVESCO; NOT FOUND; 0.20 MG/DOSE SOL INAL CT FR AL/VAL DOS X 120 DOSES; TAK
1063902300052; ALVESCO; ALVESCO; NOT FOUND; 0.20 MG/DOSE SOL INAL CT FR AL/VAL DOS X 60 DOSES; TAK
1063900840017; ALBOCRESIL; ALBOCRESIL; NOT FOUND; 360 MG/G SOL CONC CT FR VD AMB X 12 ML; TAK
1063900840025; ALBOCRESIL; ALBOCRESIL; NOT FOUND; 18 MG/ML GEL CT BG AL X 50 G + APLIC; TAK
1063900840041; ALBOCRESIL; ALBOCRESIL; NOT FOUND; 90 MG OVL CT ROT X 6; TAK
1063901840037; AGIOLAX; AGIOLAX; NOT FOUND; (520 MG/G + 22 MG/G) + 116 MG/G GRAN CT 20 ENV X 5 G; TAK
