508024902117113; LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 100 MG + 25 MG COM REV CT BL AL PLAS OPC X 30; EUF
508024901110115; LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 30; EUF
508012060092406; LAMOTRIGINA; LAMOTRIGINA; LAMOTRIGINA; 100MG COM CT BL AL PLAS TRANS X 30; EUF
508012080093304; LÉPTICO; LEPTICO; NOT FOUND; 100 MG COM CT BL AL PLAS TRANS X 30; EUF
508012080093404; LÉPTICO; LEPTICO; NOT FOUND; 100 MG COM CT BL AL PLAS TRANS X 60; EUF
508012060092206; LAMOTRIGINA; LAMOTRIGINA; LAMOTRIGINA; 25MG COM CT BL AL PLAS TRANS X 30; EUF
508012080092904; LÉPTICO; LEPTICO; NOT FOUND; 25 MG COM CT BL AL PLAS TRANS X 30; EUF
508012080093004; LÉPTICO; LEPTICO; NOT FOUND; 25 MG COM CT BL AL PLAS TRANS X 60; EUF
508012060092306; LAMOTRIGINA; LAMOTRIGINA; LAMOTRIGINA; 50MG COM CT BL AL PLAS TRANS X 30; EUF
508012080093104; LÉPTICO; LEPTICO; NOT FOUND; 50 MG COM CT BL AL PLAS TRANS X 30; EUF
508012080093204; LÉPTICO; LEPTICO; NOT FOUND; 50 MG COM CT BL AL PLAS TRANS X 60; EUF
508022201111112; LETROZOL; LETROZOL; LETROZOL; 2.5 MG COM REV CT BL AL PLAS INC X 28; EUF
508022202118110; LETROZOL; LETROZOL; LETROZOL; 2.5 MG COM REV CT BL AL PLAS INC X 30; EUF
508008703113116; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 250 MG COM REV CT BL AL PLAS INC X 7; EUF
508008701153110; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 5 MG/ML SOL INJ CT FA VD INC X 100 ML ; EUF
508008705159113; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 5 MG/ML SOL INJ CT BOLSA PLAS INC X 100 ML ; EUF
508008706155111; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 5 MG/ML SOL INJ CT 6 BOLS PLAS INC X 100 ML ; EUF
508008702117118; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS INC X 10; EUF
508008707119119; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS INC X 3; EUF
508008704111117; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS INC X 7  ; EUF
508014060104606; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS INC X 42 (EMB FRAC); EUF
508016301134111; LORATADINA + SULF. PSEUDOEFEDRINA; LORATADINA SULF PSEUDOEFEDRINA; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML; EUF
508014060104706; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS OPC X 120 (EMB FRAC) ; EUF
508014060104806; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PLAS LEIT X 120 (EMB FRAC); EUF
508019204113116; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PLAS LEIT X 30; EUF
508019201114111; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS OPC X 15; EUF
508019202110111; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS OPC X 30 ; EUF
508019203117118; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS OPC X 60; EUF
