508013100099303; VAST; VAST; NOT FOUND; 10 MG COM REV CT BL AL/AL X 10; EUF
508013050096904; VAST; VAST; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; EUF
508013100099403; VAST; VAST; NOT FOUND; 20 MG COM REV CT BL AL/AL X 10; EUF
508013050097004; VAST; VAST; NOT FOUND; 20 MG COM REV CT BL AL/AL X 30; EUF
508013100099503; VAST; VAST; NOT FOUND; 40 MG COM REV CT BL AL/AL X 10; EUF
508013050097104; VAST; VAST; NOT FOUND; 40 MG COM REV CT BL AL/AL X 30; EUF
508024505118415; VASATIV; VASATIV; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 15; EUF
508024501112412; VASATIV; VASATIV; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; EUF
508024503115419; VASATIV; VASATIV; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 60; EUF
508024506114413; VASATIV; VASATIV; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 15; EUF
508024502119410; VASATIV; VASATIV; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; EUF
508024504111417; VASATIV; VASATIV; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 60; EUF
508019401164112; VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10.0 MG/G POM DERM CT BG AL X 20 G; EUF
508019402160110; VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10.0 MG/G CREM DERM CT BG AL X 20 G; EUF
508014120106203; VENLAXIN; VENLAXIN; NOT FOUND; 37.5 MG CAP DURA LIB PROL CT BL AL PLAS INC X 30; EUF
508014120106303; VENLAXIN; VENLAXIN; NOT FOUND; 75 MG CAP DURA LIB PROL CT BL AL PLAS INC X 30; EUF
508014120106403; VENLAXIN; VENLAXIN; NOT FOUND; 150 MG CAP DURA LIB PROL CT BL AL PLAS INC X 30; EUF
508021901111419; VENLAXIN; VENLAXIN; NOT FOUND; 150 MG CAP DURA LIB PROL CT BL AL PLAS INC X 14; EUF
508021906111417; VENLAXIN; VENLAXIN; NOT FOUND; 150 MG CAP DURA LIB PROL CT BL AL PLAS INC X 28; EUF
508021903112412; VENLAXIN; VENLAXIN; NOT FOUND; 37.5 MG CAP DURA LIB PROL CT BL AL PLAS INC X 14; EUF
508021904119410; VENLAXIN; VENLAXIN; NOT FOUND; 37.5 MG CAP DURA LIB PROL CT BL AL PLAS INC X 7; EUF
508021907118415; VENLAXIN; VENLAXIN; NOT FOUND; 37.5 MG CAP DURA LIB PROL CT BL AL PLAS INC X 28; EUF
508021908114413; VENLAXIN; VENLAXIN; NOT FOUND; 75 MG CAP DURA LIB PROL CT BL AL PLAS INC X 28; EUF
508021902116414; VENLAXIN; VENLAXIN; NOT FOUND; 75 MG CAP DURA LIB PROL CT BL AL PLAS INC X 14; EUF
508021905115419; VENLAXIN; VENLAXIN; NOT FOUND; 75 MG CAP DURA LIB PROL CT BL AL PLAS INC X 07; EUF
508012020089803; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 2 SER PREENCH X 0.2 ML + SIST SEGURANCA; EUF
508012020089903; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 10 SER PREENCH X 0.2 ML + SIST SEGURANCA ; EUF
508012100094203; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 6 SER PREENCH X 0.2 ML + SIST SEGURANCA ; EUF
508028901158412; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 2 SER PREENCH X 0.2 ML; EUF
508028902154410; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 10 SER PREENCH X 0.2 ML; EUF
508012020090003; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 2 SER PREENCH X 0.4 ML + SIST SEGURANCA ; EUF
508012020090103; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 10 SER PREENCH X 0.4 ML + SIST SEGURANCA ; EUF
508012100094303; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 6 SER PREENCH X 0.4 ML + SIST SEGURANCA ; EUF
508028903150419; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 10 SER PREENCH X 0.4 ML; EUF
508028904157417; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 2 SER PREENCH X 0.4 ML; EUF
508012020090203; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 2 SER PREENCH X 0.6 ML + SIST SEGURANCA ; EUF
508028905153415; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 2 SER PREENCH X 0.6 ML; EUF
508012020090303; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 2 SER PREENCH X 0.8 ML + SIST SEGURANCA ; EUF
508028906151416; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 2 SER PREENCH X 0.8 ML; EUF
508012020090403; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 2 SER PREENCH X 1.0 ML + SIST SEGURANCA ; EUF
508028907156411; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 2 SER PREENCH X 1 ML; EUF
508014010101504; VARTAZ; VARTAZ; NOT FOUND; 160 MG COM REV CT BL AL /AL X 30; EUF
