514005701114415, TANDERALGIN, TANDERALGIN, NOT FOUND, CX C/ 12 COMP, DLT
514005702110413, TANDERALGIN, TANDERALGIN, NOT FOUND, CX C/ 30 COMP, DLT
514005801119419, TENSALDIN, TENSALDIN, NOT FOUND, CX C/ 20 DRG, DLT
514005901113412, TETRAXIL, TETRAXIL, NOT FOUND, CX C/ 100 CAPS, DLT
514006001167417, TIAPLEX, TIAPLEX, NOT FOUND, POMADA BISN C/ 20 GRS, DLT
514006002171418, TIAPLEX, TIAPLEX, NOT FOUND, SABONETE C/ 65 GRS, DLT
514006101161410, TIOCONAX, TIOCONAX, NOT FOUND, CREME BISN C/ 30 GRS, DLT
514006104179418, TIOCONAX, TIOCONAX, NOT FOUND, LIQ EM FR C/ 30 ML SPRAY, DLT
514006102176411, TIOCONAX, TIOCONAX, NOT FOUND, LOCAO EM FR C/ 30 ML, DLT
514006203118417, TRIMOX, TRIMOX, NOT FOUND, CX C/ 12 CAPS 500 MG, DLT
514006204114415, TRIMOX, TRIMOX, NOT FOUND, CX C/ 6 CAPS 500 MG, DLT
514006201131416, TRIMOX, TRIMOX, NOT FOUND, PO P/ SUSP EM FR C/ 150 ML 250 MG, DLT
514006202138414, TRIMOX, TRIMOX, NOT FOUND, PO P/ SUSP EM FR C/ 60 ML 250 MG, DLT
514006301136411, TUSSILIV, TUSSILIV, NOT FOUND, XPE EM FR C/ 100 ML, DLT
514005701114415, TANDERALGIN, TANDERALGIN, NOT FOUND, CX C/ 12 COMP, DLT
514005702110413, TANDERALGIN, TANDERALGIN, NOT FOUND, CX C/ 30 COMP, DLT
514005801119419, TENSALDIN, TENSALDIN, NOT FOUND, CX C/ 20 DRG, DLT
514005901113412, TETRAXIL, TETRAXIL, NOT FOUND, CX C/ 100 CAPS, DLT
514006001167417, TIAPLEX, TIAPLEX, NOT FOUND, POMADA BISN C/ 20 GRS, DLT
514006002171418, TIAPLEX, TIAPLEX, NOT FOUND, SABONETE C/ 65 GRS, DLT
514006101161410, TIOCONAX, TIOCONAX, NOT FOUND, CREME BISN C/ 30 GRS, DLT
514006104179418, TIOCONAX, TIOCONAX, NOT FOUND, LIQ EM FR C/ 30 ML SPRAY, DLT
514006102176411, TIOCONAX, TIOCONAX, NOT FOUND, LOCAO EM FR C/ 30 ML, DLT
514006203118417, TRIMOX, TRIMOX, NOT FOUND, CX C/ 12 CAPS 500 MG, DLT
514006204114415, TRIMOX, TRIMOX, NOT FOUND, CX C/ 6 CAPS 500 MG, DLT
514006201131416, TRIMOX, TRIMOX, NOT FOUND, PO P/ SUSP EM FR C/ 150 ML 250 MG, DLT
514006202138414, TRIMOX, TRIMOX, NOT FOUND, PO P/ SUSP EM FR C/ 60 ML 250 MG, DLT
514006301136411, TUSSILIV, TUSSILIV, NOT FOUND, XPE EM FR C/ 100 ML, DLT
514005701114415, TANDERALGIN, TANDERALGIN, NOT FOUND, CX C/ 12 COMP, DLT
514005702110413, TANDERALGIN, TANDERALGIN, NOT FOUND, CX C/ 30 COMP, DLT
514005801119419, TENSALDIN, TENSALDIN, NOT FOUND, CX C/ 20 DRG, DLT
514005901113412, TETRAXIL, TETRAXIL, NOT FOUND, CX C/ 100 CAPS, DLT
514006001167417, TIAPLEX, TIAPLEX, NOT FOUND, POMADA BISN C/ 20 GRS, DLT
514006002171418, TIAPLEX, TIAPLEX, NOT FOUND, SABONETE C/ 65 GRS, DLT
514006101161410, TIOCONAX, TIOCONAX, NOT FOUND, CREME BISN C/ 30 GRS, DLT
514006104179418, TIOCONAX, TIOCONAX, NOT FOUND, LIQ EM FR C/ 30 ML SPRAY, DLT
514006102176411, TIOCONAX, TIOCONAX, NOT FOUND, LOCAO EM FR C/ 30 ML, DLT
514006203118417, TRIMOX, TRIMOX, NOT FOUND, CX C/ 12 CAPS 500 MG, DLT
514006204114415, TRIMOX, TRIMOX, NOT FOUND, CX C/ 6 CAPS 500 MG, DLT
514006201131416, TRIMOX, TRIMOX, NOT FOUND, PO P/ SUSP EM FR C/ 150 ML 250 MG, DLT
514006202138414, TRIMOX, TRIMOX, NOT FOUND, PO P/ SUSP EM FR C/ 60 ML 250 MG, DLT
514006301136411, TUSSILIV, TUSSILIV, NOT FOUND, XPE EM FR C/ 100 ML, DLT
514005701114415, TANDERALGIN, TANDERALGIN, NOT FOUND, CX C/ 12 COMP, DLT
514005702110413, TANDERALGIN, TANDERALGIN, NOT FOUND, CX C/ 30 COMP, DLT
514005801119419, TENSALDIN, TENSALDIN, NOT FOUND, CX C/ 20 DRG, DLT
514005901113412, TETRAXIL, TETRAXIL, NOT FOUND, CX C/ 100 CAPS, DLT
514006001167417, TIAPLEX, TIAPLEX, NOT FOUND, POMADA BISN C/ 20 GRS, DLT
