514000801153411, BETASPAN, BETASPAN, NOT FOUND, SUSP INJ EM CX C/ 1 AMP, DLT
514000901166418, BETAZOL CORT, BETAZOL CORT, NOT FOUND, CREME BISN C/ 30 GRS, DLT
514000902162416, BETAZOL CORT, BETAZOL CORT, NOT FOUND, POMADA BISN C/ 30 GRS, DLT
514000801153411, BETASPAN, BETASPAN, NOT FOUND, SUSP INJ EM CX C/ 1 AMP, DLT
514000901166418, BETAZOL CORT, BETAZOL CORT, NOT FOUND, CREME BISN C/ 30 GRS, DLT
514000902162416, BETAZOL CORT, BETAZOL CORT, NOT FOUND, POMADA BISN C/ 30 GRS, DLT
514000801153411, BETASPAN, BETASPAN, NOT FOUND, SUSP INJ EM CX C/ 1 AMP, DLT
514000901166418, BETAZOL CORT, BETAZOL CORT, NOT FOUND, CREME BISN C/ 30 GRS, DLT
514000902162416, BETAZOL CORT, BETAZOL CORT, NOT FOUND, POMADA BISN C/ 30 GRS, DLT
514000801153411, BETASPAN, BETASPAN, NOT FOUND, SUSP INJ EM CX C/ 1 AMP, DLT
514000901166418, BETAZOL CORT, BETAZOL CORT, NOT FOUND, CREME BISN C/ 30 GRS, DLT
514000902162416, BETAZOL CORT, BETAZOL CORT, NOT FOUND, POMADA BISN C/ 30 GRS, DLT
514000801153411, BETASPAN, BETASPAN, NOT FOUND, SUSP INJ EM CX C/ 1 AMP, DLT
514000901166418, BETAZOL CORT, BETAZOL CORT, NOT FOUND, CREME BISN C/ 30 GRS, DLT
514000902162416, BETAZOL CORT, BETAZOL CORT, NOT FOUND, POMADA BISN C/ 30 GRS, DLT
514000801153411, BETASPAN, BETASPAN, NOT FOUND, SUSP INJ EM CX C/ 1 AMP, DLT
514000901166418, BETAZOL CORT, BETAZOL CORT, NOT FOUND, CREME BISN C/ 30 GRS, DLT
514000902162416, BETAZOL CORT, BETAZOL CORT, NOT FOUND, POMADA BISN C/ 30 GRS, DLT
514000801153411, BETASPAN, BETASPAN, NOT FOUND, SUSP INJ EM CX C/ 1 AMP, DLT
514000901166418, BETAZOL CORT, BETAZOL CORT, NOT FOUND, CREME BISN C/ 30 GRS, DLT
514000902162416, BETAZOL CORT, BETAZOL CORT, NOT FOUND, POMADA BISN C/ 30 GRS, DLT
514000801153411, BETASPAN, BETASPAN, NOT FOUND, SUSP INJ EM CX C/ 1 AMP, DLT
514000901166418, BETAZOL CORT, BETAZOL CORT, NOT FOUND, CREME BISN C/ 30 GRS, DLT
514000902162416, BETAZOL CORT, BETAZOL CORT, NOT FOUND, POMADA BISN C/ 30 GRS, DLT
514000801153411, BETASPAN, BETASPAN, NOT FOUND, SUSP INJ EM CX C/ 1 AMP, DLT
514000901166418, BETAZOL CORT, BETAZOL CORT, NOT FOUND, CREME BISN C/ 30 GRS, DLT
514000902162416, BETAZOL CORT, BETAZOL CORT, NOT FOUND, POMADA BISN C/ 30 GRS, DLT
514000801153411, BETASPAN, BETASPAN, NOT FOUND, 5.0 MG + 2.0 MG SUS INJ CT AMP VD INC X 1 ML, DLT
514000901166418, BETAZOL CORT, BETAZOL CORT, NOT FOUND, (20+0.5+2.5)MG/G CREM DERM CT BG AL X 30 G, DLT
514000902162416, BETAZOL CORT, BETAZOL CORT, NOT FOUND, (20+0.5+2.5)MG/G POM DERM CT BG AL X 30 G, DLT
514000801153411, BETASPAN, BETASPAN, NOT FOUND, 5.0 MG + 2.0 MG SUS INJ CT AMP VD INC X 1 ML, DLT
514000901166418, BETAZOL CORT, BETAZOL CORT, NOT FOUND, (20+0.5+2.5)MG/G CREM DERM CT BG AL X 30 G, DLT
514000902162416, BETAZOL CORT, BETAZOL CORT, NOT FOUND, (20+0.5+2.5)MG/G POM DERM CT BG AL X 30 G, DLT
